Dataset x,Dataset y
4.003603603604E2,2.606382978723E-1
4.036036036036E2,2.460106382979E-1
4.075675675676E2,2.313829787234E-1
4.118918918919E2,2.194148936170E-1
4.205405405405E2,2.194148936170E-1
4.255855855856E2,2.247340425532E-1
4.317117117117E2,2.300531914894E-1
4.381981981982E2,2.327127659574E-1
4.428828828829E2,2.327127659574E-1
4.493693693694E2,2.313829787234E-1
4.547747747748E2,2.260638297872E-1
4.612612612613E2,2.194148936170E-1
4.663063063063E2,2.167553191489E-1
4.699099099099E2,2.260638297872E-1
4.760360360360E2,2.220744680851E-1
4.807207207207E2,2.101063829787E-1
4.857657657658E2,2.007978723404E-1
4.904504504505E2,1.928191489362E-1
4.954954954955E2,1.742021276596E-1
5.001801801802E2,1.609042553191E-1
5.063063063063E2,1.515957446809E-1
5.109909909910E2,1.422872340426E-1
5.171171171171E2,1.343085106383E-1
5.232432432432E2,1.289893617021E-1
5.293693693694E2,1.223404255319E-1
5.354954954955E2,1.183510638298E-1
5.405405405405E2,1.143617021277E-1
5.441441441441E2,1.130319148936E-1
5.481081081081E2,1.130319148936E-1
5.527927927928E2,1.117021276596E-1
5.596396396396E2,1.117021276596E-1
5.654054054054E2,1.077127659574E-1
5.708108108108E2,1.037234042553E-1
5.765765765766E2,9.707446808511E-2
5.830630630631E2,9.574468085106E-2
5.899099099099E2,9.175531914894E-2
5.949549549550E2,8.643617021277E-2
5.978378378378E2,7.978723404255E-2
