Line 28 x,Line 28 y
3.089917912842E2,1.290967282516E-1
3.109388767597E2,1.187936552652E-1
3.123325586309E2,9.499260511304E-2
3.123722327863E2,1.045632321525E-1
3.125550792584E2,8.842210341272E-2
3.125568608722E2,8.885188347072E-2
3.125586424859E2,8.928166352872E-2
3.129871205954E2,8.756336558000E-2
3.129889022092E2,8.799314563799E-2
3.134173803186E2,8.627484768927E-2
3.134191619324E2,8.670462774727E-2
3.134209435462E2,8.713440780527E-2
3.138458584281E2,8.455654974055E-2
3.138476400419E2,8.498632979855E-2
3.138494216557E2,8.541610985655E-2
3.138512032694E2,8.584588991455E-2
3.142796813789E2,8.412759196583E-2
3.147081594884E2,8.240929401711E-2
3.147099411021E2,8.283907407511E-2
3.147117227159E2,8.326885413310E-2
3.147135043297E2,8.369863419110E-2
3.151384192116E2,8.112077612638E-2
3.151402008254E2,8.155055618438E-2
3.151419824391E2,8.198033624238E-2
3.160007202719E2,7.897352040294E-2
3.160025018856E2,7.940330046094E-2
3.160042834994E2,7.983308051894E-2
3.160060651131E2,8.026286057694E-2
3.160078467269E2,8.069264063493E-2
3.168683661734E2,7.811560485349E-2
3.168701477871E2,7.854538491149E-2
3.177377936887E2,7.768746936204E-2
3.186072212040E2,7.725933387059E-2
3.188961395688E2,7.690173201111E-2
3.194748671055E2,7.640141832114E-2
3.203442946208E2,7.597328282969E-2
3.216502175075E2,7.576085965051E-2
3.225214266365E2,7.576250421706E-2
3.233926357656E2,7.576414878361E-2
3.242638448946E2,7.576579335016E-2
3.251350540237E2,7.576743791671E-2
3.260062631527E2,7.576908248326E-2
3.268774722818E2,7.577072704980E-2
3.277486814108E2,7.577237161635E-2
3.286216721536E2,7.620379624090E-2
3.299302674610E2,7.663604314872E-2
3.308032582038E2,7.706746777327E-2
3.316762489466E2,7.749889239782E-2
3.325497345821E2,7.804970037181E-2
3.334231212391E2,7.857663167591E-2
3.334249028528E2,7.900641173391E-2
3.342978935957E2,7.943783635846E-2
3.342996752094E2,7.986761641645E-2
3.351726659522E2,8.029904104100E-2
3.351744475660E2,8.072882109900E-2
3.360474383088E2,8.116024572355E-2
3.360492199226E2,8.159002578155E-2
3.366321045580E2,8.209253222691E-2
3.369239922791E2,8.245123046409E-2
3.377969830219E2,8.288265508864E-2
3.386699737647E2,8.331407971319E-2
3.386717553785E2,8.374385977119E-2
3.392546400139E2,8.424636621655E-2
3.395465277351E2,8.460506445373E-2
3.395483093488E2,8.503484451173E-2
3.404213000917E2,8.546626913628E-2
3.404230817054E2,8.589604919428E-2
3.404248633192E2,8.632582925228E-2
3.411047469260E2,8.687627176703E-2
3.421722305044E2,8.752295187981E-2
3.427555110540E2,8.812096500473E-2
3.430473987751E2,8.847966324192E-2
3.430491803889E2,8.890944329991E-2
3.439221711317E2,8.934086792446E-2
3.443595573100E2,8.977147026573E-2
3.443613389237E2,9.020125032373E-2
3.447987251020E2,9.063185266501E-2
3.452361112803E2,9.106245500628E-2
3.452378928941E2,9.149223506428E-2
3.456752790724E2,9.192283740555E-2
3.465482698152E2,9.235426203010E-2
3.465500514289E2,9.278404208810E-2
3.474230421717E2,9.321546671264E-2
3.478604283500E2,9.364606905392E-2
3.487334190928E2,9.407749367846E-2
3.487352007066E2,9.450727373646E-2
3.487369823204E2,9.493705379446E-2
3.496099730632E2,9.536847841901E-2
3.496117546769E2,9.579825847701E-2
3.496135362907E2,9.622803853501E-2
3.531481090218E2,1.009592224805E-1
3.579301093263E2,1.059137132222E-1
3.588031000691E2,1.063451378467E-1
3.595308892904E2,1.067762883769E-1
3.609837953123E2,1.069939193501E-1
3.618550044414E2,1.069955639167E-1
3.627235411498E2,1.063525383962E-1
3.637883523075E2,1.063545484220E-1
3.648988915518E2,1.057119797256E-1
3.651878099167E2,1.053543778661E-1
3.663966348534E2,1.050701419476E-1
3.675820018756E2,1.049649353709E-1
3.683810556473E2,1.050738879048E-1
3.688228958600E2,1.065789403910E-1
3.692540463902E2,1.055053125293E-1
3.692567188108E2,1.061499826163E-1
3.749186873427E2,1.059457822699E-1
3.759834985005E2,1.059477922957E-1
3.770949285516E2,1.055201136283E-1
3.779630693458E2,1.047815814283E-1
3.788307152474E2,1.039236658788E-1
3.796965795351E2,1.026359702714E-1
3.796987570631E2,1.031612570089E-1
3.805624438229E2,1.013482746639E-1
3.805646213508E2,1.018735614015E-1
3.814233591835E2,9.886674556202E-2
3.814251407973E2,9.929652562002E-2
3.814269224111E2,9.972630567802E-2
3.814287040248E2,1.001560857360E-1
3.814304856386E2,1.005858657940E-1
3.818571821343E2,9.843778778729E-2
3.819810471786E2,9.635107323677E-2
3.834530600747E2,9.144587647017E-2
3.859087885688E2,8.384315014359E-2
3.874145303471E2,7.299594736838E-2
3.874167078750E2,7.352123410593E-2
3.874184894888E2,7.395101416393E-2
3.874202711025E2,7.438079422193E-2
3.874220527163E2,7.481057427993E-2
3.874238343300E2,7.524035433792E-2
3.874256159438E2,7.567013439592E-2
3.874273975576E2,7.609991445392E-2
3.878647837359E2,7.653051679520E-2
3.878813061953E2,7.967509449022E-2
3.882679233385E2,6.869979135494E-2
3.882701008664E2,6.922507809249E-2
3.882718824802E2,6.965485815049E-2
3.882736640940E2,7.008463820849E-2
3.882754457077E2,7.051441826649E-2
3.882772273215E2,7.094419832448E-2
3.882790089352E2,7.137397838248E-2
3.882807905490E2,7.180375844048E-2
3.882825721628E2,7.223353849848E-2
3.891266611712E2,6.569297551549E-2
3.891288386992E2,6.621826225305E-2
3.891306203129E2,6.664804231105E-2
3.891324019267E2,6.707782236904E-2
3.891341835405E2,6.750760242704E-2
3.891359651542E2,6.793738248504E-2
3.899889622315E2,6.354571979205E-2
3.899911397594E2,6.407100652960E-2
3.899929213732E2,6.450078658760E-2
3.899947029869E2,6.493056664560E-2
3.908494816780E2,6.096868401060E-2
3.908516592059E2,6.149397074816E-2
3.908534408197E2,6.192375080616E-2
3.908552224334E2,6.235353086415E-2
3.908570040472E2,6.278331092215E-2
3.917082195107E2,5.796186817116E-2
3.917103970386E2,5.848715490871E-2
3.917121786524E2,5.891693496671E-2
3.917139602661E2,5.934671502471E-2
3.917157418799E2,5.977649508271E-2
3.917175234937E2,6.020627514071E-2
3.925687389572E2,5.538483238972E-2
3.925709164851E2,5.591011912727E-2
3.925726980989E2,5.633989918527E-2
3.925744797126E2,5.676967924327E-2
3.925762613264E2,5.719945930127E-2
3.934328216312E2,5.366735672427E-2
3.934349991591E2,5.419264346182E-2
3.934367807729E2,5.462242351982E-2
3.943004675327E2,5.280944117482E-2
3.951681134342E2,5.195152562537E-2
3.960339777220E2,5.066383001792E-2
3.960361552499E2,5.118911675548E-2
3.969016236235E2,4.980591446847E-2
3.977696654392E2,4.904350559858E-2
3.980585838041E2,4.868590373910E-2
3.990738067122E2,4.840130236140E-2
3.999432342274E2,4.797316686995E-2
4.008144433565E2,4.797481143650E-2
4.018792545142E2,4.797682146228E-2
4.034298523574E2,4.840952519415E-2
4.047384476647E2,4.884177210197E-2
4.056114384076E2,4.927319672652E-2
4.064853199572E2,4.991951138006E-2
4.069227061355E2,5.035011372133E-2
4.077956968783E2,5.078153834588E-2
4.101721716782E2,5.195597204604E-2
4.108520552851E2,5.250641456080E-2
4.108538368988E2,5.293619461880E-2
4.111457246200E2,5.329489285598E-2
4.117286092554E2,5.379739930134E-2
4.117303908691E2,5.422717935934E-2
4.126033816120E2,5.465860398389E-2
4.126051632257E2,5.508838404189E-2
4.126069448395E2,5.551816409989E-2
4.128988325606E2,5.587686233707E-2
4.134817171960E2,5.637936878243E-2
4.134834988098E2,5.680914884043E-2
4.143564895526E2,5.724057346498E-2
4.146483772738E2,5.759927170216E-2
4.152312619092E2,5.810177814752E-2
4.152330435230E2,5.853155820552E-2
4.155249312441E2,5.889025644270E-2
4.161078158795E2,5.939276288807E-2
4.161095974933E2,5.982254294607E-2
4.164014852144E2,6.018124118325E-2
4.169843698499E2,6.068374762861E-2
4.169861514636E2,6.111352768661E-2
4.172780391848E2,6.147222592379E-2
4.178609238202E2,6.197473236916E-2
4.178627054339E2,6.240451242716E-2
4.178644870477E2,6.283429248516E-2
4.181563747689E2,6.319299072234E-2
4.187392594043E2,6.369549716770E-2
4.187410410180E2,6.412527722570E-2
4.190329287392E2,6.448397546288E-2
4.196158133746E2,6.498648190825E-2
4.199077010958E2,6.534518014543E-2
4.204905857312E2,6.584768659079E-2
4.207824734523E2,6.620638482797E-2
4.213653580878E2,6.670889127334E-2
4.213671397015E2,6.713867133134E-2
4.216590274227E2,6.749736956852E-2
4.222419120581E2,6.799987601388E-2
4.222436936718E2,6.842965607188E-2
4.222454752856E2,6.885943612988E-2
4.225373630068E2,6.921813436706E-2
4.231202476422E2,6.972064081243E-2
4.234121353633E2,7.007933904961E-2
4.239950199987E2,7.058184549497E-2
4.242869077199E2,7.094054373216E-2
4.248697923553E2,7.144305017752E-2
4.251616800765E2,7.180174841470E-2
4.257445647119E2,7.230425486007E-2
4.257463463256E2,7.273403491806E-2
4.266197329826E2,7.326096622217E-2
4.281224252114E2,7.381296193867E-2
4.294314164329E2,7.434071552604E-2
4.301116959539E2,7.498666472036E-2
4.311791795322E2,7.563334483314E-2
4.318594590532E2,7.627929402745E-2
4.327329446888E2,7.683010200144E-2
4.336059354316E2,7.726152662599E-2
4.346729241172E2,7.778882338932E-2
4.353528077241E2,7.833926590408E-2
4.353545893378E2,7.876904596208E-2
4.362275800807E2,7.920047058663E-2
4.362293616944E2,7.963025064463E-2
4.365212494156E2,7.998894888181E-2
4.371041340510E2,8.049145532717E-2
4.371059156647E2,8.092123538517E-2
4.373978033859E2,8.127993362235E-2
4.379806880213E2,8.178244006772E-2
4.382725757425E2,8.214113830490E-2
4.388554603779E2,8.264364475026E-2
