# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Quercus crispula laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0459897,0.00741242,0.0629081,0.0163609
351,0.0416615,0.00475478,0.0611466,0.0135185
352,0.0355884,0.00423622,0.0612684,0.00769469
353,0.0352854,0.0103408,0.0635531,0.00489652
354,0.0362068,0.0102218,0.0642245,0.00621966
355,0.0380233,0.00813316,0.0634647,0.0079614
356,0.041054,0.00627116,0.0611,0.00777624
357,0.0390395,0.00429146,0.0616513,0.00486165
358,0.0375795,0.00407991,0.0617964,0.00384191
359,0.0376529,0.00594027,0.0611076,0.00547976
360,0.0386949,0.00610852,0.0602355,0.00776717
361,0.0382126,0.00641434,0.0609424,0.00718373
362,0.0370924,0.00636805,0.0627762,0.00504796
363,0.037285,0.00365373,0.0639101,0.00472819
364,0.0378117,0.00337891,0.0631049,0.0050283
365,0.0380227,0.0045959,0.062269,0.00565157
366,0.0372601,0.00717095,0.0634428,0.00650464
367,0.0355847,0.00552862,0.062442,0.00511496
368,0.0348559,0.00468549,0.0613346,0.00434069
369,0.0355201,0.00588072,0.0604971,0.00488582
370,0.0364893,0.00563375,0.0627377,0.00408673
371,0.0373993,0.00443397,0.0626177,0.00408643
372,0.0380077,0.00297957,0.0610627,0.00475936
373,0.0370355,0.00518711,0.0638813,0.00559965
374,0.036486,0.00574042,0.0649048,0.00526072
375,0.0362039,0.00538841,0.0649622,0.00446657
376,0.035802,0.00455348,0.0640457,0.0038803
377,0.0354613,0.00431855,0.0638276,0.00408867
378,0.0363687,0.00411825,0.0640388,0.00469329
379,0.0388888,0.0037288,0.0641786,0.00560458
380,0.0375466,0.0044629,0.0644603,0.00466541
381,0.0360825,0.00510437,0.065146,0.00384436
382,0.0348853,0.00549437,0.0658899,0.0033749
383,0.0363098,0.00480747,0.0648536,0.00459919
384,0.0366956,0.00479531,0.0649354,0.0054049
385,0.0366327,0.00509808,0.0658233,0.00583111
386,0.036556,0.00526334,0.0670659,0.00564334
387,0.0362964,0.00514743,0.0668515,0.00479143
388,0.0364733,0.00543693,0.0670744,0.00480664
389,0.0372541,0.00652823,0.0682944,0.00659264
390,0.0366154,0.00689736,0.067992,0.00616072
391,0.0363284,0.00690988,0.0682353,0.00598403
392,0.0366288,0.00666599,0.0692732,0.00625504
393,0.0376416,0.00677784,0.0697972,0.006448
394,0.0383684,0.00734936,0.0702068,0.00655279
395,0.0386442,0.00792967,0.0705677,0.00670177
396,0.0377894,0.00751926,0.0710182,0.00723712
397,0.036866,0.0080106,0.0713888,0.00653406
398,0.036627,0.00846858,0.071746,0.00633011
399,0.0377514,0.00830621,0.0720873,0.00787298
400,0.0377254,0.00853673,0.0724109,0.00784738
401,0.0375553,0.00867362,0.0726841,0.0077614
402,0.0373939,0.00866736,0.0729139,0.00781011
403,0.0375409,0.00888758,0.072641,0.00769606
404,0.0375226,0.00930198,0.072992,0.007809
405,0.0374997,0.0098133,0.0737174,0.00808444
406,0.0377817,0.0101665,0.0739815,0.00841091
407,0.0378136,0.00996311,0.0741598,0.00840007
408,0.0377612,0.0096975,0.0743295,0.00831621
409,0.0377542,0.00972468,0.0746267,0.00833842
410,0.0379902,0.0104191,0.0750762,0.00864194
411,0.0380691,0.0108551,0.0753721,0.00902199
412,0.0379067,0.0108561,0.0754431,0.00944344
413,0.0379368,0.0108476,0.0754341,0.00946473
414,0.0381537,0.0107294,0.0754185,0.00975231
415,0.038374,0.0106628,0.0753413,0.0101145
416,0.038303,0.0115739,0.0759424,0.00984306
417,0.0384382,0.0114735,0.0760775,0.00978819
418,0.0385646,0.0112649,0.0760117,0.00988633
419,0.0385693,0.0118912,0.0761528,0.0101979
420,0.0386155,0.0119825,0.0761455,0.0104249
421,0.0385682,0.0119496,0.0761821,0.0105719
422,0.0384164,0.0119032,0.0763996,0.0106429
423,0.0384512,0.0119743,0.0764254,0.010399
424,0.0386742,0.0120473,0.0762252,0.0106411
425,0.0390385,0.012139,0.0760126,0.0112126
426,0.0390019,0.012314,0.0766483,0.011047
427,0.0388209,0.0124702,0.0766362,0.0111662
428,0.0387679,0.0126091,0.0764953,0.0113546
429,0.0391121,0.0126669,0.076502,0.0112976
430,0.0390208,0.012794,0.0764238,0.011367
431,0.0389075,0.0129135,0.0764917,0.0114281
432,0.0388838,0.0129831,0.0767475,0.0114188
433,0.0387081,0.0130345,0.076749,0.0113201
434,0.0386827,0.0132286,0.0767014,0.0114153
435,0.038855,0.0135356,0.0767182,0.0116974
436,0.0390717,0.0134389,0.0766699,0.0118951
437,0.0392098,0.0134564,0.0769393,0.0120875
438,0.0392373,0.0135628,0.0772414,0.0122583
439,0.0391373,0.0138122,0.0772966,0.0124093
440,0.0390046,0.014226,0.0775437,0.01251
441,0.038975,0.0146206,0.0777477,0.0126543
442,0.0391172,0.0148886,0.0777079,0.0128968
443,0.0390118,0.0149662,0.0780359,0.0130372
444,0.0390612,0.015134,0.0783689,0.0133331
445,0.0392575,0.015403,0.0785959,0.0137738
446,0.0394722,0.0157929,0.0789253,0.0138933
447,0.0394227,0.0161027,0.0792584,0.0141095
448,0.0392258,0.0163366,0.0794926,0.0143535
449,0.0393285,0.0165495,0.0797532,0.0145485
450,0.0394241,0.0169516,0.0800894,0.0149385
451,0.0395004,0.0173407,0.0803594,0.0153035
452,0.0395365,0.0175702,0.0804207,0.0154764
453,0.0395569,0.0177734,0.0805482,0.0158231
454,0.039566,0.0180308,0.0807871,0.0160614
455,0.0395554,0.0183491,0.0811173,0.0161455
456,0.0396747,0.0186364,0.0812244,0.0164593
457,0.0396435,0.0189028,0.0813623,0.0166837
458,0.0395595,0.019146,0.0815197,0.0168519
459,0.0396737,0.0192995,0.0814701,0.017015
460,0.0397186,0.0194123,0.0814496,0.0172343
461,0.0397199,0.0195514,0.0815099,0.0174166
462,0.0396739,0.0197888,0.0817254,0.0174569
463,0.0397317,0.0198568,0.0816716,0.0176419
464,0.0397716,0.0200501,0.0817585,0.0178119
465,0.0397229,0.0204307,0.0820158,0.0179111
466,0.0396992,0.0206958,0.0820552,0.018059
467,0.0397617,0.0208406,0.0821681,0.018232
468,0.0398937,0.0209141,0.0823254,0.018442
469,0.0399497,0.021104,0.0822168,0.0187342
470,0.0399757,0.0212739,0.082269,0.0189457
471,0.04,0.0214875,0.0824392,0.0191399
472,0.03996,0.0218015,0.0825389,0.0193429
473,0.0399806,0.0220868,0.0828213,0.0195138
474,0.0400847,0.0224069,0.0830912,0.0197418
475,0.0402442,0.0227613,0.0831701,0.0200443
476,0.040285,0.0229506,0.083465,0.0203677
477,0.0402984,0.023218,0.0836451,0.0206552
478,0.0403087,0.0235675,0.0837583,0.0209224
479,0.0403829,0.023934,0.0840351,0.0212513
480,0.0404126,0.0243207,0.0843487,0.0215164
481,0.0404189,0.0247138,0.0846181,0.0218035
482,0.0404692,0.0251243,0.0847773,0.0222947
483,0.0405228,0.0253806,0.0849984,0.0226428
484,0.0406417,0.0257337,0.0854097,0.023007
485,0.0407465,0.0262415,0.0858554,0.0233939
486,0.0409954,0.0269283,0.0864273,0.0240323
487,0.0411039,0.0275603,0.0869042,0.0245778
488,0.0411134,0.0281491,0.0873641,0.0250387
489,0.0412747,0.0287603,0.0879463,0.0255678
490,0.0414149,0.0293966,0.0885701,0.0262003
491,0.0415748,0.0300827,0.089261,0.0269097
492,0.0417385,0.0308368,0.0898845,0.0276273
493,0.0418712,0.0317487,0.0906845,0.0284184
494,0.0420783,0.0327399,0.0915772,0.0292532
495,0.0424459,0.0338069,0.0925643,0.030139
496,0.042671,0.0347838,0.0935871,0.0311852
497,0.0428879,0.0357683,0.0945296,0.0322427
498,0.0431711,0.0368306,0.0955196,0.0333403
499,0.043452,0.0381979,0.0968997,0.0345811
500,0.0437886,0.0395644,0.0981718,0.0358661
501,0.0441386,0.0409531,0.0993943,0.0371929
502,0.0444125,0.0424817,0.100737,0.0386086
503,0.0448093,0.0441534,0.102206,0.0401437
504,0.0453196,0.0459023,0.10385,0.04181
505,0.0459216,0.0476708,0.105641,0.043634
506,0.0464651,0.0495085,0.10738,0.0455257
507,0.0470392,0.0514472,0.109137,0.0474696
508,0.0476683,0.0535145,0.110955,0.0494831
509,0.0482206,0.0558565,0.112963,0.0516723
510,0.0489517,0.058194,0.115018,0.0540172
511,0.0498939,0.0606591,0.117315,0.0565845
512,0.050802,0.0632612,0.119597,0.0592527
513,0.0517866,0.0658926,0.121908,0.0619716
514,0.0528144,0.0685603,0.1242,0.0647401
515,0.0538644,0.0713055,0.126397,0.0676008
516,0.0550173,0.0742311,0.128751,0.0705881
517,0.0562105,0.0771892,0.131145,0.0735975
518,0.0574083,0.0801166,0.133487,0.0765775
519,0.0586412,0.0830925,0.135959,0.0797452
520,0.0599547,0.0860064,0.138289,0.0828194
521,0.0612898,0.0888212,0.14044,0.0857659
522,0.0625378,0.0915978,0.14258,0.088678
523,0.0638057,0.0944333,0.144763,0.0915025
524,0.0650572,0.0971558,0.146837,0.0942038
525,0.0662946,0.0995857,0.148669,0.0967766
526,0.0674516,0.101947,0.15034,0.0992366
527,0.0685831,0.104235,0.152012,0.101606
528,0.0696556,0.106369,0.153632,0.103815
529,0.0705781,0.108293,0.155121,0.105873
530,0.0714674,0.110124,0.156399,0.107774
531,0.0722926,0.111823,0.157431,0.109485
532,0.0729768,0.113369,0.158428,0.111054
533,0.0736061,0.114778,0.159329,0.112487
534,0.0741675,0.116021,0.160071,0.113752
535,0.0747702,0.117221,0.160811,0.114969
536,0.0752544,0.11831,0.161448,0.11608
537,0.0756842,0.119309,0.162029,0.117118
538,0.0761064,0.120254,0.162625,0.118129
539,0.0764763,0.12113,0.163083,0.118939
540,0.0767791,0.121898,0.163429,0.11969
541,0.0770458,0.122612,0.163738,0.120444
542,0.0772567,0.123261,0.164012,0.121087
543,0.0774794,0.123831,0.164189,0.121694
544,0.0777245,0.124419,0.164395,0.122317
545,0.0779047,0.125047,0.164654,0.122887
546,0.0780976,0.125652,0.164921,0.123453
547,0.078247,0.126131,0.16503,0.123937
548,0.078377,0.12649,0.164971,0.124374
549,0.0783834,0.126728,0.164947,0.124654
550,0.0784597,0.127074,0.165075,0.124993
551,0.0783718,0.127136,0.164825,0.125008
552,0.0782714,0.127075,0.164559,0.124995
553,0.0780273,0.126907,0.164255,0.124805
554,0.0776274,0.126557,0.163779,0.124388
