# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Quercus crispula laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0508695,0.0128856,0.0114489,0.0712413
351,0.0502522,0.0124087,0.00998125,0.0712971
352,0.050362,0.012704,0.00990461,0.072173
353,0.0500296,0.0103746,0.00936013,0.0704532
354,0.0506392,0.00875695,0.00878996,0.069566
355,0.0512659,0.00792837,0.00898913,0.0690082
356,0.051482,0.00826756,0.0108816,0.0688281
357,0.0495916,0.00819872,0.0103926,0.0701314
358,0.0481599,0.00860086,0.00879163,0.070113
359,0.0477018,0.0096546,0.0062684,0.0683926
360,0.048431,0.00772837,0.00708592,0.0673413
361,0.0481807,0.00815488,0.00728273,0.067419
362,0.0478074,0.0098127,0.00731365,0.0683116
363,0.0495193,0.00928593,0.00868607,0.0681081
364,0.049201,0.00871541,0.00869656,0.0680644
365,0.0484917,0.00771576,0.00849903,0.0675624
366,0.0489735,0.00566655,0.00916236,0.0659581
367,0.0485175,0.00630115,0.00800488,0.067149
368,0.0477646,0.0063103,0.00674862,0.0675609
369,0.0467628,0.00484716,0.0057817,0.0661807
370,0.0480452,0.00530474,0.00677539,0.0658694
371,0.0485593,0.00583263,0.00678931,0.0663424
372,0.0484036,0.00634518,0.00603862,0.0672508
373,0.0485849,0.00672185,0.00573212,0.067598
374,0.0475287,0.00625224,0.00578669,0.0667377
375,0.0465424,0.00555653,0.00561792,0.0660295
376,0.0470202,0.00526638,0.0042358,0.0668368
377,0.0471399,0.0055777,0.00483602,0.0663203
378,0.0473504,0.00563555,0.00573993,0.0663485
379,0.0474616,0.00506594,0.00640023,0.0671459
380,0.047537,0.00566663,0.00562121,0.0665782
381,0.047135,0.00603424,0.00509964,0.0665989
382,0.0463997,0.00603984,0.00490259,0.0670178
383,0.0476658,0.00515776,0.00503185,0.0667726
384,0.0475309,0.00517772,0.0052099,0.0669639
385,0.0469264,0.00546933,0.00537462,0.0673736
386,0.046783,0.00506577,0.00537015,0.0672692
387,0.0471702,0.00469039,0.00513138,0.0674285
388,0.0472866,0.0045691,0.00463062,0.0678059
389,0.0463843,0.00484028,0.00374625,0.0680036
390,0.0469548,0.00514512,0.00446239,0.0681424
391,0.0469313,0.00526602,0.00477948,0.0684195
