# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Quercus crispula laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0616361,0.0244367,0.091669,0.0287307
351,0.0619227,0.0224278,0.0907605,0.0285258
352,0.0612044,0.0227658,0.0902092,0.0265727
353,0.0594029,0.0225242,0.0882154,0.0248769
354,0.0565174,0.0222508,0.0881448,0.0214509
355,0.0543151,0.0218542,0.0877641,0.0185851
356,0.054511,0.0213078,0.0857518,0.0181553
357,0.0553038,0.0201669,0.0855508,0.0196911
358,0.0553347,0.0194249,0.0855751,0.0201105
359,0.0544865,0.0192761,0.0857207,0.0189678
360,0.0537656,0.0182205,0.0849525,0.0190513
361,0.0520521,0.0173611,0.0840917,0.017742
362,0.050456,0.0167528,0.0831967,0.0158458
363,0.0521334,0.0164032,0.0806117,0.0154351
364,0.0520983,0.0151905,0.0797921,0.0146664
365,0.0515861,0.0143325,0.0802549,0.0141468
366,0.0517256,0.015231,0.0824499,0.0146288
367,0.0526645,0.0142135,0.0819423,0.0149813
368,0.0526287,0.013024,0.0809476,0.0145997
369,0.0510432,0.0120227,0.0798084,0.013258
370,0.0498411,0.0126825,0.0798708,0.0131171
371,0.0490221,0.0133085,0.0805066,0.0130082
372,0.0486136,0.0136744,0.081298,0.0129307
373,0.0496361,0.0126432,0.0808089,0.0132516
374,0.0504664,0.0122967,0.0801714,0.0133251
375,0.0507134,0.0121076,0.0798533,0.0132731
376,0.0490653,0.0113223,0.0799914,0.0130733
377,0.0492921,0.0109927,0.0797206,0.0124287
378,0.0495557,0.0112151,0.0801028,0.0120701
379,0.0488566,0.0120389,0.0810095,0.0122011
380,0.04946,0.0125758,0.0814327,0.0136177
381,0.0496333,0.012899,0.0816462,0.0141269
382,0.049283,0.012991,0.081614,0.0137274
383,0.0492421,0.0127496,0.0824617,0.0133043
384,0.048007,0.0126158,0.0823513,0.012259
385,0.0471186,0.0126841,0.0820977,0.011613
386,0.049219,0.0131687,0.0824117,0.0133871
387,0.0492089,0.0132062,0.0829019,0.0138124
388,0.0490781,0.0130193,0.0835603,0.0138748
389,0.0493936,0.0125639,0.0838998,0.0138455
390,0.0489104,0.012573,0.0839919,0.0136671
391,0.0483984,0.0129808,0.0845293,0.0138339
392,0.0480822,0.0137391,0.0856863,0.014365
393,0.0486875,0.0138305,0.0861547,0.014495
394,0.049052,0.0141497,0.0869937,0.0145129
395,0.0492222,0.0145508,0.0877261,0.0146058
396,0.04918,0.0147772,0.0872203,0.0152591
397,0.0490031,0.0150731,0.0876837,0.0152588
398,0.0488626,0.0155409,0.0886196,0.0150992
399,0.0488438,0.0163015,0.0898544,0.015017
400,0.0493638,0.0159546,0.0896152,0.0162058
401,0.0496606,0.0159998,0.0901669,0.0172012
402,0.0496619,0.0166245,0.0917602,0.017824
403,0.0496921,0.0177249,0.0925754,0.0181856
404,0.0497044,0.017747,0.0930994,0.0184656
405,0.0497392,0.0173891,0.0935802,0.0187394
406,0.0496972,0.0184626,0.0943239,0.0191617
407,0.0496336,0.0190712,0.0948908,0.0193755
408,0.0496433,0.0195987,0.0953304,0.0196262
409,0.0498864,0.0203501,0.0957316,0.0201501
