# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance spectrum of Quercus crispula trunk.
#wl,R
350,0.106683
351,0.107448
352,0.105443
353,0.103952
354,0.104536
355,0.104069
356,0.100374
357,0.102471
358,0.104032
359,0.104225
360,0.103047
361,0.101817
362,0.101245
363,0.102461
364,0.102385
365,0.10201
366,0.102486
367,0.10212
368,0.10277
369,0.104795
370,0.10441
371,0.104711
372,0.105298
373,0.104501
374,0.104674
375,0.105641
376,0.10676
377,0.106812
378,0.10754
379,0.108855
380,0.108282
381,0.108942
382,0.110407
383,0.10994
384,0.110382
385,0.111349
386,0.111715
387,0.111592
388,0.111718
389,0.111782
390,0.112821
391,0.113742
392,0.114693
393,0.115031
394,0.115234
395,0.1154
396,0.115739
397,0.117002
398,0.118075
399,0.118147
400,0.118776
401,0.119476
402,0.120207
403,0.12087
404,0.12135
405,0.121762
406,0.12182
407,0.122528
408,0.123277
409,0.123758
410,0.124136
411,0.124635
412,0.125281
413,0.125732
414,0.126392
415,0.126915
416,0.127379
417,0.127806
418,0.128328
419,0.129555
420,0.129915
421,0.130311
422,0.13113
423,0.131666
424,0.131997
425,0.132356
426,0.133307
427,0.133709
428,0.134179
429,0.134995
430,0.135369
431,0.135844
432,0.136519
433,0.136941
434,0.137378
435,0.138045
436,0.139006
437,0.139701
438,0.140087
439,0.140313
440,0.140808
441,0.141461
442,0.14215
443,0.142866
444,0.143525
445,0.143986
446,0.144689
447,0.145315
448,0.145764
449,0.146512
450,0.147359
451,0.148071
452,0.148404
453,0.149058
454,0.149729
455,0.150331
456,0.151067
457,0.15156
458,0.152002
459,0.152768
460,0.153443
461,0.154057
462,0.154582
463,0.155234
464,0.15587
465,0.156298
466,0.157153
467,0.158051
468,0.158949
469,0.159331
470,0.159946
471,0.160763
472,0.161461
473,0.162014
474,0.162699
475,0.163407
476,0.163982
477,0.164541
478,0.165155
479,0.165945
480,0.166707
481,0.16736
482,0.167886
483,0.168303
484,0.16903
485,0.16981
486,0.170627
487,0.171278
488,0.171921
489,0.172624
490,0.173337
491,0.174127
492,0.174719
493,0.175412
494,0.176166
495,0.176993
496,0.177712
497,0.178309
498,0.179029
499,0.179926
500,0.180776
501,0.18154
