# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance spectrum of Quercus myrsinifolia trunk.
#wl,R
350,0.0528844
351,0.0509905
352,0.0513271
353,0.0531474
354,0.0507948
355,0.0452439
356,0.0447987
357,0.047545
358,0.0493045
359,0.0484857
360,0.0495901
361,0.0526734
362,0.055663
363,0.0558314
364,0.0544612
365,0.0529368
366,0.0526222
367,0.0543739
368,0.0535025
369,0.0520155
370,0.0519896
371,0.0511262
372,0.0507927
373,0.0513999
374,0.0526903
375,0.0530831
376,0.0524918
377,0.0515445
378,0.0516765
379,0.051456
380,0.0516044
381,0.05263
382,0.0530218
383,0.0533026
384,0.0532993
385,0.0531486
386,0.0542082
387,0.054549
388,0.0536406
389,0.0529069
390,0.0545387
391,0.0554642
392,0.0534822
393,0.0541194
394,0.054225
395,0.05358
396,0.0537974
397,0.0550144
398,0.0552704
399,0.054198
400,0.0544357
401,0.0542577
402,0.0541113
403,0.0546127
404,0.0548128
405,0.0546117
406,0.0541511
407,0.054045
408,0.0543651
409,0.0546786
410,0.0546678
411,0.0548097
412,0.0549205
413,0.0550363
414,0.0552549
415,0.0551758
416,0.0548657
417,0.0547911
418,0.0555545
419,0.0558396
420,0.0558589
421,0.0559594
422,0.0561358
423,0.0556976
424,0.0550874
425,0.055315
426,0.0560039
427,0.055948
428,0.0553447
429,0.0557023
430,0.0556588
431,0.0555118
432,0.0556501
433,0.0560893
434,0.0555539
435,0.0548898
436,0.056092
437,0.0563686
438,0.0561418
439,0.0561184
440,0.0564745
441,0.0567338
442,0.056885
443,0.0571581
444,0.0572443
445,0.0575319
446,0.0579347
447,0.0577032
448,0.0577919
449,0.0581913
450,0.0585653
451,0.0587821
452,0.0589426
453,0.0591949
454,0.0592957
455,0.0595223
456,0.0596999
457,0.0597116
458,0.0598997
459,0.0600507
460,0.0601638
461,0.060254
462,0.0602664
463,0.0602922
464,0.0604208
465,0.0606571
466,0.0608529
467,0.061033
468,0.061207
469,0.0610632
470,0.0611028
471,0.0613664
472,0.0616174
473,0.0616667
474,0.0618322
475,0.0621056
476,0.0621135
477,0.061999
478,0.0620273
479,0.0624079
480,0.0626461
481,0.0628747
482,0.0630358
483,0.0629722
484,0.0631654
485,0.0634559
486,0.0637772
487,0.0638495
488,0.0642073
489,0.0646573
490,0.0646526
491,0.065219
492,0.0657738
493,0.0659989
494,0.0664792
495,0.06701
496,0.067557
497,0.0680892
498,0.0686295
499,0.069206
500,0.0698626
501,0.0706038
502,0.0713074
503,0.071941
504,0.0725686
505,0.0734314
506,0.0743229
507,0.0752751
508,0.0762818
509,0.0771217
510,0.0779972
511,0.0791532
512,0.0802172
513,0.0812527
514,0.0823732
515,0.0836354
516,0.0847218
517,0.0857796
518,0.0868699
519,0.0880593
520,0.0892984
521,0.0904496
522,0.0914813
523,0.0924196
524,0.0934966
525,0.0946326
526,0.095567
527,0.096653
528,0.097732
529,0.0987181
530,0.0996783
531,0.100495
532,0.101264
533,0.102071
534,0.102749
535,0.103506
536,0.104342
537,0.10507
538,0.105755
539,0.106386
540,0.107062
541,0.107619
542,0.108124
543,0.108639
544,0.109218
545,0.109695
546,0.110211
547,0.110801
548,0.111339
549,0.111877
550,0.112557
551,0.113022
552,0.11346
553,0.113922
554,0.114396
555,0.114817
556,0.115169
557,0.115554
558,0.115872
559,0.116175
560,0.116338
561,0.116389
562,0.116448
563,0.116546
564,0.116593
565,0.116589
566,0.116526
567,0.116537
568,0.116464
569,0.116274
570,0.11611
571,0.11601
572,0.115908
573,0.115777
574,0.115586
575,0.115535
576,0.115422
577,0.115261
578,0.115129
579,0.115105
580,0.115091
581,0.115069
582,0.114991
583,0.114889
584,0.114856
585,0.114814
586,0.11469
587,0.114587
588,0.114622
589,0.114568
590,0.114562
591,0.114551
592,0.114532
593,0.114482
594,0.114566
595,0.114628
596,0.114701
597,0.11481
598,0.114804
599,0.114863
600,0.114813
601,0.114886
602,0.115058
603,0.115037
604,0.11502
605,0.115056
606,0.115035
607,0.115067
608,0.115125
609,0.115039
610,0.114965
611,0.11493
612,0.114841
613,0.114738
614,0.114592
615,0.114347
616,0.114134
617,0.114097
618,0.114121
619,0.114096
620,0.114061
621,0.114066
622,0.114155
623,0.114327
624,0.114473
625,0.114565
626,0.114573
627,0.114624
628,0.114822
629,0.115056
630,0.115049
631,0.11512
632,0.115141
633,0.115076
634,0.115142
635,0.114919
636,0.114527
637,0.114009
638,0.113263
639,0.112367
640,0.111464
641,0.110526
642,0.109452
643,0.108252
644,0.10715
645,0.106027
646,0.105065
647,0.104271
648,0.103392
649,0.102821
650,0.1026
651,0.102427
652,0.102445
653,0.102576
654,0.102661
655,0.102867
656,0.102964
657,0.102771
658,0.102382
659,0.101747
660,0.101071
661,0.100381
662,0.0995476
663,0.0984874
664,0.0974831
665,0.0966723
666,0.0958274
667,0.0950245
668,0.0943577
669,0.0939026
670,0.0934761
671,0.0931925
672,0.0930658
673,0.0931258
674,0.0932372
675,0.0934389
676,0.0936949
677,0.0940825
678,0.0945319
679,0.0950487
680,0.0955391
681,0.0962361
682,0.0972299
683,0.0986158
684,0.100495
685,0.102732
686,0.105351
687,0.108618
688,0.112592
689,0.117004
690,0.121684
691,0.126675
692,0.132017
693,0.137359
694,0.142695
695,0.147981
696,0.153175
697,0.158067
698,0.162796
699,0.16743
700,0.171901
701,0.176052
702,0.17979
703,0.183644
704,0.18727
705,0.19039
706,0.193522
707,0.196699
708,0.199642
709,0.202363
710,0.205172
711,0.207967
712,0.210552
713,0.213025
714,0.215524
715,0.217897
716,0.22044
717,0.223033
718,0.225084
719,0.227056
720,0.229508
721,0.231665
722,0.233808
723,0.235788
724,0.23767
725,0.239973
726,0.242194
727,0.244257
728,0.245945
729,0.247753
730,0.249498
731,0.251297
732,0.252996
733,0.254634
734,0.256534
735,0.258174
736,0.25969
737,0.26133
738,0.263051
739,0.264508
740,0.265714
741,0.266969
742,0.268744
743,0.270003
744,0.270979
745,0.272136
746,0.273448
747,0.274795
748,0.275745
749,0.277098
750,0.278093
751,0.279033
752,0.280273
753,0.281347
754,0.282601
755,0.283923
