# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Solidago altissima laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0527472,0.013991,0.0592653,0.0159113
351,0.0535655,0.0158543,0.0627016,0.0180814
352,0.0549946,0.015492,0.0654265,0.0205945
353,0.0538815,0.0163129,0.0627174,0.0202044
354,0.0558383,0.0136976,0.0605478,0.018227
355,0.0563262,0.0109823,0.059232,0.0153575
356,0.0518092,0.0104884,0.0595525,0.0116889
357,0.0522415,0.0116311,0.0594537,0.0124402
358,0.0527744,0.012541,0.0593948,0.0130604
359,0.0527201,0.0129425,0.0595569,0.0128441
360,0.052264,0.0125283,0.0586554,0.0109728
361,0.0509093,0.0110825,0.0578441,0.00995482
362,0.0493787,0.0093112,0.0572249,0.00958029
363,0.049088,0.00923413,0.0560838,0.00936597
364,0.0483047,0.00901984,0.0550823,0.00872672
365,0.0478602,0.0087997,0.0546098,0.00864418
366,0.0488848,0.00871972,0.0554772,0.0103817
367,0.049241,0.0089238,0.0563808,0.0104453
368,0.0494575,0.00894306,0.0562949,0.0103837
369,0.049573,0.00864001,0.0548134,0.0105383
370,0.0500137,0.007572,0.0546481,0.00962149
371,0.0505237,0.00699142,0.0550927,0.00978402
372,0.0508864,0.0070132,0.0557252,0.0105226
373,0.0502247,0.00867672,0.0548696,0.00904101
374,0.0496373,0.00930517,0.0552635,0.00870648
375,0.0490831,0.00947906,0.0564371,0.00889347
376,0.0480773,0.00965063,0.0577695,0.00898406
377,0.0491606,0.00809504,0.0583104,0.00921134
378,0.0498773,0.00717563,0.0579886,0.00912942
379,0.0489495,0.00774969,0.056171,0.00845714
380,0.0498366,0.00867502,0.0579448,0.00913966
381,0.0497288,0.00906319,0.0590408,0.00925805
382,0.0486628,0.00895152,0.0592526,0.008874
383,0.048995,0.0090062,0.0598653,0.00953637
384,0.0494345,0.00813669,0.0593535,0.00937575
385,0.0498045,0.00724224,0.0590252,0.00893845
386,0.0493646,0.0078449,0.0609008,0.00891307
387,0.0488567,0.00818811,0.0610732,0.00889351
388,0.0485841,0.00847574,0.0613592,0.00879846
389,0.0484227,0.00873619,0.0622332,0.0085117
390,0.0484073,0.0097938,0.0632866,0.00907323
391,0.0485893,0.00990095,0.064273,0.00955328
392,0.0490111,0.00905684,0.0652878,0.00987967
393,0.0484126,0.00886019,0.0654714,0.00970849
394,0.0485219,0.00897381,0.065855,0.00985573
395,0.0489529,0.00911206,0.0662943,0.0101683
396,0.0490806,0.00864307,0.066523,0.0104239
397,0.0493166,0.00982241,0.0680408,0.010904
398,0.0493612,0.0110507,0.0694378,0.0113066
399,0.0489291,0.0113767,0.0697856,0.0114184
400,0.0490907,0.0115264,0.0706748,0.0113121
401,0.0491533,0.0117592,0.0716903,0.0115724
402,0.0490588,0.0121011,0.0727641,0.012269
403,0.0496068,0.0121834,0.072676,0.0134612
404,0.0499594,0.0126643,0.0731608,0.0138928
405,0.0500951,0.0134522,0.074133,0.0140244
406,0.0495132,0.0144687,0.0753596,0.0150084
407,0.0494971,0.0149338,0.0764082,0.0153205
408,0.0495145,0.0152199,0.0771888,0.0155855
409,0.0492179,0.015557,0.0776106,0.0162966
410,0.0497604,0.0165599,0.0782728,0.0169044
411,0.0503443,0.0173244,0.0788911,0.0177582
412,0.0508154,0.0176764,0.0794039,0.0189334
413,0.0507149,0.0183885,0.0804132,0.019741
414,0.0505857,0.0194315,0.0812822,0.020138
415,0.0504131,0.0205382,0.081875,0.0203068
416,0.0507698,0.0208473,0.0825209,0.0211923
417,0.0508787,0.0216308,0.0831735,0.0218861
418,0.0509887,0.0225165,0.0836688,0.0225393
419,0.0515346,0.0232544,0.0840106,0.0233807
420,0.0516875,0.024098,0.0846745,0.0243877
421,0.0518139,0.0248658,0.0853648,0.0253434
422,0.0520652,0.0255321,0.0860937,0.026213
423,0.0522221,0.026227,0.0865602,0.026721
424,0.0523433,0.0268957,0.0868188,0.0273058
425,0.0524997,0.0275497,0.0870202,0.0279693
426,0.0527778,0.0280956,0.0874576,0.0284967
427,0.052882,0.0287096,0.0880229,0.0291335
428,0.0530498,0.0293933,0.0886811,0.029866
429,0.0534014,0.0300801,0.0890328,0.030613
430,0.0533907,0.0306871,0.0891646,0.0310915
431,0.053442,0.0311692,0.0894166,0.0316122
432,0.0536763,0.0314638,0.0898617,0.0322844
433,0.0537648,0.0322051,0.0903271,0.0327563
434,0.0538005,0.0327366,0.0904562,0.0331821
435,0.0538914,0.0331231,0.0904742,0.0336513
436,0.0542942,0.0338323,0.0914187,0.0345153
437,0.0544541,0.0345355,0.0922179,0.0351134
438,0.05449,0.0351211,0.0926768,0.035613
439,0.0547145,0.0354153,0.0924975,0.0363924
440,0.0547709,0.0360306,0.0928272,0.0367803
441,0.0548606,0.0367293,0.093332,0.0372824
442,0.0550482,0.0373963,0.093827,0.038165
443,0.0552006,0.0382379,0.0944329,0.0386505
444,0.0552788,0.0390003,0.0950003,0.0392734
445,0.0552436,0.0396218,0.0954284,0.0400374
446,0.0556101,0.0402252,0.0960673,0.0407367
447,0.0558641,0.040906,0.0965513,0.0415511
448,0.0560211,0.0415752,0.0968817,0.0423793
449,0.0563913,0.0422342,0.0975322,0.043219
450,0.0564654,0.043011,0.0981419,0.0437993
451,0.0564741,0.0436874,0.098662,0.04437
452,0.0565414,0.0440659,0.0990074,0.0450985
453,0.056685,0.0447891,0.0994867,0.0457571
454,0.0568844,0.0454712,0.0999244,0.0464016
455,0.0571243,0.0460358,0.100264,0.0470275
456,0.0574085,0.0464318,0.100558,0.0475822
457,0.0574954,0.0468439,0.100882,0.0480244
458,0.0574665,0.0472931,0.101229,0.048394
459,0.0574226,0.0477771,0.101356,0.0486833
460,0.0574812,0.0482691,0.101818,0.0491363
461,0.057625,0.0486582,0.102238,0.0496085
462,0.0578668,0.0487903,0.102243,0.049973
463,0.0578745,0.0492216,0.102598,0.0503367
464,0.0579312,0.0497128,0.102924,0.0507843
465,0.0580519,0.0501648,0.103025,0.0512994
466,0.0582056,0.0504578,0.103326,0.0516287
467,0.0584007,0.0508696,0.103771,0.0520409
468,0.0586098,0.0513663,0.10429,0.0525207
469,0.0585761,0.0516957,0.104335,0.0529096
470,0.0587594,0.0521074,0.104514,0.0533558
471,0.0590769,0.0525984,0.104896,0.0538857
472,0.0593631,0.0530869,0.105431,0.0544489
473,0.0595354,0.0536204,0.1058,0.0550819
474,0.0596919,0.0542042,0.106181,0.0556756
475,0.059779,0.0547794,0.106488,0.0561154
476,0.0598903,0.0553189,0.106833,0.0567063
477,0.0600284,0.0558098,0.107248,0.0573206
478,0.0602232,0.056309,0.107761,0.0579729
479,0.0605838,0.0571084,0.108364,0.0586978
480,0.0608749,0.0578948,0.108847,0.0594206
481,0.0611326,0.0586292,0.109258,0.0601278
482,0.0614703,0.0592848,0.109754,0.060855
483,0.0617057,0.0598951,0.110131,0.0617067
484,0.0619946,0.0606408,0.110721,0.0626343
485,0.0622251,0.0614529,0.111381,0.0634483
486,0.0626993,0.0624818,0.112181,0.0645756
487,0.063138,0.0634556,0.112941,0.0656655
488,0.0635892,0.0644276,0.113751,0.0667711
489,0.064146,0.0655463,0.114574,0.0681274
490,0.0647155,0.0667847,0.115404,0.069406
491,0.065323,0.0681212,0.116346,0.0707229
492,0.0658711,0.0693992,0.117396,0.0721794
493,0.0665396,0.0707865,0.118462,0.0737696
494,0.0672717,0.0722833,0.119588,0.0754571
495,0.068067,0.0739452,0.120838,0.0772745
496,0.0688892,0.075762,0.1222,0.079164
497,0.0696974,0.0775163,0.123518,0.0810647
498,0.0705849,0.0792968,0.124942,0.0830856
499,0.0715883,0.0813084,0.126473,0.0853612
500,0.0727124,0.083414,0.128054,0.0876916
501,0.0739229,0.0855995,0.129666,0.0900928
502,0.0752129,0.0879425,0.131333,0.0927266
503,0.0765265,0.0903383,0.133046,0.0954224
504,0.0779809,0.0928728,0.134907,0.0982774
505,0.0796222,0.0955678,0.136875,0.101327
506,0.0812566,0.098407,0.139006,0.104421
507,0.0829403,0.101331,0.141151,0.107625
508,0.084709,0.104369,0.143327,0.110986
509,0.0867738,0.107538,0.145643,0.114486
510,0.0889407,0.110841,0.148009,0.11812
511,0.0913483,0.114437,0.150673,0.122075
512,0.0938018,0.11803,0.153282,0.12609
513,0.0962671,0.121692,0.155955,0.130075
514,0.0988355,0.12542,0.158642,0.134149
515,0.101649,0.129253,0.161272,0.138481
516,0.104565,0.133173,0.164136,0.142826
517,0.107564,0.137188,0.167063,0.147199
518,0.1106,0.141246,0.169928,0.151536
519,0.113776,0.145267,0.172776,0.156132
520,0.116865,0.149283,0.175614,0.160524
521,0.119848,0.153198,0.17835,0.164675
522,0.12299,0.156978,0.181028,0.168853
523,0.126216,0.160839,0.183809,0.173112
524,0.129351,0.164589,0.186493,0.177232
525,0.132255,0.168082,0.188926,0.181027
526,0.135047,0.171445,0.191274,0.184648
527,0.137815,0.174723,0.19363,0.18821
528,0.140496,0.177803,0.195893,0.191624
529,0.143109,0.180873,0.198063,0.194989
530,0.145505,0.183683,0.200015,0.198066
531,0.147642,0.186177,0.201692,0.200802
532,0.149685,0.188568,0.203307,0.203428
533,0.151624,0.19088,0.20492,0.205934
534,0.153381,0.19297,0.206355,0.208184
535,0.155085,0.194924,0.207688,0.210294
536,0.156669,0.196768,0.208947,0.212338
537,0.15815,0.19853,0.210155,0.214305
538,0.159576,0.200285,0.211388,0.216263
539,0.160835,0.201819,0.212427,0.217931
540,0.16201,0.203252,0.213318,0.219459
541,0.163171,0.204676,0.214165,0.220945
542,0.164161,0.205894,0.215004,0.222213
543,0.165026,0.206956,0.215695,0.223364
544,0.165895,0.208023,0.216392,0.224542
545,0.16679,0.209125,0.217093,0.225721
546,0.167652,0.210192,0.217789,0.226911
547,0.168365,0.211107,0.218351,0.227928
548,0.168964,0.211942,0.21885,0.228813
549,0.169439,0.212655,0.219284,0.229515
550,0.170039,0.213515,0.219885,0.230409
551,0.170233,0.213854,0.219964,0.230783
552,0.170332,0.214113,0.220131,0.231131
553,0.170326,0.214338,0.220259,0.231376
554,0.170114,0.214346,0.220172,0.231361
555,0.169714,0.214034,0.219801,0.231084
556,0.169061,0.213602,0.219357,0.230557
557,0.168407,0.213238,0.219012,0.230088
558,0.167584,0.212654,0.218468,0.229451
559,0.166501,0.211727,0.217717,0.228462
560,0.16535,0.210713,0.216856,0.227365
561,0.16421,0.209713,0.21596,0.226262
562,0.162835,0.208377,0.214903,0.224853
563,0.161422,0.207093,0.213916,0.223434
564,0.159904,0.205744,0.21287,0.221906
565,0.158292,0.204215,0.21163,0.220254
566,0.156589,0.202623,0.210346,0.2185
567,0.154967,0.201182,0.209235,0.216891
568,0.153189,0.199601,0.207999,0.215124
569,0.15129,0.1978,0.206582,0.213163
570,0.149471,0.196041,0.205205,0.211228
571,0.147791,0.194389,0.20392,0.209369
572,0.146078,0.192718,0.202641,0.207529
573,0.144368,0.191058,0.201374,0.205706
574,0.142582,0.18929,0.199989,0.203775
575,0.141031,0.187739,0.19882,0.202086
576,0.139441,0.186159,0.197561,0.200374
577,0.137829,0.184542,0.196249,0.198615
578,0.136331,0.183022,0.195074,0.196927
579,0.135031,0.181718,0.19411,0.195479
580,0.13374,0.18044,0.193135,0.194057
581,0.132428,0.179175,0.192124,0.192644
582,0.131218,0.177842,0.191082,0.191269
583,0.130033,0.176625,0.190151,0.189937
584,0.128959,0.175629,0.189439,0.188777
585,0.127968,0.174544,0.188576,0.187657
586,0.126847,0.173394,0.187619,0.186363
587,0.125794,0.172351,0.186773,0.185161
588,0.125066,0.171606,0.186271,0.184391
589,0.124212,0.170754,0.185622,0.183438
590,0.123384,0.169926,0.184958,0.182508
591,0.122605,0.169112,0.184246,0.181617
592,0.121852,0.168296,0.183566,0.180716
593,0.121088,0.167498,0.182883,0.17982
594,0.120435,0.166892,0.182384,0.179121
595,0.119872,0.166348,0.181959,0.178507
596,0.119293,0.165745,0.181465,0.177852
597,0.118677,0.165076,0.180903,0.177137
598,0.117965,0.164315,0.180262,0.176305
599,0.117414,0.163723,0.179838,0.175689
600,0.1167,0.162944,0.179199,0.174839
601,0.115908,0.162178,0.178541,0.173915
602,0.115302,0.161519,0.178061,0.173208
603,0.114465,0.160576,0.17731,0.172175
604,0.113566,0.159611,0.176576,0.171079
605,0.11274,0.158676,0.175836,0.170032
606,0.111843,0.157684,0.175067,0.168916
607,0.110925,0.15668,0.174327,0.167795
608,0.109932,0.155514,0.173477,0.16656
609,0.108834,0.15424,0.1725,0.165143
610,0.107773,0.153024,0.171587,0.163768
611,0.106771,0.15188,0.170751,0.16248
612,0.105731,0.150626,0.169777,0.161082
613,0.104681,0.14939,0.168843,0.159698
614,0.103598,0.148165,0.167955,0.158318
615,0.102644,0.146965,0.16698,0.156986
616,0.101772,0.145887,0.166121,0.155813
617,0.100997,0.144948,0.16541,0.154799
618,0.100283,0.144075,0.16481,0.153791
619,0.0996308,0.143242,0.164239,0.152877
620,0.0989833,0.142432,0.163635,0.152
621,0.0983482,0.141748,0.163025,0.151227
622,0.0978685,0.141179,0.16259,0.150587
623,0.0974416,0.14067,0.162213,0.15001
624,0.0970214,0.140172,0.161823,0.149444
625,0.0966311,0.139679,0.161433,0.148899
626,0.0962676,0.139216,0.161039,0.148388
627,0.0959231,0.138778,0.160647,0.147908
628,0.0955884,0.138379,0.160365,0.147491
629,0.0952075,0.137921,0.160007,0.147007
630,0.0947332,0.137339,0.159502,0.146367
631,0.0942074,0.136709,0.158946,0.145608
632,0.0936282,0.135853,0.158229,0.144725
633,0.0929766,0.134899,0.157479,0.143716
634,0.092364,0.134076,0.156983,0.142761
635,0.0914913,0.132858,0.156084,0.141409
636,0.0905034,0.131419,0.154968,0.139837
637,0.0894884,0.129887,0.153794,0.138175
638,0.0882525,0.12804,0.152374,0.136161
639,0.08693,0.125984,0.150825,0.133941
640,0.0856567,0.123935,0.14934,0.131726
641,0.0843841,0.121805,0.147736,0.129395
642,0.0830133,0.119569,0.146141,0.126951
643,0.0816329,0.117292,0.144498,0.124446
644,0.0803817,0.115133,0.142939,0.122039
645,0.0791298,0.112981,0.141386,0.11963
646,0.0779861,0.110987,0.139943,0.117412
647,0.0769816,0.109196,0.138662,0.115435
