# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Solidago altissima laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0500035,0.00282035,0.0590343,0.00637135
351,0.0479391,0.00302869,0.0581633,0.00469334
352,0.0469412,0.00418538,0.0566565,0.0062823
353,0.0514544,0.00448244,0.0599694,0.00837104
354,0.052403,0.00319944,0.0583293,0.00862207
355,0.0517415,0.00180066,0.0561186,0.00861919
356,0.0504192,0.001258,0.0564103,0.00940863
357,0.0510841,0.00151325,0.0535508,0.00746806
358,0.0512283,0.00180196,0.0522587,0.00586203
359,0.050532,0.00200373,0.0533953,0.00509774
360,0.0484197,0.00111838,0.0549256,0.00474035
361,0.0474754,0.00214691,0.0552069,0.00452766
362,0.0476183,0.00377303,0.0549376,0.0044947
363,0.0485004,0.00158862,0.0551402,0.00484119
364,0.0488212,0.00167956,0.054776,0.00464093
365,0.0487961,0.00246384,0.0543299,0.00424433
366,0.0486309,0.00276815,0.0544041,0.00389315
367,0.0491097,0.00168012,0.0550151,0.00406099
368,0.0489729,0.00158986,0.0555854,0.00444366
369,0.0477945,0.00313179,0.055896,0.00498201
370,0.0485892,0.00288098,0.0562969,0.00353241
371,0.0482911,0.00272271,0.0561117,0.00296165
372,0.0472937,0.00268436,0.0554783,0.00305905
373,0.0483133,0.00272413,0.0554913,0.00265316
374,0.0478177,0.00219928,0.054815,0.00315586
375,0.0473415,0.00160849,0.0543913,0.00381203
376,0.0486011,0.00156479,0.0551826,0.00365905
377,0.0481152,0.00190338,0.0562282,0.00289575
378,0.0474368,0.00231059,0.0570131,0.00226409
379,0.0466963,0.00267616,0.0568879,0.00201898
380,0.0475645,0.00319387,0.0568537,0.00379289
381,0.0476032,0.00308949,0.0571555,0.00376963
382,0.0468081,0.00240592,0.0576021,0.00225939
383,0.0469784,0.00161038,0.0576613,0.00333437
384,0.0475006,0.00133939,0.0580066,0.00353353
385,0.0481017,0.0013098,0.058491,0.00329107
386,0.0479977,0.00117593,0.0585102,0.00303058
387,0.0478529,0.00193206,0.0596558,0.0032607
388,0.0478421,0.00221736,0.0606353,0.00367762
389,0.0477692,0.00127401,0.0604439,0.00417344
390,0.048413,0.00188935,0.0612687,0.00475269
391,0.0487508,0.00212946,0.0620085,0.00475208
392,0.0488123,0.00190416,0.0626877,0.00419465
393,0.0483529,0.00223211,0.062736,0.00389079
394,0.0479226,0.0026837,0.0633069,0.00359502
395,0.0476349,0.00314513,0.0641504,0.00341062
396,0.047847,0.00337997,0.064921,0.00364886
397,0.0483809,0.00332149,0.0652573,0.00415968
398,0.048782,0.00322098,0.0657941,0.00447885
399,0.0487035,0.00321745,0.0669701,0.00425359
400,0.0488043,0.00369517,0.0679278,0.00422427
401,0.0488556,0.00392669,0.0687024,0.00441409
402,0.0488445,0.00383298,0.0693304,0.00479645
403,0.0487926,0.00379163,0.0701745,0.00435848
404,0.0491318,0.00361443,0.0707028,0.00472066
405,0.0495979,0.00358486,0.0712342,0.00542094
406,0.0492325,0.00469011,0.0724383,0.00526109
407,0.0492431,0.00516023,0.0732755,0.00542658
408,0.0493032,0.00522202,0.0738966,0.0056114
409,0.0492321,0.00486898,0.0744152,0.00559719
410,0.0494046,0.00500128,0.0750942,0.00569772
411,0.049639,0.00544888,0.0759294,0.00604408
412,0.0498954,0.00618708,0.0769137,0.00666842
413,0.0499661,0.00637057,0.0776674,0.00665531
414,0.050317,0.00661866,0.0785578,0.00691113
415,0.050765,0.00689319,0.0793575,0.00736557
416,0.0512457,0.00711593,0.0800469,0.00793587
417,0.0512421,0.00756485,0.080601,0.0081456
418,0.0510969,0.00800837,0.0811367,0.00823529
419,0.0512592,0.00822632,0.08204,0.00842481
420,0.0518195,0.00852815,0.0828899,0.00903913
421,0.0523541,0.00882286,0.0836168,0.00952739
422,0.0528003,0.00909859,0.0842778,0.00973967
423,0.0528901,0.00969877,0.0847417,0.0100579
424,0.0530146,0.0100448,0.0851876,0.0103676
425,0.0532249,0.010234,0.0856999,0.0106791
426,0.0534317,0.0108645,0.0861782,0.011009
427,0.0537925,0.0111063,0.0867513,0.0113382
428,0.0541702,0.0112805,0.0873896,0.0115781
429,0.0541275,0.0117534,0.0876883,0.0115003
430,0.0542955,0.0121882,0.0880738,0.0120648
431,0.0546031,0.0125341,0.0884756,0.0126119
432,0.0550032,0.0127504,0.0887913,0.0128853
433,0.055004,0.0128815,0.0889368,0.013119
434,0.055079,0.0131174,0.0893202,0.0134385
435,0.0553154,0.0134653,0.0900135,0.0138395
436,0.0555603,0.0137614,0.0903429,0.0140411
437,0.0558926,0.0139896,0.0907613,0.0141904
438,0.0561456,0.014148,0.0911135,0.0143345
439,0.0561288,0.0142332,0.0913455,0.014603
440,0.0562151,0.0147343,0.091668,0.0149025
441,0.0564221,0.0152317,0.0920357,0.0152336
442,0.056752,0.0155062,0.0923636,0.0156022
443,0.0569965,0.0158038,0.092791,0.0158551
