Line 38 x,Line 38 y
2.525052849712E2,5.412249833626E-2
2.534260619061E2,5.005780736253E-2
2.543468388410E2,4.599311638880E-2
2.552646880272E2,4.599799596980E-2
2.561825372135E2,4.600287555080E-2
2.571033141484E2,4.193818457707E-2
2.580240910832E2,3.787349360334E-2
2.589419402695E2,3.787837318434E-2
2.598597894558E2,3.788325276534E-2
2.607776386420E2,3.788813234634E-2
2.616954878283E2,3.789301192734E-2
2.626133370146E2,3.789789150834E-2
2.635311862008E2,3.790277108934E-2
2.644490353871E2,3.790765067034E-2
2.653668845733E2,3.791253025134E-2
2.662847337596E2,3.791740983234E-2
2.672025829459E2,3.792228941335E-2
2.681233598807E2,3.385759843961E-2
2.690412090670E2,3.386247802062E-2
2.699561305047E2,3.793692815635E-2
2.708739796909E2,3.794180773735E-2
2.717918288772E2,3.794668731835E-2
2.727096780635E2,3.795156689935E-2
2.736245995011E2,4.202601703508E-2
2.745424486874E2,4.203089661608E-2
2.754602978737E2,4.203577619709E-2
2.763781470599E2,4.204065577809E-2
2.772959962462E2,4.204553535909E-2
2.782138454325E2,4.205041494009E-2
2.791316946187E2,4.205529452109E-2
2.800495438050E2,4.206017410209E-2
2.809673929913E2,4.206505368309E-2
2.818852421775E2,4.206993326409E-2
2.828001636152E2,4.614438339982E-2
2.837180128014E2,4.614926298082E-2
2.846358619877E2,4.615414256183E-2
2.855537111740E2,4.615902214283E-2
2.864686326116E2,5.023347227856E-2
2.873864817979E2,5.023835185956E-2
2.883043309842E2,5.024323144056E-2
2.892192524218E2,5.431768157629E-2
2.901341738595E2,5.839213171203E-2
2.910520230458E2,5.839701129303E-2
2.919640167348E2,6.654103198349E-2
2.919669444834E2,6.247146142876E-2
2.928789381725E2,7.061548211922E-2
2.937938596102E2,7.468993225496E-2
2.947087810478E2,7.876438239069E-2
2.956237024855E2,8.283883252642E-2
2.965386239232E2,8.691328266215E-2
2.974535453608E2,9.098773279789E-2
2.983684667985E2,9.506218293362E-2
2.992863159847E2,9.506706251462E-2
3.001983096738E2,1.032110832051E-1
3.002012374224E2,9.914151265035E-2
3.011073756143E2,1.154246744503E-1
3.011103033629E2,1.113551038955E-1
3.011132311115E2,1.072855333408E-1
3.020164415547E2,1.276382656955E-1
3.020193693033E2,1.235686951407E-1
3.020222970519E2,1.194991245860E-1
3.029255074952E2,1.398518569407E-1
3.029284352438E2,1.357822863859E-1
3.029313629924E2,1.317127158312E-1
3.038345734357E2,1.520654481859E-1
3.038375011843E2,1.479958776311E-1
3.038404289329E2,1.439263070764E-1
3.047465671247E2,1.602094688763E-1
3.047494948733E2,1.561398983216E-1
3.056614885624E2,1.642839190121E-1
3.065764100001E2,1.683583691478E-1
3.074913314377E2,1.724328192835E-1
3.084091806240E2,1.724376988645E-1
3.093241020616E2,1.765121490003E-1
3.107008758410E2,1.765194683718E-1
3.111568726856E2,1.805914787170E-1
3.120717941232E2,1.846659288527E-1
3.129837878123E2,1.928099495432E-1
3.129867155609E2,1.887403789885E-1
3.138928537528E2,2.050235407884E-1
3.138957815014E2,2.009539702337E-1
3.138987092500E2,1.968843996789E-1
3.147989919446E2,2.213067025883E-1
3.148019196932E2,2.172371320336E-1
3.148048474418E2,2.131675614789E-1
3.148077751904E2,2.090979909241E-1
3.157051301365E2,2.375898643882E-1
3.157080578851E2,2.335202938335E-1
3.157109856337E2,2.294507232788E-1
3.157139133823E2,2.253811527240E-1
3.166141960770E2,2.498034556334E-1
3.166171238256E2,2.457338850787E-1
3.166200515742E2,2.416643145240E-1
3.175232620174E2,2.620170468786E-1
3.175261897660E2,2.579474763239E-1
3.175291175146E2,2.538779057692E-1
3.184381834551E2,2.660914970144E-1
3.193560326414E2,2.660963765954E-1
3.202768095762E2,2.620316856216E-1
3.202797373248E2,2.579621150669E-1
3.212005142597E2,2.538974240932E-1
3.221212911946E2,2.498327331194E-1
3.221242189432E2,2.457631625647E-1
3.230449958780E2,2.416984715910E-1
3.230479236266E2,2.376289010363E-1
3.230508513752E2,2.335593304815E-1
3.230537791238E2,2.294897599268E-1
3.230567068724E2,2.254201893721E-1
3.239774838073E2,2.213554983983E-1
3.239804115559E2,2.172859278436E-1
3.239833393045E2,2.132163572889E-1
3.239862670531E2,2.091467867341E-1
3.249070439880E2,2.050820957604E-1
3.249099717366E2,2.010125252057E-1
3.249128994852E2,1.969429546509E-1
3.249158272338E2,1.928733840962E-1
3.249187549824E2,1.888038135415E-1
3.258395319172E2,1.847391225677E-1
3.258424596658E2,1.806695520130E-1
3.258453874144E2,1.765999814583E-1
3.258483151630E2,1.725304109035E-1
3.258512429116E2,1.684608403488E-1
3.267720198465E2,1.643961493751E-1
3.267749475951E2,1.603265788204E-1
3.267778753437E2,1.562570082656E-1
3.267808030923E2,1.521874377109E-1
3.267837308409E2,1.481178671562E-1
3.277045077758E2,1.440531761824E-1
3.277074355244E2,1.399836056277E-1
3.277103632730E2,1.359140350730E-1
3.277132910216E2,1.318444645182E-1
3.286340679564E2,1.277797735445E-1
3.286369957050E2,1.237102029898E-1
3.286399234536E2,1.196406324350E-1
3.295607003885E2,1.155759414613E-1
3.295636281371E2,1.115063709066E-1
3.295665558857E2,1.074368003518E-1
3.295694836343E2,1.033672297971E-1
3.304902605692E2,9.930253882338E-2
3.304931883178E2,9.523296826865E-2
3.304961160664E2,9.116339771392E-2
3.304990438150E2,8.709382715919E-2
3.314198207498E2,8.302913618546E-2
3.314227484984E2,7.895956563072E-2
3.314256762470E2,7.488999507599E-2
3.323464531819E2,7.082530410226E-2
3.332672301168E2,6.676061312853E-2
3.341880070516E2,6.269592215480E-2
3.351087839865E2,5.863123118107E-2
3.360295609214E2,5.456654020734E-2
3.369503378562E2,5.050184923361E-2
3.378711147911E2,4.643715825988E-2
3.387889639773E2,4.644203784088E-2
3.397097409122E2,4.237734686715E-2
3.406275900985E2,4.238222644815E-2
3.415483670333E2,3.831753547442E-2
3.424662162196E2,3.832241505542E-2
3.433840654059E2,3.832729463642E-2
3.443019145921E2,3.833217421742E-2
3.452197637784E2,3.833705379842E-2
3.461376129647E2,3.834193337942E-2
3.470583898995E2,3.427724240569E-2
3.479762390858E2,3.428212198669E-2
3.488940882721E2,3.428700156769E-2
3.498119374583E2,3.429188114869E-2
3.507297866446E2,3.429676072969E-2
3.516476358309E2,3.430164031069E-2
3.525654850171E2,3.430651989170E-2
3.534833342034E2,3.431139947270E-2
3.544011833897E2,3.431627905370E-2
3.553190325759E2,3.432115863470E-2
3.562368817622E2,3.432603821570E-2
3.571547309484E2,3.433091779670E-2
3.580725801347E2,3.433579737770E-2
3.589904293210E2,3.434067695870E-2
3.599082785072E2,3.434555653970E-2
3.608261276935E2,3.435043612070E-2
3.617410491312E2,3.842488625644E-2
3.626588983174E2,3.842976583744E-2
3.635767475037E2,3.843464541844E-2
3.644945966900E2,3.843952499944E-2
3.654124458762E2,3.844440458044E-2
3.663302950625E2,3.844928416144E-2
3.672481442488E2,3.845416374244E-2
3.681630656864E2,4.252861387817E-2
3.690809148727E2,4.253349345917E-2
3.699987640590E2,4.253837304018E-2
3.709136854966E2,4.661282317591E-2
3.718315346829E2,4.661770275691E-2
3.727493838692E2,4.662258233791E-2
3.736672330554E2,4.662746191891E-2
3.745850822417E2,4.663234149991E-2
3.755000036793E2,5.070679163564E-2
3.764178528656E2,5.071167121665E-2
3.773357020519E2,5.071655079765E-2
3.782535512381E2,5.072143037865E-2
3.791714004244E2,5.072630995965E-2
3.800892496107E2,5.073118954065E-2
3.810070987969E2,5.073606912165E-2
3.819249479832E2,5.074094870265E-2
3.828398694209E2,5.481539883838E-2
3.837577186071E2,5.482027841938E-2
3.846726400448E2,5.889472855512E-2
3.855875614825E2,6.296917869085E-2
3.865054106687E2,6.297405827185E-2
3.874232598550E2,6.297893785285E-2
3.883381812927E2,6.705338798858E-2
3.892531027303E2,7.112783812432E-2
3.901680241680E2,7.520228826005E-2
3.910829456056E2,7.927673839578E-2
3.920007947919E2,7.928161797678E-2
3.929157162296E2,8.335606811251E-2
3.938335654158E2,8.336094769352E-2
3.947514146021E2,8.336582727452E-2
3.956692637884E2,8.337070685552E-2
3.965841852260E2,8.744515699125E-2
3.975020344123E2,8.745003657225E-2
3.984198835986E2,8.745491615325E-2
3.993348050362E2,9.152936628898E-2
4.002526542225E2,9.153424586998E-2
4.011705034088E2,9.153912545099E-2
4.020854248464E2,9.561357558672E-2
4.030032740327E2,9.561845516772E-2
4.039181954704E2,9.969290530345E-2
4.048331169080E2,1.037673554392E-1
4.057480383457E2,1.078418055749E-1
4.066629597834E2,1.119162557106E-1
4.075778812210E2,1.159907058464E-1
4.084928026587E2,1.200651559821E-1
4.094106518449E2,1.200700355631E-1
4.103255732826E2,1.241444856988E-1
4.112434224689E2,1.241493652798E-1
4.121583439065E2,1.282238154156E-1
4.130732653442E2,1.322982655513E-1
4.139881867819E2,1.363727156870E-1
4.149001804709E2,1.445167363775E-1
4.149031082195E2,1.404471658228E-1
4.158121741600E2,1.526607570680E-1
4.158151019086E2,1.485911865132E-1
4.167270955977E2,1.567352072037E-1
4.176420170353E2,1.608096573394E-1
4.185569384730E2,1.648841074752E-1
4.194718599107E2,1.689585576109E-1
4.203867813483E2,1.730330077466E-1
4.213017027860E2,1.771074578824E-1
4.222136964750E2,1.852514785728E-1
4.222166242236E2,1.811819080181E-1
4.231256901641E2,1.933954992633E-1
4.231286179127E2,1.893259287086E-1
4.240406116018E2,1.974699493990E-1
4.249526052908E2,2.056139700895E-1
4.249555330394E2,2.015443995348E-1
4.258645989799E2,2.137579907800E-1
4.258675267285E2,2.096884202252E-1
4.267765926690E2,2.219020114704E-1
4.267795204176E2,2.178324409157E-1
4.276885863580E2,2.300460321609E-1
4.276915141066E2,2.259764616062E-1
4.286005800471E2,2.381900528514E-1
4.286035077957E2,2.341204822966E-1
4.295125737362E2,2.463340735418E-1
4.295155014848E2,2.422645029871E-1
4.304245674252E2,2.544780942323E-1
4.304274951738E2,2.504085236775E-1
4.313394888629E2,2.585525443680E-1
4.322514825520E2,2.666965650585E-1
4.322544103006E2,2.626269945037E-1
4.331634762410E2,2.748405857489E-1
4.331664039896E2,2.707710151942E-1
4.340725421815E2,2.870541769941E-1
4.340754699301E2,2.829846064394E-1
4.340783976787E2,2.789150358847E-1
4.349845358705E2,2.951981976846E-1
4.349874636191E2,2.911286271299E-1
4.358965295596E2,3.033422183751E-1
4.358994573082E2,2.992726478203E-1
4.368114509973E2,3.074166685108E-1
4.377234446863E2,3.155606892013E-1
4.377263724349E2,3.114911186465E-1
4.386354383754E2,3.237047098917E-1
4.386383661240E2,3.196351393370E-1
4.395503598131E2,3.277791600275E-1
4.404652812507E2,3.318536101632E-1
4.413802026884E2,3.359280602989E-1
4.422951241261E2,3.400025104347E-1
4.432100455637E2,3.440769605704E-1
4.441220392528E2,3.522209812609E-1
4.441249670014E2,3.481514107061E-1
4.450340329418E2,3.603650019513E-1
4.450369606904E2,3.562954313966E-1
4.459460266309E2,3.685090226418E-1
4.459489543795E2,3.644394520871E-1
4.468580203200E2,3.766530433322E-1
4.468609480686E2,3.725834727775E-1
4.477700140090E2,3.847970640227E-1
4.477729417576E2,3.807274934680E-1
4.486790799495E2,3.970106552679E-1
4.486820076981E2,3.929410847132E-1
4.486849354467E2,3.888715141584E-1
4.495910736386E2,4.051546759584E-1
4.495940013872E2,4.010851054036E-1
4.505030673276E2,4.132986966488E-1
4.505059950762E2,4.092291260941E-1
4.514092055195E2,4.295818584488E-1
