Line 7 x,Line 7 y
4.010896260652E2,7.339253508637E1
4.033480650284E2,7.754500729267E1
4.037150749399E2,7.786922934807E1
4.054249849318E2,7.976838110117E1
4.071594830214E2,8.370550448757E1
4.080026838067E2,8.426567027252E1
4.092190084038E2,8.757128014376E1
4.102191060689E2,8.907324470754E1
4.110158880700E2,9.124062983635E1
4.129816689899E2,9.464879519805E1
4.139198558847E2,9.727010043478E1
4.158695241361E2,1.017350969541E2
4.162609160672E2,1.023652959690E2
4.178683803284E2,1.055191748670E2
4.198320892266E2,1.099276331266E2
4.223530486160E2,1.147262874672E2
4.247301005016E2,1.181402832955E2
4.273230759605E2,1.206587835760E2
4.298105655119E2,1.224593735741E2
4.340670784010E2,1.256377723179E2
4.365054601797E2,1.273564415871E2
4.391746200953E2,1.280611630026E2
4.413777389214E2,1.287540615799E2
4.420942697885E2,1.290073096574E2
4.442595453226E2,1.290627898672E2
4.447909985314E2,1.290587697975E2
4.470723948139E2,1.292152719368E2
4.474046585222E2,1.293836521958E2
4.484942473740E2,1.297012631565E2
4.497456754244E2,1.299704702635E2
4.499782920360E2,1.299794267689E2
4.512632128016E2,1.300183848950E2
4.524951209668E2,1.299245808906E2
4.532860179059E2,1.297891950409E2
4.541308580775E2,1.294320542926E2
4.549947178049E2,1.287445712207E2
4.557350451483E2,1.280115380004E2
4.564786450636E2,1.273703976871E2
4.575787696531E2,1.264188532274E2
4.583556030411E2,1.256183260362E2
4.588121988223E2,1.250621395300E2
4.599184144606E2,1.236576115285E2
4.605191547096E2,1.225411784820E2
4.609903397615E2,1.216313499117E2
4.619807477479E2,1.201081371387E2
4.626599616343E2,1.195013429516E2
4.634067763623E2,1.189357151630E2
4.643274594598E2,1.180596632826E2
4.654138948985E2,1.172607597087E2
4.659541321485E2,1.170196840443E2
4.668918529743E2,1.163550552601E2
4.681815730016E2,1.154218552442E2
4.684422714917E2,1.153347545894E2
4.695996772639E2,1.144952941250E2
4.707182394044E2,1.138234911920E2
4.713894213917E2,1.134258142620E2
4.721171314904E2,1.128558298285E2
4.736921702678E2,1.114915069395E2
4.738728694647E2,1.111719515615E2
4.744190182681E2,1.106693875817E2
4.762135235231E2,1.086501038670E2
4.764457844265E2,1.084027274706E2
4.774780101386E2,1.071271993745E2
4.786381972845E2,1.059918016624E2
4.788827160824E2,1.057156083503E2
4.799622692000E2,1.044004542647E2
4.810592222302E2,1.028194689320E2
4.811245122722E2,1.028773379977E2
4.823999035737E2,1.012927123733E2
4.834397802160E2,1.004793125503E2
4.848754836414E2,9.908145468220E1
4.859064282136E2,9.803851837808E1
4.862972932342E2,9.757990295582E1
4.872180076061E2,9.626877612775E1
4.880429221369E2,9.506315836823E1
4.884238757196E2,9.419055546869E1
4.895612700969E2,9.238575744230E1
4.903231558226E2,9.150035439521E1
4.909253286614E2,9.078813623337E1
4.918111371631E2,8.952025272665E1
4.929046801862E2,8.730691629764E1
4.931656941297E2,8.681746503552E1
4.937529089144E2,8.616259919800E1
4.951914416792E2,8.474911197207E1
4.954747934766E2,8.440773957741E1
4.961284897211E2,8.364598997806E1
4.974147008124E2,8.195718201930E1
4.976515477802E2,8.157117221180E1
4.984429765634E2,8.050145643699E1
4.996445462922E2,7.905287480978E1
4.999640804609E2,7.869545612611E1
5.009567347824E2,7.714136897479E1
5.017288649255E2,7.590649392753E1
5.020122909980E2,7.546573725072E1
5.034987243543E2,7.356397966128E1
5.042867343537E2,7.267419329172E1
5.059662898158E2,7.007157671884E1
5.062255131989E2,6.971286021729E1
