Line 6 x,Line 6 y
3.039631115834E2,4.159315196355E-1
3.040501496809E2,4.137420101327E-1
3.040501496809E2,4.122259412898E-1
3.040501496809E2,4.107098724469E-1
3.040980533557E2,4.083132421814E-1
3.042150639710E2,4.046462937980E-1
3.042150639710E2,4.031302249551E-1
3.042150639710E2,4.016141561121E-1
3.042562925435E2,4.000982614499E-1
3.043387496885E2,3.985825409684E-1
3.043799782610E2,3.970666463062E-1
3.043799782610E2,3.955505774632E-1
3.043799782610E2,3.940345086203E-1
3.043799782610E2,3.925184397774E-1
3.043799782610E2,3.910023709345E-1
3.043799782610E2,3.894863020915E-1
3.044278819357E2,3.870896718260E-1
3.045448925510E2,3.834227234426E-1
3.045448925510E2,3.819066545997E-1
3.045448925510E2,3.803905857568E-1
3.045861211236E2,3.788746910946E-1
3.046685782686E2,3.773589706130E-1
3.047098068411E2,3.758430759508E-1
3.047098068411E2,3.743270071079E-1
3.047098068411E2,3.728109382650E-1
3.047098068411E2,3.712948694220E-1
3.047098068411E2,3.697788005791E-1
3.047098068411E2,3.682627317362E-1
3.047577105158E2,3.658661014706E-1
3.048747211311E2,3.621991530873E-1
3.048747211311E2,3.606830842443E-1
3.048747211311E2,3.591670154014E-1
3.049159497036E2,3.576511207392E-1
3.049984068487E2,3.561354002577E-1
3.050396354212E2,3.546195055954E-1
3.050396354212E2,3.531034367525E-1
3.050396354212E2,3.515873679096E-1
3.050396354212E2,3.500712990667E-1
3.050396354212E2,3.485552302237E-1
3.050875390959E2,3.461585999582E-1
3.052045497112E2,3.424916515748E-1
3.052045497112E2,3.409755827319E-1
3.052457782837E2,3.394596880697E-1
3.053282354287E2,3.379439675882E-1
3.053694640012E2,3.364280729259E-1
3.053694640012E2,3.349120040830E-1
3.053694640012E2,3.333959352401E-1
3.054173676760E2,3.309993049746E-1
3.055343782913E2,3.273323565912E-1
3.055756068638E2,3.258164619290E-1
3.056580640088E2,3.243007414474E-1
3.056992925813E2,3.227848467852E-1
3.056992925813E2,3.212687779423E-1
3.056992925813E2,3.197527090994E-1
3.057471962560E2,3.173560788338E-1
3.058642068713E2,3.136891304505E-1
3.059054354439E2,3.121732357882E-1
3.059878925889E2,3.106575153067E-1
3.060291211614E2,3.091416206445E-1
3.060770248361E2,3.067449903790E-1
3.061940354514E2,3.030780419956E-1
3.062352640239E2,3.015621473334E-1
3.063177211689E2,3.000464268519E-1
3.063589497415E2,2.985305321896E-1
3.064068534162E2,2.961339019241E-1
3.065650926040E2,2.924671277214E-1
3.066475497490E2,2.909514072399E-1
3.067366819963E2,2.885549511551E-1
3.068949211841E2,2.848881769524E-1
3.069773783291E2,2.833724564709E-1
3.070665105763E2,2.809760003861E-1
3.072247497642E2,2.773092261834E-1
3.073072069092E2,2.757935057019E-1
3.073963391564E2,2.733970496171E-1
3.077104616136E2,2.688501701794E-1
3.079421269258E2,2.642487970644E-1
3.080402901937E2,2.627872882533E-1
3.083701187738E2,2.582404751701E-1
3.086999473538E2,2.536936620870E-1
3.090058240966E2,2.494463518940E-1
3.093411498196E2,2.461503188303E-1
3.096709783997E2,2.431195745901E-1
3.100008069798E2,2.400888303499E-1
3.103306355599E2,2.370580861097E-1
3.106054927099E2,2.344945641884E-1
3.107291784274E2,2.331685264929E-1
3.109353212900E2,2.320323457643E-1
3.112383512979E2,2.299585067637E-1
3.116362070226E2,2.272975917021E-1
3.119660356027E2,2.257829163048E-1
3.122958641828E2,2.242682409075E-1
3.126256927629E2,2.227535655102E-1
3.129555213429E2,2.212388901129E-1
3.134640070706E2,2.193585861949E-1
3.142418528052E2,2.175299558856E-1
3.150114528254E2,2.160424062299E-1
3.159157328491E2,2.145806933785E-1
3.164187214337E2,2.144312114988E-1
3.167485500138E2,2.144326049444E-1
3.170783785939E2,2.144339983900E-1
3.174082071740E2,2.144353918357E-1
3.177380357540E2,2.144367852813E-1
3.182594790330E2,2.146591792035E-1
3.192489647732E2,2.161072346289E-1
3.201732701036E2,2.175171129618E-1
3.208906472652E2,2.190614803630E-1
3.215503044254E2,2.205803360972E-1
3.221082644400E2,2.218460840451E-1
3.223968644476E2,2.224158291262E-1
3.226854644551E2,2.235541000233E-1
3.230152930352E2,2.250715623118E-1
3.233451216153E2,2.265890246004E-1
3.237642787691E2,2.283532254674E-1
3.240330497966E2,2.292291687790E-1
3.244170645005E2,2.303837254060E-1
3.247056645081E2,2.313324876978E-1
3.249942645157E2,2.326602672002E-1
3.253240930957E2,2.341777294888E-1
3.256539216758E2,2.356951917773E-1
3.259837502559E2,2.372126540659E-1
3.263135788360E2,2.387301163545E-1
3.266434074160E2,2.402475786430E-1
3.269732359961E2,2.417650409316E-1
3.273030645762E2,2.432825032201E-1
3.276328931563E2,2.447999655087E-1
3.279627217363E2,2.463174277972E-1
3.282925503164E2,2.478348900858E-1
3.286278760395E2,2.490996974580E-1
3.291354455766E2,2.509969278696E-1
3.294826817762E2,2.522807364212E-1
3.299829217893E2,2.540958154717E-1
3.302715217969E2,2.554235949742E-1
3.306013503769E2,2.569410572628E-1
3.309311789570E2,2.584585195513E-1
3.312610075371E2,2.599759818399E-1
3.315908361172E2,2.614934441284E-1
3.319206646972E2,2.630109064170E-1
3.322504932773E2,2.645283687055E-1
3.326902647174E2,2.671580792941E-1
3.333884018786E2,2.714868785192E-1
3.339408647502E2,2.751479920149E-1
3.343394076178E2,2.777775284227E-1
3.349990647779E2,2.823285218428E-1
3.355487790780E2,2.857672669628E-1
3.359885505181E2,2.883969775514E-1
3.366482076783E2,2.929479709714E-1
3.373078648384E2,2.974989643915E-1
3.378575791386E2,3.009377095115E-1
3.382973505787E2,3.035674201000E-1
3.389570077388E2,3.081184135201E-1
3.396166648990E2,3.126694069401E-1
3.403148020601E2,3.169982061652E-1
3.408672649317E2,3.206593196609E-1
3.412658077993E2,3.232888560688E-1
3.419254649595E2,3.278398494888E-1
3.425851221196E2,3.323908429088E-1
3.432447792798E2,3.369418363289E-1
3.439044364399E2,3.414928297489E-1
3.445640936001E2,3.460438231689E-1
3.452237507602E2,3.505948165890E-1
3.458834079204E2,3.551458100090E-1
3.465128307940E2,3.594060958350E-1
3.469306136621E2,3.631980329734E-1
3.475023165342E2,3.669906203865E-1
3.479200994023E2,3.707825575250E-1
3.485220365610E2,3.748658525321E-1
3.491816937211E2,3.794168459521E-1
3.498111165948E2,3.836771317781E-1
3.502288994629E2,3.874690689166E-1
3.508308366215E2,3.915523639237E-1
3.514904937816E2,3.961033573437E-1
3.521501509418E2,4.006543507638E-1
3.528098081019E2,4.052053441838E-1
3.534392309756E2,4.094656300098E-1
3.538570138437E2,4.132575671482E-1
3.544589510023E2,4.173408621554E-1
3.551186081625E2,4.218918555754E-1
3.557782653226E2,4.264428489955E-1
3.564379224828E2,4.309938424155E-1
3.570975796429E2,4.355448358355E-1
3.577572368031E2,4.400958292556E-1
3.584168939632E2,4.446468226756E-1
3.589666082633E2,4.480855677956E-1
3.594063797034E2,4.507152783842E-1
3.600660368636E2,4.552662718043E-1
3.606157511637E2,4.587050169243E-1
3.610555226038E2,4.613347275128E-1
3.616052369039E2,4.647734726329E-1
3.620450083440E2,4.674031832214E-1
3.625947226442E2,4.708419283415E-1
3.630344940843E2,4.734716389300E-1
3.635842083844E2,4.769103840500E-1
3.639140369644E2,4.784278463386E-1
3.643922884056E2,4.808353627322E-1
3.649447512772E2,4.844964762279E-1
3.652333512847E2,4.860137643358E-1
3.655631798648E2,4.875312266243E-1
3.658930084449E2,4.890486889129E-1
3.663712598860E2,4.914562053065E-1
3.669237227576E2,4.951173188022E-1
3.672123227652E2,4.966346069100E-1
3.675421513453E2,4.981520691986E-1
