Line 27 x,Line 27 y
3.164910054887E2,2.909289830895E-1
3.165905773747E2,2.906551401486E-1
3.170300358813E2,2.883807313908E-1
3.173370019354E2,2.873777748679E-1
3.178515241949E2,2.861895017512E-1
3.184489555105E2,2.845464441053E-1
3.188308232803E2,2.840858262354E-1
3.191295389381E2,2.832642974124E-1
3.194284976518E2,2.832584640717E-1
3.196774678760E2,2.827098059662E-1
3.200261720233E2,2.824311019080E-1
3.203251307370E2,2.824252685672E-1
3.206240894506E2,2.824194352265E-1
3.209228051085E2,2.815979064035E-1
3.212217638221E2,2.815920730628E-1
3.215209655917E2,2.824019352042E-1
3.218199243053E2,2.823961018634E-1
3.221188830190E2,2.823902685227E-1
3.225590571901E2,2.825176297958E-1
3.230160022159E2,2.831884639826E-1
3.233149609296E2,2.831826306419E-1
3.236139196433E2,2.831767973011E-1
3.239128783569E2,2.831709639603E-1
3.243532955839E2,2.841140207157E-1
3.247273045474E2,2.851490066003E-1
3.252506578367E2,2.857279116578E-1
3.256246668001E2,2.867628975424E-1
3.261480200894E2,2.873418025999E-1
3.266049651152E2,2.880126367867E-1
3.269041668847E2,2.888224989281E-1
3.273443410559E2,2.889498602013E-1
3.278012860816E2,2.896206943881E-1
3.281666800650E2,2.896135647494E-1
3.285406620223E2,2.905579178026E-1
3.287650836041E2,2.912332890322E-1
3.288481276912E2,2.912316686598E-1
3.290775521729E2,2.919749172906E-1
3.293634871432E2,2.928530133151E-1
3.294465312303E2,2.928513929427E-1
3.298954554126E2,2.944740338959E-1
3.302608493959E2,2.944669042572E-1
3.306430952526E2,2.952751460262E-1
3.308592529350E2,2.960866285401E-1
3.313912212044E2,2.977076491209E-1
3.317566151878E2,2.977005194822E-1
3.318316384314E2,2.986507058763E-1
3.321388610444E2,2.985087612512E-1
3.323550187269E2,2.993202437651E-1
3.327372645835E2,3.001284855341E-1
3.332523809796E2,3.009341347072E-1
3.336348698921E2,3.025580719584E-1
3.339340716617E2,3.033679340998E-1
3.342330303754E2,3.033621007591E-1
3.346821976135E2,3.058004371945E-1
3.350475915969E2,3.057933075558E-1
3.354300805094E2,3.074172448070E-1
3.357292822789E2,3.082271069485E-1
3.360282409926E2,3.082212736077E-1
3.363276858180E2,3.098468312313E-1
3.367763669444E2,3.106537767024E-1
3.371417609278E2,3.106466470637E-1
3.371552707829E2,3.113941086628E-1
3.375242498403E2,3.122705843149E-1
3.377536743220E2,3.130138329457E-1
3.381226533794E2,3.138903085978E-1
3.384269188128E2,3.149719720109E-1
3.391950766187E2,3.177439593338E-1
3.398191012842E2,3.196486787709E-1
3.402173088220E2,3.203750390700E-1
3.404467333037E2,3.211182877008E-1
3.408157123611E2,3.219947633529E-1
3.411151571865E2,3.236203209765E-1
3.413445816682E2,3.243635696073E-1
3.417135607256E2,3.252400452594E-1
3.419429852073E2,3.259832938901E-1
3.423119642647E2,3.268597695423E-1
3.424283070053E2,3.271293995149E-1
3.426114090901E2,3.284853271659E-1
3.429108539155E2,3.301108847895E-1
3.434262133674E2,3.317322294448E-1
3.434636034613E2,3.317994749007E-1
3.438087022800E2,3.333561666960E-1
3.441081471054E2,3.349817243196E-1
3.444073488749E2,3.357915864611E-1
3.446235065573E2,3.366030689749E-1
3.452219100964E2,3.382227932578E-1
3.452354199516E2,3.389702548569E-1
3.456043990089E2,3.398467305090E-1
3.459038438344E2,3.414722881326E-1
3.462030456039E2,3.422821502741E-1
3.464192032863E2,3.430936327879E-1
3.465022473734E2,3.430920124155E-1
3.468016921988E2,3.447175700391E-1
3.471011370242E2,3.463431276628E-1
3.474005818496E2,3.479686852864E-1
3.479159413016E2,3.495900299417E-1
3.480038222004E2,3.490988950576E-1
3.482984302141E2,3.512139671929E-1
3.486026956475E2,3.522956306061E-1
3.490467992218E2,3.544621657698E-1
3.493462440472E2,3.560877233934E-1
3.494627353219E2,3.568558339385E-1
3.496456888726E2,3.577132810170E-1
3.497956543412E2,3.593417553110E-1
3.500950991666E2,3.609673129347E-1
3.503945439920E2,3.625928705583E-1
3.506239684737E2,3.633361191891E-1
3.507360435584E2,3.632183748263E-1
3.509431210788E2,3.642135670646E-1
3.509929475311E2,3.642125948412E-1
3.512923923565E2,3.658381524648E-1
3.515918371819E2,3.674637100884E-1
3.518910389514E2,3.682735722299E-1
3.521071966338E2,3.690850547437E-1
3.522900556627E2,3.696252869125E-1
3.524896855463E2,3.707089919949E-1
3.527393039195E2,3.723355218420E-1
3.530885751972E2,3.739601072422E-1
3.533880200226E2,3.755856648658E-1
3.536174445043E2,3.763289134966E-1
3.539864235616E2,3.772053891487E-1
3.542858683870E2,3.788309467723E-1
3.546515054263E2,3.796395126158E-1
3.548846230068E2,3.816288978628E-1
3.551839598074E2,3.828919241610E-1
3.554001174898E2,3.837034066749E-1
3.557762109949E2,3.847666748100E-1
3.557826064023E2,3.853273439261E-1
3.560820512277E2,3.869529015497E-1
3.563353559482E2,3.870159340373E-1
3.563812529973E2,3.877627636911E-1
3.565974106797E2,3.885742462050E-1
3.566852753748E2,3.880287316221E-1
3.569798995922E2,3.901981834562E-1
3.572791013618E2,3.910080455976E-1
3.574952590442E2,3.918195281115E-1
3.575783031313E2,3.918179077391E-1
3.578777479567E2,3.934434653627E-1
3.583931074087E2,3.950648100180E-1
3.589915109478E2,3.966845343009E-1
3.593739998603E2,3.983084715521E-1
3.598229240425E2,3.999311125053E-1
3.601883180259E2,3.999239828666E-1
3.602051698992E2,4.007393542743E-1
3.605708879571E2,4.018198186119E-1
3.608617853179E2,4.026298427906E-1
3.608750885756E2,4.026839632298E-1
3.615353133738E2,4.055396265850E-1
3.620606634346E2,4.058522571911E-1
3.627652773229E2,4.085745031313E-1
3.631141435075E2,4.088395960611E-1
3.635543176786E2,4.089669573343E-1
3.639283266421E2,4.100019432189E-1
3.644516799313E2,4.105808482764E-1
3.649750602268E2,4.112503861652E-1
3.649885700820E2,4.119978477643E-1
3.653573060835E2,4.120586279342E-1
3.656567509089E2,4.136841855578E-1
3.658729085913E2,4.144956680717E-1
3.659559526784E2,4.144940476993E-1
3.661853771601E2,4.152372963300E-1
3.664048768607E2,4.161166886525E-1
3.667702708441E2,4.161095590138E-1
3.671442528013E2,4.170539120671E-1
3.671527597566E2,4.177334962650E-1
3.674517184703E2,4.177276629243E-1
3.674519615261E2,4.185433584065E-1
3.676681192086E2,4.193548409203E-1
3.677511632957E2,4.193532205479E-1
3.679805877774E2,4.200964691787E-1
3.680506081211E2,4.209787781715E-1
3.684995323033E2,4.226014191248E-1
3.688649262867E2,4.225942894861E-1
