Line 20 x,Line 20 y
2.997995899887E2,4.560744963333E-3
3.004851653627E2,5.717593877316E-2
3.005207473278E2,1.946051572267E-3
3.007611331075E2,1.074487108579E-3
3.008116921470E2,5.642376941809E-2
3.010008548381E2,1.071166863003E-3
3.012405765687E2,1.067846617427E-3
3.014802982993E2,1.064526371851E-3
3.015287008393E2,5.374835703606E-2
3.017200200299E2,1.061206126275E-3
3.019597417605E2,1.057885880699E-3
3.021579521207E2,5.141277178872E-2
3.021994634910E2,1.054565635123E-3
3.024789174937E2,1.340106754655E-3
3.025884487061E2,4.967033919062E-2
3.026782429031E2,1.916169362084E-3
3.028814419323E2,4.966628111270E-2
3.029712361294E2,1.912111284158E-3
3.031211636629E2,4.966296086712E-2
3.033622134917E2,4.792315218532E-2
3.033974080948E2,1.906208625356E-3
3.036019352223E2,4.791983193975E-2
3.036904013211E2,1.902150547430E-3
3.038880744190E2,4.848189502533E-2
3.041165732866E2,1.896247888628E-3
3.042606956606E2,4.853087570592E-2
3.043562950172E2,1.892927643052E-3
3.045260686599E2,4.782434325805E-2
3.045960167478E2,1.889607397476E-3
3.047382339333E2,4.728392585848E-2
3.048784099583E2,4.683959794695E-2
3.048890099740E2,1.885549319550E-3
3.052253434726E2,4.620911229835E-2
3.053151819395E2,1.879646660748E-3
3.055549036701E2,1.876326415172E-3
3.055550933984E2,4.640437699472E-2
3.057946254007E2,1.873006169596E-3
3.058839268311E2,4.680293163182E-2
3.060876186270E2,1.868948091670E-3
3.064378215291E2,1.068215533602E-3
3.065556671898E2,4.505715770723E-2
3.067939086442E2,1.280342334288E-3
3.068937373612E2,4.488365181862E-2
3.070465055493E2,1.855667109366E-3
3.072004173775E2,4.439705138366E-2
3.073967084514E2,1.054934551298E-3
3.074401391081E2,4.439373113808E-2
3.076798608387E2,4.439041089250E-2
3.077130632945E2,9.781999868762E-4
3.079190845325E2,4.503827381051E-2
3.079925172971E2,1.263741106408E-3
3.081588062630E2,4.503495356494E-2
3.081918427065E2,1.839803713837E-3
3.083990260305E2,4.438045015578E-2
3.084848359328E2,1.835745635911E-3
3.088350388349E2,1.035013077842E-3
3.088618101595E2,4.656633383071E-2
3.091513936780E2,9.582785134204E-4
3.092807694184E2,4.672487555696E-2
3.093911154086E2,9.549582678445E-4
3.094757816707E2,4.697024170502E-2
3.096705694112E2,1.240499387377E-3
3.098353642666E2,4.696526133666E-2
3.098698948206E2,1.816561994805E-3
3.100750859972E2,4.696194109108E-2
3.101628880469E2,1.812503916879E-3
3.103626192641E2,4.713160564001E-2
3.105130909490E2,1.011771358811E-3
3.107190513158E2,4.776337458988E-2
3.108294457921E2,9.350367943887E-4
3.110333088704E2,4.781690432689E-2
3.110359650669E2,4.434392745444E-2
3.110691675226E2,9.317165488128E-4
3.112730306010E2,4.781358408131E-2
3.113486215253E2,1.217257668345E-3
3.115127523316E2,4.781026383574E-2
3.115479469347E2,1.793320275773E-3
3.117524740622E2,4.780694359016E-2
3.118409401610E2,1.789262197847E-3
3.119921957928E2,4.780362334459E-2
3.123203836221E2,1.782621706695E-3
3.128835341634E2,4.904539518999E-2
3.130395488139E2,1.772660969967E-3
3.132560657171E2,4.952258826249E-2
3.135862456938E2,8.968539702652E-4
3.136605269656E2,5.178404441590E-2
3.139066493919E2,5.211828247054E-2
3.139464923388E2,2.362938378876E-5
3.141463711224E2,5.211496222497E-2
3.143047468364E2,1.755137451650E-3
3.143860928530E2,5.211164197939E-2
3.146258145836E2,5.210832173381E-2
3.148655363142E2,5.210500148824E-2
3.152309791435E2,5.227358695736E-2
3.157912650507E2,5.365500279795E-2
3.160634809180E2,5.295664447847E-2
