# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance spectrum of Aesculus turbinata trunk.
#wl,R
350,0.0765536
351,0.0790059
352,0.0864532
353,0.0830065
354,0.0818346
355,0.0865184
356,0.0889902
357,0.0890691
358,0.087481
359,0.0863533
360,0.0897335
361,0.0888061
362,0.0864052
363,0.0881574
364,0.088779
365,0.0880281
366,0.0877994
367,0.0909313
368,0.0915117
369,0.0900619
370,0.0888965
371,0.0901045
372,0.0901383
373,0.0897033
374,0.0907967
375,0.0891104
376,0.0887069
377,0.0906764
378,0.0922849
379,0.0929555
380,0.0928635
381,0.0927574
382,0.0941493
383,0.0946679
384,0.0941512
385,0.0942543
386,0.0930423
387,0.0932884
388,0.0952244
389,0.0947
390,0.0947304
391,0.0952494
392,0.0957213
393,0.0968896
394,0.0972676
395,0.0966438
396,0.0958
397,0.0969208
398,0.0976096
399,0.0967945
400,0.0965419
401,0.0956772
402,0.0953808
403,0.0965045
404,0.0964494
405,0.0956668
406,0.0951861
407,0.0966283
408,0.0966482
409,0.0960966
410,0.0957815
411,0.0957874
412,0.0958215
413,0.0959609
414,0.0963494
415,0.0959393
416,0.095712
417,0.0960011
418,0.0961261
419,0.0965448
420,0.0965327
421,0.0959243
422,0.0967774
423,0.0971977
424,0.0969415
425,0.0968432
426,0.0971463
427,0.097294
428,0.0975659
429,0.0983912
430,0.0980167
431,0.0977657
432,0.0986029
433,0.0984817
434,0.0985907
435,0.0991746
436,0.0995669
437,0.099632
438,0.0997103
439,0.100084
440,0.100619
441,0.100868
442,0.101133
443,0.101985
444,0.102408
445,0.10263
446,0.102982
447,0.103623
448,0.103969
449,0.10431
450,0.104813
451,0.105425
452,0.105602
453,0.105819
454,0.106336
455,0.106555
456,0.10687
457,0.107362
458,0.107663
459,0.107968
460,0.108249
461,0.10841
462,0.10881
463,0.109139
464,0.109346
465,0.109603
466,0.109856
467,0.110239
468,0.110796
469,0.111023
470,0.111065
471,0.111181
472,0.111694
473,0.111998
474,0.112393
475,0.112823
476,0.112986
477,0.113319
478,0.113648
479,0.113733
480,0.114098
481,0.114694
482,0.115168
483,0.115162
484,0.11548
485,0.115908
486,0.116462
487,0.116901
488,0.117439
489,0.118057
490,0.118639
491,0.119146
492,0.119804
493,0.120696
494,0.12143
495,0.122183
496,0.12292
497,0.123536
498,0.124571
499,0.125554
500,0.126418
501,0.127562
502,0.128615
503,0.12953
504,0.130447
505,0.131747
506,0.133051
507,0.13439
508,0.135734
509,0.136957
510,0.138187
511,0.139721
512,0.141194
513,0.142602
514,0.144054
515,0.145622
516,0.146985
517,0.14837
518,0.149841
519,0.151494
520,0.153001
521,0.154272
522,0.155514
523,0.157067
524,0.158734
525,0.160241
526,0.161411
527,0.162632
528,0.163975
529,0.165461
530,0.166721
531,0.167875
532,0.168991
533,0.169968
534,0.171056
535,0.172238
536,0.173346
537,0.174361
538,0.175394
539,0.17641
540,0.177533
541,0.178446
542,0.179287
543,0.180141
544,0.181021
545,0.181854
546,0.182813
547,0.183818
548,0.184432
549,0.185188
550,0.186312
551,0.186941
552,0.187699
553,0.188483
554,0.189167
555,0.189842
556,0.190275
557,0.190808
558,0.191498
559,0.191849
560,0.19217
561,0.192603
562,0.192802
563,0.192966
564,0.193091
565,0.193269
566,0.193385
567,0.193628
568,0.193743
569,0.193705
570,0.193702
571,0.193804
572,0.193909
573,0.193944
574,0.193849
575,0.193969
576,0.193983
577,0.193845
578,0.19382
579,0.194062
580,0.194166
581,0.194249
582,0.194312
583,0.194435
584,0.194655
585,0.194792
586,0.194761
587,0.194871
588,0.195209
589,0.195371
590,0.195575
591,0.195633
592,0.195679
593,0.195697
594,0.195916
595,0.19621
596,0.196476
597,0.19668
598,0.196752
599,0.197102
600,0.197236
601,0.1973
602,0.197641
603,0.197725
604,0.197832
605,0.197981
606,0.198185
607,0.198415
608,0.198452
609,0.198494
610,0.19855
611,0.198585
612,0.198534
613,0.198534
614,0.198561
615,0.198478
616,0.198374
617,0.198423
618,0.198522
619,0.198625
620,0.198619
621,0.198766
622,0.199131
623,0.19936
624,0.199524
