# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Betula ermanii laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0581844,0.0108366,0.0665509,0.0126149
351,0.0566849,0.0101467,0.0666747,0.0110192
352,0.0542027,0.00724273,0.0658766,0.0106117
353,0.0535257,0.0046076,0.0667528,0.0125909
354,0.0565778,0.00501327,0.0660421,0.0136306
355,0.0586931,0.0059333,0.066059,0.0131265
356,0.056598,0.00585434,0.0689573,0.0101131
357,0.0545269,0.00571597,0.0674702,0.00770123
358,0.0535639,0.00545971,0.0648913,0.00662324
359,0.0539844,0.00508734,0.0618774,0.00701164
360,0.055587,0.00198792,0.0622197,0.0101459
361,0.0553003,0.0012361,0.0620371,0.0103046
362,0.0539157,0.00234191,0.062429,0.00863563
363,0.0522012,0.00508697,0.06685,0.00751368
364,0.0512727,0.00597647,0.065629,0.00577854
365,0.0509188,0.00563648,0.0630598,0.0047797
366,0.0513726,0.00406021,0.0627548,0.00618469
367,0.0511458,0.0043226,0.0637604,0.005624
368,0.0504834,0.00488387,0.0643509,0.00523056
369,0.0493203,0.00539883,0.0639948,0.00550633
370,0.0498883,0.00474664,0.0633382,0.0058864
371,0.0502847,0.00384089,0.0630172,0.00593368
372,0.0504786,0.00298335,0.0630081,0.00562324
373,0.0509324,0.00385863,0.0639248,0.00462695
374,0.0506846,0.00386315,0.0640748,0.00481217
375,0.050277,0.00401132,0.0641282,0.00534779
376,0.0499068,0.0057656,0.0644012,0.00527395
377,0.0488881,0.00443491,0.0640139,0.0057792
378,0.0488279,0.0036011,0.0635777,0.00596103
379,0.0500771,0.00454531,0.062795,0.00540733
380,0.0492035,0.00435407,0.0634543,0.00513006
381,0.0487299,0.00380557,0.0635501,0.00536734
382,0.0486373,0.00311398,0.0631361,0.00585833
383,0.0486475,0.00378974,0.064935,0.00435683
384,0.0485447,0.00355436,0.0650708,0.00424157
385,0.0486624,0.00336968,0.0647673,0.00482722
386,0.0493977,0.0049807,0.0653918,0.0053815
387,0.0487632,0.00533535,0.0652669,0.00536746
388,0.0483324,0.00524292,0.0653652,0.00543882
389,0.0485629,0.00492459,0.0657748,0.00588601
390,0.0492858,0.00474796,0.0658237,0.0063054
391,0.0491174,0.00416633,0.0657147,0.00643562
