# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Betula ermanii laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0681346,0.0670861,0.0217945,1.93858e-06
351,0.0652669,0.0613539,0.0151285,0.0305512
352,0.0872994,0.00952876,0.0282978,0.0680134
353,0.0625674,0.030555,0.117635,0.0117627
354,0.0518608,1.93781e-06,0.105356,0.0336047
355,0.0517488,1.93237e-06,0.0760831,0.0567134
356,0.0645617,0.04412,0.0857024,0.0340106
357,0.100941,0.0619356,0.0850096,0.0436925
358,0.0918679,0.0284641,0.0548748,0.0574474
359,0.0254291,1.90434e-06,1.92798e-06,0.0704523
360,0.0199661,1.891e-06,0.0486068,0.0272927
361,0.025557,0.0197574,0.0612024,0.00707373
362,0.0352257,0.0205569,0.0516896,0.0027812
363,0.0336438,1.92312e-06,0.0603196,0.00737185
364,0.0362758,0.00920605,0.0543138,0.0351612
365,0.0446774,0.034885,0.0503132,0.04758
366,0.0630342,0.0341416,0.0643452,0.0039162
367,0.0343067,0.0417301,0.0743474,0.0135778
368,0.022605,0.0401566,0.0750351,0.00979417
369,0.0415049,0.0256388,0.0652208,1.90117e-06
370,0.0511146,0.0199064,0.0610095,1.89772e-06
371,0.0533101,0.0074153,0.0499268,1.90349e-06
372,0.0525735,1.91008e-06,0.0378519,1.91756e-06
373,0.0693194,0.00375637,0.0561296,1.9348e-06
374,0.050155,0.00137799,0.0555146,0.0098618
375,0.0288226,1.95615e-06,0.0497407,0.0235535
376,0.0499905,0.00329603,0.054416,0.0101657
377,0.037625,0.0104323,0.0596084,0.00579999
378,0.0291919,0.0146218,0.062627,0.00763696
379,0.0375388,0.0142531,0.0623117,0.0160204
380,0.048491,1.91593e-06,0.0503942,0.014933
381,0.0491453,0.00228775,0.0498106,0.0153238
382,0.0420857,0.0201294,0.0577733,0.0160744
383,0.0477454,0.00906295,0.0463021,0.00082574
384,0.0380689,0.00390191,0.0486286,1.92022e-06
385,0.0288502,0.00136194,0.0574081,1.91082e-06
386,0.0481558,1.92907e-06,0.0642584,0.0178178
387,0.0488599,0.000382609,0.0587868,0.0178271
388,0.0445933,0.00137771,0.0534673,0.0100067
389,0.0403691,1.92891e-06,0.0539277,1.92281e-06
390,0.0414361,0.00485471,0.0558884,0.00409152
391,0.0412527,0.00756045,0.0592207,0.00556304
392,0.0398256,0.00425258,0.0629281,0.00042132
393,0.0454808,0.00765318,0.052298,0.00541066
394,0.0476225,0.00201927,0.0502979,0.00703547
395,0.0463157,1.94711e-06,0.0537558,0.00533057
396,0.0392531,1.94446e-06,0.0592015,1.93689e-06
397,0.0386251,1.94227e-06,0.0598198,0.00239866
398,0.0402526,0.000658463,0.0593865,0.0081656
399,0.0423333,1.93645e-06,0.0598081,0.00990839
400,0.0460047,1.93349e-06,0.0583243,0.00428142
401,0.0469936,0.00250987,0.0575305,0.00363023
402,0.0449967,0.00887398,0.0577803,0.00897423
403,0.0472187,0.0053381,0.0602862,0.00581021
404,0.0467729,0.00296214,0.0651142,0.00340434
405,0.044801,0.00177028,0.0696765,0.00199003
406,0.0435932,0.0027962,0.0662416,0.00302095
407,0.0421088,1.94348e-06,0.06237,0.00374509
408,0.041655,1.94767e-06,0.060929,0.00547578
409,0.0437218,0.00786682,0.0652,0.00974869
410,0.0412374,0.00999638,0.066198,0.00830781
411,0.0399095,0.00929163,0.064949,0.0061661
412,0.0408021,0.00638911,0.0616065,0.0042217
413,0.0398397,0.00562867,0.0652543,0.00763563
414,0.040158,0.00679079,0.0679529,0.00893018
415,0.0408669,0.00926502,0.069442,0.00880777
416,0.0381081,0.0113335,0.0680981,0.00952258
417,0.0399077,0.0112662,0.0661535,0.00835324
418,0.0432327,0.011064,0.0648054,0.00714671
419,0.0458071,0.0127665,0.0656902,0.00785689
420,0.0443071,0.00991921,0.0671994,0.00814601
421,0.0436216,0.00804126,0.0685351,0.00981563
422,0.0451876,0.00878905,0.0694804,0.0135173
423,0.0419198,0.0118271,0.0703278,0.013328
424,0.0406659,0.0140841,0.0699127,0.0110337
425,0.0414561,0.0150603,0.0685868,0.00749627
426,0.0446082,0.0111332,0.0684493,0.00763496
427,0.0451348,0.0119916,0.0684657,0.00739171
428,0.0442282,0.013455,0.0688384,0.00782445
429,0.0426703,0.0100609,0.070076,0.0108268
430,0.043391,0.0127342,0.0701629,0.0133004
431,0.0439082,0.0139569,0.0708713,0.0129313
432,0.0432272,0.0105633,0.0730304,0.00819834
433,0.0436216,0.0106811,0.072452,0.00892941
434,0.0436341,0.0119844,0.0709974,0.00885789
435,0.0432532,0.014008,0.0691272,0.00814336
436,0.0430243,0.0141296,0.0700909,0.0124345
437,0.0429534,0.0140901,0.0699906,0.0122428
438,0.043465,0.014323,0.0700364,0.0105445
439,0.0457816,0.0158528,0.0726551,0.0119742
440,0.0442232,0.0148747,0.0729902,0.0117169
441,0.0427464,0.0143004,0.0730294,0.0119448
442,0.0433622,0.0157272,0.073674,0.013926
443,0.045352,0.0125666,0.0738259,0.0143909
444,0.045981,0.0117305,0.0732194,0.0137255
445,0.0450475,0.0137172,0.0719779,0.0121267
446,0.0435235,0.0148477,0.0730811,0.0124801
447,0.0432923,0.0156725,0.073789,0.0128345
448,0.0436812,0.016255,0.074235,0.0132559
449,0.0433029,0.0166123,0.0746039,0.013974
450,0.0438019,0.0163882,0.0740919,0.0137834
451,0.0443231,0.0160196,0.0747287,0.0132769
452,0.0442895,0.0157332,0.0784492,0.012713
453,0.0450935,0.0157245,0.0778829,0.0141259
454,0.0449471,0.0169183,0.0769179,0.0144719
455,0.0435865,0.0194447,0.0761964,0.0133238
456,0.0437543,0.0204657,0.0776421,0.0153154
457,0.04502,0.0198086,0.0776936,0.0164786
458,0.0464919,0.0182416,0.0770594,0.0171309
459,0.044846,0.018193,0.0780555,0.0181833
460,0.0438849,0.0189566,0.0779031,0.0174601
461,0.0437174,0.0195504,0.0777698,0.016778
462,0.0448233,0.0189991,0.0787276,0.0178161
463,0.0442051,0.0205026,0.0792595,0.016912
464,0.0443064,0.0216876,0.0797249,0.016527
465,0.0457831,0.021967,0.0801993,0.017301
466,0.0442477,0.020924,0.0806372,0.0166325
467,0.0443289,0.0202139,0.0806265,0.0171352
468,0.0453595,0.0198143,0.0801625,0.0183601
469,0.044075,0.0197131,0.0789081,0.0182077
470,0.0441443,0.0205605,0.0786154,0.0187862
471,0.0445218,0.0213499,0.0795639,0.0192793
472,0.0440822,0.0208148,0.0827978,0.018638
473,0.0443217,0.0219058,0.0823289,0.0195591
474,0.0445056,0.023007,0.0818985,0.0201613
475,0.0443982,0.0236342,0.0826685,0.019795
476,0.0458431,0.0230248,0.0830511,0.0193063
477,0.0462231,0.0225706,0.0830719,0.0199424
478,0.0456852,0.0223767,0.0829555,0.0213325
479,0.0456825,0.02292,0.0842692,0.020745
480,0.0454516,0.0235454,0.0846107,0.020788
481,0.0451648,0.0241983,0.0844014,0.0208261
482,0.0450687,0.0248126,0.0839959,0.0197964
483,0.0453776,0.0246784,0.0846035,0.0208472
484,0.0457022,0.0245391,0.0853828,0.0214819
485,0.0458807,0.0247155,0.0860316,0.0205009
486,0.0461106,0.0248625,0.0869478,0.0221966
487,0.0460227,0.025674,0.0879064,0.023672
488,0.0457231,0.0271002,0.0887797,0.0246155
489,0.0467388,0.0280967,0.0883237,0.0239657
490,0.0472518,0.0286524,0.08898,0.0242402
491,0.0475134,0.0289075,0.0902282,0.025152
492,0.0479246,0.0289714,0.091307,0.0264936
493,0.0484745,0.0303818,0.0926123,0.0272913
494,0.0485456,0.0318767,0.0939936,0.0274547
495,0.0476322,0.0327952,0.0954071,0.0267214
496,0.0475445,0.032492,0.0970402,0.0278898
497,0.0480714,0.0329533,0.0978591,0.0303048
498,0.0491266,0.0344037,0.0978366,0.0336543
499,0.049237,0.0361132,0.0995994,0.0325657
500,0.0503749,0.0376909,0.101321,0.0334389
501,0.0516813,0.0391337,0.103055,0.0354279
502,0.0507923,0.0403509,0.10499,0.0369531
503,0.0511286,0.0409287,0.106945,0.0371
504,0.0516962,0.0421784,0.108921,0.0374574
505,0.0518651,0.0453398,0.110947,0.0392803
506,0.0523437,0.046901,0.113405,0.0411737
507,0.0533346,0.0484737,0.115308,0.0428238
508,0.0548828,0.0503193,0.116485,0.0441895
509,0.0550771,0.052007,0.11917,0.0474446
510,0.0559706,0.0539554,0.121913,0.0494068
511,0.0572688,0.0560619,0.124624,0.0507722
512,0.0581567,0.0580938,0.126979,0.0538396
513,0.0594459,0.0609258,0.129446,0.0559043
514,0.0607421,0.0640561,0.131974,0.0579127
515,0.0616944,0.0672113,0.134605,0.0607981
516,0.0634178,0.0697759,0.137261,0.0631838
517,0.065086,0.0725774,0.139879,0.0661598
518,0.0665049,0.0758542,0.142448,0.0700842
519,0.0678108,0.0784571,0.145618,0.0726339
520,0.0693856,0.0812369,0.14854,0.0758256
521,0.0711528,0.0840936,0.151232,0.0794621
522,0.0727922,0.0865458,0.153784,0.0826712
523,0.0743096,0.0898733,0.156768,0.0854418
524,0.0758278,0.0933344,0.159623,0.087994
525,0.0775414,0.0961063,0.161603,0.090536
526,0.079606,0.0986863,0.163805,0.0934033
527,0.0814578,0.101486,0.165956,0.0961536
528,0.0828896,0.104679,0.167973,0.0986448
529,0.0841905,0.106367,0.16984,0.101124
530,0.0856721,0.108619,0.171376,0.103147
531,0.0872212,0.111309,0.172704,0.104791
532,0.0878736,0.112912,0.174792,0.106688
533,0.0890534,0.114784,0.176745,0.10907
534,0.090281,0.116718,0.178316,0.111362
535,0.090834,0.11848,0.178866,0.11261
536,0.0919772,0.120102,0.179989,0.114029
537,0.093086,0.121452,0.181061,0.115038
538,0.093895,0.122423,0.181808,0.115299
539,0.0948364,0.122967,0.182631,0.117389
540,0.0953424,0.123762,0.183468,0.118889
541,0.0954615,0.124855,0.184299,0.11969
542,0.0964305,0.126201,0.184912,0.120777
543,0.0970162,0.12711,0.185314,0.121554
544,0.0974094,0.127867,0.185653,0.122243
545,0.0979116,0.129,0.186223,0.123297
546,0.0982726,0.12938,0.186874,0.124067
547,0.0986038,0.12968,0.187337,0.12472
548,0.0989658,0.130288,0.187387,0.125322
549,0.0990404,0.13085,0.187469,0.12613
550,0.0991644,0.131034,0.187557,0.126467
551,0.0993695,0.130832,0.187646,0.126265
552,0.0993075,0.131406,0.187698,0.126171
553,0.0987698,0.131365,0.187422,0.125571
554,0.0980167,0.130894,0.187043,0.124857
555,0.0977332,0.130288,0.187219,0.12518
556,0.0971494,0.129456,0.186519,0.124721
557,0.0964611,0.128593,0.185435,0.123957
558,0.0957815,0.127847,0.184204,0.123143
559,0.0949373,0.126884,0.183673,0.122104
560,0.0941957,0.126152,0.183082,0.120984
561,0.0936148,0.125755,0.182287,0.119807
562,0.09198,0.123847,0.180749,0.118256
563,0.0906774,0.122032,0.179496,0.116678
564,0.089639,0.120386,0.178379,0.115143
565,0.0886939,0.119337,0.176816,0.113998
566,0.0873311,0.11773,0.175264,0.112382
567,0.0859763,0.115962,0.173856,0.110512
568,0.0850943,0.114352,0.172823,0.108469
569,0.0835545,0.112692,0.17151,0.106854
570,0.0820984,0.110994,0.170213,0.105244
571,0.0809416,0.109254,0.169016,0.103521
572,0.0799056,0.107659,0.167424,0.102265
573,0.0788715,0.105971,0.165748,0.100786
574,0.0778361,0.104206,0.164105,0.0991041
575,0.0767848,0.102454,0.163215,0.0973702
576,0.0758446,0.101049,0.161889,0.0957806
577,0.0748693,0.0997315,0.160505,0.0942818
578,0.0736292,0.0981863,0.15954,0.0928475
579,0.0726304,0.0969199,0.158293,0.0918862
580,0.0719188,0.0957267,0.157137,0.0907697
581,0.0715751,0.0945427,0.156229,0.0892245
582,0.0704184,0.0934633,0.155251,0.0883681
583,0.0697378,0.0924288,0.154224,0.0872251
584,0.0694776,0.0914399,0.153191,0.0858495
585,0.0686801,0.0905399,0.152576,0.0851375
586,0.0678788,0.0897221,0.151666,0.0842096
587,0.0671724,0.088881,0.150668,0.0832441
588,0.0667994,0.087789,0.149893,0.0825362
589,0.0663804,0.0871814,0.149225,0.0819884
590,0.0659839,0.086759,0.148557,0.0813914
591,0.0656468,0.0864237,0.147834,0.0806195
592,0.0653899,0.0856008,0.147621,0.0798154
593,0.0649853,0.0851721,0.147153,0.07933
594,0.0644444,0.0851533,0.146386,0.0791661
595,0.0643475,0.0842482,0.145909,0.0787305
596,0.0640501,0.0837811,0.145555,0.0782401
