# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Chamaecyparis obtusa laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0340699,-0.00921073,0.0373352,-0.00331984
351,0.0315873,-0.00800547,0.0353867,-0.00378872
352,0.0284544,-0.00483255,0.033663,-0.00396752
353,0.0299603,-0.00391436,0.0359784,0.00125407
354,0.0289648,-0.00405709,0.0359738,0.000318908
355,0.0276187,-0.0033224,0.0346061,-0.00165685
356,0.0274195,7.30192e-05,0.0321145,-0.0013798
357,0.0300721,-0.00154944,0.0319589,-0.000272091
358,0.0314069,-0.00316169,0.0334611,-0.000519764
359,0.0307563,-0.0039358,0.036593,-0.00251393
360,0.0290399,-0.00659895,0.0343971,-0.00197194
361,0.0273827,-0.00563847,0.0331527,-0.00134969
362,0.0265501,-0.00305245,0.0328172,-0.000641396
363,0.0296371,-0.0051108,0.0332575,0.00027356
364,0.028646,-0.00418702,0.0319651,-0.000289785
365,0.0268701,-0.00320909,0.0308362,-0.00144941
366,0.0272361,-0.00506121,0.0319135,-0.00264209
367,0.0259236,-0.00298456,0.0313993,-0.00235948
368,0.0258808,-0.00153143,0.0307569,-0.00196134
369,0.0278735,-0.00183147,0.0302778,-0.00176573
370,0.0262532,-0.00200133,0.0313562,-0.00103555
371,0.0264853,-0.00209917,0.0316601,3.20254e-05
372,0.0280402,-0.00212977,0.0312706,0.000972538
373,0.0281186,-0.00207274,0.0307319,-0.000997467
374,0.0269742,-0.00170837,0.0293734,-0.00121325
375,0.0259059,-0.00145843,0.0287573,-0.000692848
376,0.0265234,-0.00196145,0.0312545,-0.000402926
377,0.0272059,-0.00173387,0.031453,-3.45594e-05
378,0.0274394,-0.00205155,0.0312932,-0.000190585
379,0.0268011,-0.00345048,0.0311679,-0.00119164
380,0.0262408,-0.00241347,0.0306963,-0.000303307
381,0.0261962,-0.00166695,0.0305435,-0.000214287
382,0.0264708,-0.00135655,0.0305942,-0.00084218
383,0.0257295,-0.00151565,0.0301165,-0.000410013
384,0.0256093,-0.00114035,0.0305113,-0.000158055
385,0.0260141,-0.000900652,0.0311083,-5.24811e-05
386,0.0270168,-0.00210726,0.0306881,-0.000152798
387,0.0279716,-0.00220146,0.0313218,-0.000418128
388,0.0285065,-0.00217851,0.0318623,-0.000613768
389,0.0281974,-0.00246497,0.0315861,-0.000622864
390,0.0272491,-0.00140487,0.0316888,-0.00066532
391,0.0268025,-0.000661794,0.0314283,8.16934e-05
392,0.0269598,-0.000379526,0.0308791,0.00147141
393,0.027271,-0.000893856,0.0312434,-1.22077e-05
394,0.0269135,-0.000796213,0.0307981,5.60188e-05
395,0.0264295,-0.000573836,0.0302865,0.000421874
396,0.0269643,-0.0012459,0.0313612,-0.00158436
397,0.0272988,-0.000556015,0.0317089,-0.000568489
398,0.0271683,0.000255561,0.0316048,0.000629835
399,0.0262259,0.000467899,0.0310423,0.000327449
400,0.0266364,-6.89317e-07,0.0310072,-7.68992e-08
401,0.027063,-0.000223795,0.031077,0.000319249
402,0.0273282,-9.99406e-05,0.0312009,0.00130747
403,0.0270261,-0.00018806,0.0314659,0.000678879
404,0.0272497,0.000128695,0.0319623,0.000380453
405,0.0277991,0.000536411,0.0325222,0.000233561
406,0.0282071,0.000112193,0.0325421,-0.000212864
407,0.0280183,0.0010425,0.0322864,-9.26636e-05
408,0.027736,0.00187774,0.0320073,0.000271291
409,0.0277202,0.00146786,0.0319109,0.000768577
410,0.0276515,0.00143877,0.0317991,0.000581155
411,0.0277047,0.00146645,0.031915,0.000342242
412,0.0279111,0.00148697,0.0323076,0.000169673
413,0.0279215,0.00183002,0.0320562,0.000462752
414,0.0279752,0.00190533,0.0321716,0.000528694
415,0.0280686,0.00184357,0.032469,0.000467159
416,0.028501,0.00226256,0.0325645,0.000725093
417,0.0283426,0.00218398,0.0326415,0.000502283
418,0.0280242,0.00202867,0.0326985,0.000300716
419,0.0279865,0.00224047,0.0328049,0.000694778
420,0.0281886,0.00263463,0.0327343,0.000718432
421,0.028453,0.00295485,0.0327942,0.000609513
422,0.0287644,0.0031329,0.0331176,0.000418189
423,0.0288731,0.00346001,0.0331526,0.000922086
424,0.0288139,0.00336478,0.0332744,0.000827064
425,0.0286723,0.00298696,0.0334947,0.00030878
426,0.0287895,0.0031947,0.033621,0.000615724
427,0.0287702,0.00348281,0.0333921,0.000687764
428,0.0287355,0.00377111,0.033171,0.000679564
429,0.02875,0.00391633,0.033354,0.000734526
430,0.0291529,0.00387028,0.0334542,0.00083474
431,0.0294779,0.00384344,0.0335704,0.000901593
432,0.0295044,0.00391477,0.0337149,0.000891048
433,0.0293452,0.00432602,0.0337191,0.000962152
434,0.0292599,0.00457593,0.0336932,0.000996579
435,0.0293206,0.00464974,0.0337187,0.00100568
436,0.0298311,0.00451557,0.0341811,0.00108938
437,0.0299935,0.0047031,0.0342384,0.00114571
438,0.0298983,0.00500056,0.0341459,0.0011524
439,0.0296095,0.00509739,0.0343786,0.00104711
440,0.0297263,0.00535011,0.0341844,0.000957603
441,0.0299737,0.00543832,0.0341805,0.000937645
442,0.0302421,0.00513215,0.0347252,0.00103746
443,0.0298694,0.0054657,0.034575,0.000972218
444,0.0297429,0.00571984,0.0344873,0.000984303
445,0.029912,0.00581159,0.0345139,0.00108228
446,0.0300706,0.00583739,0.0347179,0.00116616
447,0.0300653,0.00597821,0.0348046,0.00124191
448,0.0300083,0.00614467,0.0348242,0.00128367
449,0.0303125,0.00617645,0.0350328,0.00121614
450,0.0303769,0.00638353,0.0351852,0.00125852
451,0.0303985,0.00657957,0.0353042,0.00126911
452,0.0304892,0.00663543,0.0353861,0.00113453
453,0.030505,0.00677131,0.035427,0.00132543
454,0.0305368,0.00690365,0.0355446,0.00139249
455,0.0305919,0.00701733,0.0357455,0.00126474
456,0.0305794,0.00707145,0.0357036,0.00130007
457,0.0306401,0.00712467,0.0357711,0.00125351
458,0.030759,0.00717913,0.0359114,0.00117606
459,0.0308623,0.00723973,0.0359754,0.00123694
460,0.0310273,0.00750425,0.0360959,0.00126229
461,0.0311481,0.00774036,0.036245,0.00127512
462,0.0311082,0.00771188,0.0364037,0.00129041
463,0.0310507,0.00793813,0.0363502,0.00120233
464,0.0311065,0.00808138,0.0364305,0.00119155
465,0.0312955,0.00803995,0.0367137,0.00130037
466,0.0312603,0.00799987,0.0367881,0.00138322
467,0.0313648,0.00818597,0.0370219,0.00146449
468,0.0315547,0.0085114,0.0373274,0.00152846
469,0.0315217,0.00859845,0.0371762,0.00146152
470,0.031612,0.00871505,0.0372832,0.00144145
471,0.03174,0.0088497,0.0374971,0.00143035
472,0.031764,0.00897011,0.0376225,0.00137897
473,0.0317592,0.00905647,0.0377612,0.00134274
474,0.0318355,0.00921136,0.0379292,0.00134877
475,0.0320068,0.00946486,0.0380956,0.00140003
476,0.0322889,0.00947142,0.038395,0.00148615
