# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Cinnamomum camphora laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0542341,0.0046479,0.094531,0.0116117
351,0.0528215,0.00373954,0.0932976,0.0095209
352,0.0502754,0.0036223,0.0923466,0.00919935
353,0.051445,0.0030068,0.0925388,0.0078572
354,0.052022,0.00134599,0.0921517,0.00962
355,0.0520199,0.000317097,0.0910408,0.0108417
356,0.0514499,0.00130421,0.0891816,0.00883527
357,0.0500844,0.000696679,0.0883687,0.00884725
358,0.0492025,0.00171318,0.0885094,0.00838175
359,0.0490909,0.0048708,0.0897424,0.0070419
360,0.0506649,0.00262469,0.088828,0.00791666
361,0.05037,0.00120876,0.0883563,0.00778716
362,0.0491877,0.000702856,0.0886982,0.00706902
363,0.0489515,0.00211408,0.0901566,0.00661249
364,0.0489183,0.00149388,0.0894227,0.00575027
365,0.048601,0.000893543,0.088441,0.00483437
366,0.0475257,0.00231513,0.0892604,0.00416402
367,0.0480935,0.00173584,0.0892115,0.00487886
368,0.0484882,0.00105046,0.0890678,0.00589749
369,0.0481962,0.000691239,0.0888643,0.006985
370,0.0496545,0.00204289,0.0893754,0.00591657
371,0.049635,0.00259239,0.0895615,0.00541143
372,0.0484632,0.00239009,0.0894485,0.00525706
373,0.0481336,0.00153664,0.0899805,0.00403463
374,0.04832,0.00213885,0.0898364,0.00426637
375,0.0485183,0.00310742,0.0898641,0.0047962
376,0.0476291,0.00316929,0.0905714,0.00418663
377,0.0480954,0.00231584,0.0911929,0.00397326
378,0.0486096,0.0014319,0.0913094,0.0040319
379,0.0483663,0.000789952,0.0899872,0.00434047
380,0.0482496,0.00116967,0.0908279,0.00427552
381,0.0482418,0.00140947,0.0915759,0.00406003
382,0.0481835,0.00147002,0.0918559,0.003771
383,0.0476468,0.0015763,0.0912047,0.00400086
384,0.0477041,0.00228785,0.0914772,0.00445833
385,0.0480562,0.0028933,0.0920524,0.00465106
386,0.0480175,0.00203614,0.091337,0.00346541
387,0.0478284,0.00189429,0.0916642,0.00415119
388,0.0480806,0.0022732,0.092495,0.00465144
389,0.0488585,0.00321296,0.0931257,0.00394327
390,0.0483931,0.00353662,0.0934737,0.00460234
391,0.0485071,0.0033803,0.0938937,0.00508463
392,0.0492961,0.00282358,0.094585,0.00524568
393,0.0480392,0.00258659,0.0945457,0.00456658
394,0.0478088,0.00268086,0.0947983,0.00437263
395,0.0481081,0.00291946,0.0951067,0.00441949
396,0.0481963,0.00298517,0.0949895,0.00431444
397,0.0488203,0.00302315,0.0951109,0.00448359
398,0.0494636,0.00341815,0.0958029,0.00491299
399,0.0497946,0.00453704,0.0974278,0.00569168
400,0.0490319,0.00429539,0.0974711,0.00503309
401,0.0486906,0.00404617,0.0977946,0.0047896
402,0.0489583,0.00397238,0.0986325,0.00517576
403,0.0495291,0.00428075,0.0988515,0.00551113
404,0.0496494,0.00429315,0.0992372,0.00574347
405,0.0496102,0.00428703,0.099822,0.00591531
406,0.0499457,0.00510744,0.100391,0.00609762
407,0.0500715,0.00537256,0.100717,0.00630242
408,0.050117,0.00549582,0.101162,0.00638447
409,0.0501936,0.00574321,0.102182,0.00618128
410,0.0504123,0.00604974,0.102784,0.00638752
411,0.0506025,0.00614946,0.102987,0.00664973
412,0.0507233,0.00598677,0.102767,0.00690291
413,0.0507519,0.00620922,0.103616,0.00697706
414,0.0509817,0.00653224,0.10445,0.00715233
415,0.0512128,0.00689508,0.105019,0.00737885
416,0.0512296,0.00717565,0.105472,0.00755386
417,0.0514196,0.00748989,0.106165,0.00781347
418,0.0515631,0.00780235,0.106733,0.0080435
419,0.0515669,0.00810381,0.107059,0.0081361
420,0.0518793,0.00844077,0.107611,0.00840467
421,0.0520845,0.00867948,0.108071,0.00859877
422,0.0521108,0.00878327,0.108456,0.0086503
423,0.0522031,0.00904604,0.10897,0.00874866
424,0.0522759,0.00932128,0.109323,0.00903928
425,0.0523668,0.00959709,0.109647,0.00942339
426,0.0523339,0.00976662,0.110015,0.0091868
427,0.0524382,0.00990694,0.110227,0.00930534
428,0.0526456,0.0100469,0.110522,0.00964845
429,0.0527192,0.0101805,0.110763,0.0101301
430,0.0527157,0.0104547,0.111064,0.0100379
431,0.0527667,0.0107043,0.111421,0.00997301
432,0.0528794,0.0108574,0.111736,0.0101574
433,0.0530007,0.0110987,0.112139,0.010405
434,0.0530454,0.0113555,0.112322,0.0106307
435,0.0531068,0.0116328,0.112481,0.0108482
436,0.0533725,0.0118904,0.11302,0.0110637
437,0.0535059,0.0121732,0.113458,0.0112773
438,0.0535099,0.0124286,0.113681,0.0114485
439,0.0534694,0.012587,0.113688,0.0115158
440,0.0535518,0.0127656,0.114161,0.0117955
441,0.0536422,0.0129195,0.114668,0.0119928
442,0.0536389,0.0130042,0.114906,0.0119209
443,0.0538211,0.0133224,0.115365,0.0122643
444,0.0540325,0.0135814,0.115745,0.0125558
445,0.0541955,0.0137519,0.115911,0.01274
446,0.0542582,0.0142099,0.116271,0.0129463
447,0.0543504,0.0144748,0.116781,0.0132342
448,0.0544158,0.0146266,0.117242,0.0135143
449,0.0546018,0.0148962,0.117781,0.0136228
