# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Cinnamomum camphora laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0129327,0.143208,0.150125,0.153299
351,1.93757e-06,0.0985571,0.18041,0.136237
352,0.141525,0.0826745,0.222784,0.0273003
353,0.100495,0.149868,0.0294827,1.93951e-06
354,0.0669016,0.137797,0.0961943,0.0393669
355,0.0374539,0.136315,0.159815,0.119795
356,0.0322008,0.2038,0.0441227,0.184066
357,1.94914e-06,0.13909,1.94914e-06,0.0935974
358,1.93191e-06,0.0564657,1.93191e-06,0.048203
359,1.92798e-06,1.92798e-06,0.0244439,0.0868798
360,0.077678,0.089629,0.135215,0.0756997
361,0.0849444,0.0845897,0.166562,0.0511005
362,0.042604,0.0255661,0.143102,0.0192632
363,1.92862e-06,0.112201,0.0844206,0.0201543
364,0.0266332,0.098617,0.0880221,0.0582272
365,0.0654961,0.0613437,0.0812135,0.0703716
366,0.0292152,0.0500514,1.96405e-06,1.96405e-06
367,0.0460797,0.0281198,0.0490913,0.00285182
368,0.0706095,0.00329609,0.0975367,0.0246724
369,0.0959702,1.88613e-06,0.101487,0.0335731
370,0.0852077,1.88657e-06,0.105128,0.0261389
371,0.0701988,0.0419597,0.0852773,0.0160917
372,0.0549674,0.120299,0.0527749,0.0110435
373,0.0658548,0.0821579,0.0562505,0.0600659
374,0.0717473,0.0654483,0.0621074,0.0751685
375,0.0700917,0.0506212,0.0695551,0.0696936
376,0.0520986,0.00906856,0.0788189,0.0466648
377,0.0492622,0.0282313,0.0598491,0.0461211
378,0.0544285,0.0486144,0.0548332,0.039912
379,0.0661877,0.0504745,0.079849,0.017843
380,0.055096,0.0555967,0.0703653,0.0416375
381,0.0651711,0.0510295,0.062984,0.0621587
382,0.0912274,0.0399495,0.0598433,0.0736915
383,0.0828849,0.0492191,0.0611991,0.0405513
384,0.0678491,0.0688483,0.075711,0.0399644
385,0.0532881,0.0809676,0.0868856,0.050462
386,0.0564002,0.049593,0.0640648,0.0435121
387,0.0717293,0.0348961,0.0666856,0.0484048
388,0.0829892,0.0302411,0.0774519,0.0541886
389,0.0828829,0.0348981,0.0918707,0.0564226
390,0.0716751,0.0315496,0.0815066,0.0552509
391,0.0615003,0.0379731,0.0735935,0.0559337
392,0.0549659,0.0541769,0.0705429,0.0580973
393,0.0777137,0.0655154,0.0803344,0.0494324
394,0.0739674,0.0606362,0.0810948,0.0455704
395,0.0607721,0.0509196,0.0773423,0.0514552
396,0.071426,0.0592126,0.0755907,0.0836777
397,0.068071,0.0709012,0.0801863,0.0819846
398,0.0637916,0.075763,0.082907,0.0704915
399,0.0657997,0.0656244,0.078067,0.0598012
400,0.0606539,0.0642371,0.0817643,0.0505082
401,0.0538755,0.0700651,0.0830602,0.0535046
402,0.0464186,0.0818682,0.0807705,0.0689378
403,0.0481357,0.073517,0.0770939,0.0674975
404,0.0515693,0.0753857,0.0702727,0.0685616
405,0.0560302,0.0827405,0.065574,0.0708231
406,0.0603244,0.0856231,0.0802781,0.0713188
407,0.0649226,0.0838432,0.0801187,0.0782558
408,0.0673201,0.081234,0.0775076,0.0845032
409,0.0645255,0.0804182,0.0806973,0.0844418
410,0.0657887,0.0898187,0.0832739,0.0774013
411,0.0635441,0.0945621,0.0787215,0.0729515
412,0.0563426,0.0921254,0.0655218,0.0728533
413,0.0647954,0.0839726,0.0760986,0.0807082
414,0.064333,0.085896,0.0796874,0.0846143
415,0.0589173,0.0934285,0.0776952,0.0859032
416,0.0637437,0.0900379,0.0729179,0.0894684
417,0.06866,0.0857784,0.0727804,0.0919639
418,0.0700081,0.0850941,0.0763006,0.0945774
419,0.0616563,0.094858,0.0847579,0.0986413
420,0.0617952,0.0950289,0.0846895,0.0887106
421,0.0627588,0.0934073,0.0837504,0.0864107
422,0.0625138,0.0919134,0.0839313,0.0988006
423,0.0618517,0.0962605,0.0776166,0.0909442
424,0.0624446,0.0982461,0.0760565,0.0876969
425,0.0635927,0.0983331,0.0785406,0.0890469
426,0.0604594,0.0999596,0.0806214,0.0927272
427,0.0608408,0.101852,0.0805564,0.0947268
428,0.0627537,0.102641,0.0810733,0.0966886
429,0.0643481,0.0997889,0.0863823,0.100933
430,0.0594584,0.102858,0.0826181,0.101416
431,0.0576031,0.107485,0.080602,0.101057
432,0.0631756,0.112326,0.084878,0.100795
433,0.0626058,0.109824,0.0805413,0.100193
434,0.0627122,0.107148,0.0796863,0.102307
435,0.0639013,0.105177,0.0822947,0.106243
436,0.0669154,0.109317,0.0829282,0.101697
437,0.0630074,0.109597,0.0803748,0.101327
