# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Cryptomeria japonica shoot.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0363159,-0.000273735,0.0467614,-0.00031737
351,0.0327848,0.00167382,0.0449025,-0.000754583
352,0.030955,0.00275828,0.0421604,-0.000702613
353,0.032066,0.000322143,0.0415813,0.000606929
354,0.0317492,0.00210565,0.0432857,0.000682864
355,0.0309539,0.00367778,0.0446804,0.000265557
356,0.0302699,0.00179016,0.0439672,-0.000311391
357,0.0313038,-0.000469941,0.0438076,0.00133034
358,0.031832,-0.000993581,0.0435471,0.00140157
359,0.0315287,0.000602972,0.0431498,-0.000759662
360,0.0331228,0.000468288,0.0419233,0.000112601
361,0.0325745,0.000702194,0.0412457,0.00106459
362,0.031071,0.000946292,0.0411133,0.0018504
363,0.031745,-0.000202514,0.0411183,0.00139913
364,0.0318084,1.25935e-05,0.0409943,0.00144058
365,0.0317463,0.000340251,0.0406475,0.00133922
366,0.0320714,-0.000402364,0.0399824,0.00039093
367,0.0317214,0.00115195,0.0394422,0.00119756
368,0.031144,0.00162415,0.0393483,0.00174737
369,0.030379,0.000119846,0.0397568,0.00153983
370,0.0294539,0.000714029,0.0394142,0.000171487
371,0.0291174,0.000608573,0.0395058,0.000215049
372,0.0291074,-7.99608e-06,0.0398663,0.00110597
373,0.0282535,6.54516e-05,0.0398841,-0.000208327
374,0.0278825,-0.00015949,0.0395739,-0.00061441
375,0.0282363,-0.000303899,0.0394667,-0.000246124
376,0.0298928,0.000191105,0.0401105,0.00118075
377,0.0307292,5.16694e-05,0.0395215,0.000746558
378,0.0311706,-3.47713e-05,0.039052,0.000750091
379,0.0310974,0.000166467,0.0389123,0.0020407
380,0.0295108,5.89438e-05,0.0386926,0.000884033
381,0.0288559,-5.28505e-06,0.0385324,0.000156085
382,0.0290063,-1.03154e-05,0.0383831,1.01047e-05
383,0.0285684,2.0052e-05,0.0384807,0.000623423
384,0.028351,0.000312925,0.0385494,0.000656375
385,0.0285349,0.000468588,0.0387315,0.000492368
386,0.0295647,-0.000330563,0.0391172,0.000663195
387,0.0304697,-0.000624927,0.0396147,0.001338
388,0.0308421,-0.00046614,0.0399983,0.00126437
389,0.0301913,0.000247131,0.0399049,-0.00034466
390,0.0295118,-3.60416e-05,0.0398089,0.000169861
391,0.0289052,3.36909e-05,0.0394054,0.000457151
392,0.0285136,0.000506536,0.0388485,0.000347582
393,0.0297957,0.000283411,0.0397103,0.000244424
394,0.0296176,0.000211651,0.0395209,-0.000266995
395,0.0290478,0.000195134,0.0390263,-0.000742911
396,0.030245,5.30219e-05,0.0397173,-0.000157027
397,0.0298152,0.000430328,0.0401806,0.000214836
398,0.029135,0.000612478,0.0401968,0.000323608
399,0.0289503,9.17633e-05,0.0394521,4.87085e-05
400,0.0289118,2.01214e-07,0.0397007,3.59414e-08
401,0.0290706,-5.13988e-05,0.0399391,0.000122961
402,0.029414,-0.000110516,0.0400477,0.000391116
403,0.0290026,2.07801e-05,0.0402448,7.16423e-05
404,0.0289336,-5.06157e-05,0.0401505,-0.000270777
405,0.0291534,-0.000219041,0.0400215,-0.0005086
406,0.029608,-0.000237879,0.0404658,-0.000166473
407,0.0296125,-0.000103608,0.0402098,0.000123687
408,0.0293765,1.6211e-05,0.039842,0.000162666
409,0.0289659,-1.93884e-05,0.0397899,-0.00032509
410,0.029034,-2.87877e-06,0.0402399,-0.000489517
411,0.0291531,-4.6224e-05,0.0404945,-0.000561161
412,0.0292365,-0.000174075,0.0404099,-0.000579427
413,0.0297178,-4.24994e-05,0.0403476,-0.000331563
414,0.0299451,5.33188e-05,0.0405742,-0.000206647
415,0.0299014,0.000141735,0.0409029,-0.000194973
416,0.0296595,0.000378628,0.0410215,-0.000308594
417,0.029686,0.000209596,0.0407987,-0.000171153
418,0.0297445,-3.83742e-05,0.0405711,-3.72987e-05
419,0.0296787,-5.6494e-05,0.0408135,-0.000189213
420,0.0297289,0.000213119,0.0407388,-0.000393137
421,0.0298921,0.000324688,0.0407958,-0.000539903
422,0.0302121,0.000135286,0.0411655,-0.00059095
423,0.0302976,0.000211736,0.0412698,-0.000459062
424,0.0304112,0.000109976,0.0412327,-0.000498339
