# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance spectrum of Cryptomeria japonica trunk.
#wl,R
350,0.0270205
351,0.0269614
352,0.0285943
353,0.0276334
354,0.0275584
355,0.0278781
356,0.0285239
357,0.0296409
358,0.0292365
359,0.02703
360,0.0287534
361,0.0284615
362,0.0271602
363,0.0271101
364,0.0274478
365,0.0273313
366,0.0257939
367,0.0278131
368,0.0290434
369,0.02837
370,0.0285468
371,0.0280422
372,0.0271539
373,0.0278478
374,0.0279098
375,0.0278979
376,0.0282967
377,0.0283274
378,0.0284719
379,0.0286962
380,0.027772
381,0.0276133
382,0.0281903
383,0.0292747
384,0.0291571
385,0.0288023
386,0.0295278
387,0.0289648
388,0.0284774
389,0.0285264
390,0.02857
391,0.0284
392,0.0281486
393,0.0291084
394,0.0288958
395,0.0282863
396,0.0287553
397,0.0291802
398,0.0295178
399,0.0297021
400,0.029514
401,0.0292401
402,0.0289332
403,0.0288846
404,0.0288823
405,0.0289607
406,0.0291508
407,0.0293974
408,0.0295132
409,0.0293238
410,0.0293568
411,0.0294771
412,0.0296557
413,0.0292019
414,0.0291895
415,0.029412
416,0.0294732
417,0.0295819
418,0.0296922
419,0.0298539
420,0.0297056
421,0.0296703
422,0.0299104
423,0.0298612
424,0.0298002
425,0.0297708
426,0.0297951
427,0.0299185
428,0.0300581
429,0.0299659
430,0.0299722
431,0.0300651
432,0.0302328
433,0.0302408
434,0.0302252
435,0.0302486
436,0.0304345
437,0.0305467
438,0.030589
439,0.0306183
440,0.0305671
441,0.0305537
442,0.0306219
443,0.0308251
444,0.0309082
445,0.0308317
446,0.0309506
447,0.0309837
448,0.0309366
449,0.0309476
450,0.0310398
451,0.0311542
452,0.0312554
453,0.0313074
454,0.0314029
455,0.0315479
456,0.0316024
457,0.0315932
458,0.0315716
459,0.0316483
460,0.0317202
461,0.0317834
462,0.0318267
463,0.0319425
464,0.0320609
465,0.0321356
466,0.0320371
467,0.0321582
468,0.0324067
469,0.0322672
470,0.0322706
471,0.0324134
472,0.0326922
473,0.03277
474,0.0327649
475,0.032647
476,0.0327519
477,0.0328608
478,0.0329665
479,0.033018
480,0.0331148
481,0.033222
482,0.0333219
483,0.0334072
484,0.0335066
485,0.0335336
486,0.0337887
487,0.0339744
488,0.0341038
489,0.0342258
490,0.0343397
491,0.034484
492,0.0346643
493,0.0347404
494,0.0348609
495,0.0351253
496,0.035366
497,0.0355536
498,0.0357384
499,0.0359778
500,0.0361582
501,0.036329
502,0.0366434
503,0.036849
504,0.0370549
505,0.0372867
506,0.0375801
507,0.0378451
508,0.038076
509,0.0383396
510,0.0386043
511,0.0389376
512,0.0392502
513,0.0395442
514,0.0398314
515,0.0401052
516,0.0403632
517,0.0406756
518,0.0410426
519,0.0412295
520,0.0414962
521,0.0418051
522,0.0420757
523,0.0423295
524,0.0425745
525,0.0428524
526,0.0430833
527,0.0433238
528,0.0435621
529,0.0438007
530,0.044012
531,0.0441861
532,0.0444106
533,0.0445946
534,0.0447376
535,0.0449122
536,0.0451848
537,0.0454191
538,0.0455646
539,0.0457431
540,0.0459412
541,0.046172
542,0.0463643
543,0.0465209
544,0.046689
545,0.0468995
546,0.0471339
547,0.0473304
548,0.0474793
549,0.047686
550,0.0479491
551,0.048113
552,0.0483256
553,0.0485425
554,0.0487368
555,0.0489481
556,0.0490858
557,0.0492591
558,0.0494709
559,0.049628
560,0.0497766
561,0.0499388
562,0.0500481
563,0.0501951
564,0.0503499
565,0.0504826
566,0.0506353
567,0.0508335
568,0.0509816
569,0.0510843
570,0.05123
571,0.0514456
572,0.0515858
573,0.051746
574,0.0518857
575,0.0520597
576,0.0522402
577,0.0523985
578,0.0525383
579,0.0527523
580,0.0529708
581,0.0531833
582,0.0533744
583,0.0535865
584,0.0538484
585,0.0540328
586,0.0542403
587,0.0544808
588,0.0547369
589,0.0550021
590,0.0552641
591,0.0554858
592,0.0557498
593,0.0559862
594,0.0562513
595,0.0565825
596,0.0568867
597,0.0571689
598,0.0574434
599,0.0577718
600,0.0580435
601,0.0583454
602,0.058693
603,0.058962
604,0.059251
605,0.05963
606,0.0599578
607,0.0602803
608,0.060636
609,0.0609469
610,0.0612715
611,0.0616059
612,0.0619663
613,0.0623135
614,0.0626249
615,0.0629273
616,0.0632695
617,0.0636756
618,0.0641598
619,0.0645803
620,0.0649702
621,0.0653943
622,0.0658343
623,0.0662706
624,0.066667
625,0.0671337
626,0.0675872
627,0.0680279
628,0.0685231
629,0.0690061
630,0.0694476
631,0.0699048
632,0.0702927
633,0.0707011
634,0.0712861
635,0.0716865
636,0.0720299
637,0.0723898
638,0.0726574
639,0.0728993
640,0.0731901
641,0.0734218
642,0.0736415
643,0.0738348
644,0.0740859
645,0.0743243
646,0.0746166
647,0.074991
648,0.0753856
649,0.075802
650,0.0763389
651,0.0768758
652,0.0774404
653,0.0780249
654,0.0785523
655,0.0791408
656,0.0797174
657,0.080144
658,0.0804781
659,0.080799
660,0.0811108
661,0.0814627
662,0.0818602
663,0.0821954
664,0.0825343
665,0.0830206
666,0.0835665
667,0.0841528
668,0.0847531
669,0.0854511
670,0.0861994
671,0.0870335
672,0.0879458
673,0.0888844
674,0.089852
675,0.0908835
676,0.0919522
677,0.0931371
678,0.0944082
679,0.0958161
680,0.097258
681,0.0988749
682,0.100723
683,0.102762
684,0.105027
685,0.107397
686,0.109741
687,0.112269
688,0.115052
689,0.11777
690,0.120395
691,0.123068
692,0.125777
693,0.128371
694,0.130928
695,0.133422
696,0.135936
697,0.138275
698,0.140556
699,0.142908
700,0.145254
701,0.147478
702,0.149542
703,0.151797
704,0.153954
705,0.15585
706,0.157859
707,0.159983
708,0.161943
709,0.163737
710,0.16561
711,0.167547
712,0.169371
713,0.171084
714,0.172883
715,0.174524
716,0.176257
717,0.178213
718,0.179726
719,0.181154
720,0.182962
721,0.18461
722,0.186231
723,0.187712
724,0.189232
725,0.191033
726,0.192795
727,0.194497
728,0.195844
729,0.197373
730,0.198931
731,0.200465
732,0.202012
733,0.203552
734,0.205285
735,0.206786
736,0.208272
737,0.209911
738,0.211598
739,0.213147
740,0.2145
741,0.215899
742,0.217703
743,0.219131
744,0.220339
745,0.221684
746,0.223253
747,0.224863
748,0.226163
749,0.227792
750,0.229063
751,0.230334
752,0.231902
753,0.233336
754,0.234935
755,0.236612
756,0.237923
757,0.23918
758,0.240784
759,0.242385
760,0.243682
761,0.244915
762,0.246357
763,0.2478
764,0.249251
765,0.250759
766,0.251808
767,0.25335
768,0.255345
769,0.256681
770,0.257218
