# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Eurya japonica laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0387137,0.00161053,0.0494115,0.000650315
351,0.0393411,0.00118502,0.0493795,0.00237957
352,0.0390879,0.000740256,0.0505524,0.00347541
353,0.0399122,1.89672e-06,0.0486229,0.00337427
354,0.0390096,0.000737112,0.0489744,0.00274396
355,0.0365533,0.00242219,0.0486052,0.00178923
356,0.0350612,0.00228559,0.0481041,0.000516379
357,0.0376262,0.00151048,0.0478622,0.00163437
358,0.0391256,0.00161073,0.0484795,0.00196126
359,0.0362501,0.00286163,0.0476833,0.00095738
360,0.037582,0.00329971,0.0483135,0.00163409
361,0.0389238,0.00161872,0.0482557,0.001691
362,0.039666,1.89634e-06,0.0475946,0.00130658
363,0.0385207,1.90019e-06,0.0474326,0.000742023
364,0.0382435,1.90251e-06,0.047132,0.00209846
365,0.0395978,1.90006e-06,0.0482706,0.0029014
366,0.0392937,0.0013625,0.0483476,0.000457025
367,0.0376411,0.00122326,0.0472337,1.90688e-06
368,0.0368538,0.00106659,0.0468834,0.000142149
369,0.0381328,0.00135889,0.0484073,0.000786023
370,0.0369301,0.00107104,0.0489246,0.000550736
371,0.0366594,0.000613741,0.0486598,0.000493661
372,0.0375856,0.000198587,0.0482787,0.000665456
373,0.0389631,0.00106368,0.0489755,0.00138355
374,0.0386692,0.00158349,0.0493112,0.00130607
375,0.0375473,0.00179615,0.048998,0.00110804
376,0.0384008,0.00155755,0.0492903,0.00162722
377,0.0384992,0.000480185,0.0500036,0.00152743
378,0.0376407,1.91592e-06,0.0502169,0.00104035
379,0.0366588,0.000477592,0.0504975,0.000158878
380,0.0389115,0.00112443,0.0516391,0.00155778
381,0.0398746,0.00108648,0.0518765,0.00206136
382,0.0383193,0.000483981,0.0500713,0.00168391
383,0.0390636,0.00040336,0.0507429,0.00168704
384,0.0393689,0.000160502,0.0510549,0.00155916
385,0.0389111,9.84623e-05,0.051,0.00123795
386,0.0373099,0.000960358,0.0509726,0.000430538
387,0.0372385,0.000856322,0.0514813,0.000920212
388,0.0381567,0.000590246,0.052379,0.00120532
389,0.0385432,0.000482818,0.0520947,0.000537314
390,0.0382836,0.000954596,0.0521873,0.00053171
391,0.0380118,0.00111391,0.0524097,0.000551234
392,0.0383411,0.000928456,0.0532728,0.000528227
393,0.0387343,0.000949436,0.0533936,0.000255286
394,0.0386917,0.00109666,0.053465,0.000494742
395,0.0382517,0.00125045,0.0532188,0.000881827
396,0.0385938,0.00114397,0.0531672,0.000692878
397,0.0389704,0.00124156,0.0537802,0.000819103
398,0.038844,0.00129329,0.054241,0.000769087
399,0.0377622,0.0011273,0.0540468,0.000172253
400,0.0375108,0.00106278,0.0535119,0.000232662
401,0.0376342,0.00102369,0.0533659,0.000538179
402,0.0385246,0.000996373,0.0541459,0.00100403
403,0.0387465,0.000767247,0.0542379,0.000640011
404,0.0385003,0.000827706,0.0541195,0.000446865
405,0.0378986,0.000976555,0.0537966,0.00035938
406,0.0381088,0.000653126,0.0541219,0.000242289
407,0.0383056,0.000507053,0.054448,0.000322409
408,0.0386224,0.000516156,0.0547963,0.000523803
409,0.0388721,0.000735765,0.0548714,0.000853449
410,0.0389145,0.000829071,0.0550891,0.000636643
411,0.0390814,0.000729729,0.0551316,0.000425196
412,0.0389708,0.000419594,0.0544719,0.000323796
413,0.0389393,0.000424368,0.0545394,0.000706961
414,0.0389191,0.0004543,0.0546422,0.000765792
415,0.0391447,0.000514863,0.0549638,0.000619175
416,0.039305,0.000680842,0.0552149,0.000702836
417,0.0392741,0.000648979,0.0554048,0.000623135
418,0.0392734,0.000578375,0.0556307,0.00054869
419,0.0391053,0.000625701,0.0556313,0.000673611
