# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance spectrum of Fagus crenata trunk.
#wl,R
350,0.0654218
351,0.0615947
352,0.0635339
353,0.0626892
354,0.06209
355,0.0625427
356,0.0620902
357,0.0642455
358,0.0644011
359,0.0609459
360,0.0619613
361,0.0651457
362,0.0678138
363,0.0677493
364,0.0680937
365,0.0671788
366,0.0661676
367,0.0688593
368,0.0684526
369,0.0667352
370,0.0666623
371,0.0687403
372,0.0700364
373,0.0694554
374,0.0674384
375,0.0672328
376,0.068029
377,0.0687913
378,0.0689513
379,0.0696912
380,0.069208
381,0.0671145
382,0.0689718
383,0.0699157
384,0.0695982
385,0.0702953
386,0.0687788
387,0.0694446
388,0.0724498
389,0.0710309
390,0.0705566
391,0.0714163
392,0.0725049
393,0.0721014
394,0.0727834
395,0.0735403
396,0.0716819
397,0.0719656
398,0.0730086
399,0.0732306
400,0.0719994
401,0.0716647
402,0.0722454
403,0.0729263
404,0.0732148
405,0.073354
406,0.0731241
407,0.0724868
408,0.073168
409,0.0741279
410,0.074411
411,0.0746336
412,0.0747111
413,0.0746254
414,0.0744879
415,0.0742969
416,0.0746855
417,0.0754948
418,0.0755844
419,0.0750967
420,0.0748357
421,0.0751823
422,0.0752694
423,0.0749584
424,0.0745636
425,0.0747303
426,0.0751417
427,0.0751869
428,0.0751181
429,0.0755152
430,0.0753548
431,0.0752472
432,0.0756286
433,0.0757949
434,0.0759928
435,0.0762556
436,0.076336
437,0.0764938
438,0.0766553
439,0.0767074
440,0.0763132
441,0.0766262
442,0.0772062
443,0.0773295
444,0.0774756
445,0.0776714
446,0.0779346
447,0.0781719
448,0.0784611
449,0.0787656
450,0.0789093
451,0.078958
452,0.0789684
453,0.0792299
454,0.0795586
455,0.0797568
456,0.0798556
457,0.0798921
458,0.080156
459,0.0804021
460,0.080571
461,0.0806234
462,0.0805685
463,0.0806404
464,0.0808537
465,0.0808993
466,0.0810337
467,0.081215
468,0.0813715
469,0.0814243
470,0.0815609
471,0.0817726
472,0.0819663
473,0.0820753
474,0.08222
475,0.0823122
476,0.0823047
477,0.0824491
478,0.0826427
479,0.0827462
480,0.0831236
481,0.0833115
482,0.0831097
483,0.0828677
484,0.0832894
485,0.0837038
486,0.0837669
487,0.0840009
488,0.0842804
489,0.084522
490,0.0847255
491,0.0850446
492,0.0853779
493,0.0856423
494,0.0857321
495,0.0860498
496,0.086575
497,0.0870732
498,0.0876157
499,0.0881576
500,0.0887042
501,0.0892575
502,0.0896329
503,0.0900924
504,0.0908596
505,0.0916007
506,0.0921034
507,0.0925991
508,0.0933538
509,0.0940587
510,0.0948138
511,0.0958192
512,0.0967203
513,0.0975098
514,0.098292
515,0.0991869
516,0.100236
517,0.1012
518,0.102022
519,0.103125
520,0.10435
521,0.105503
522,0.106546
523,0.1076
524,0.108752
525,0.109962
526,0.111157
527,0.112388
528,0.11363
529,0.114927
530,0.11626
531,0.117407
532,0.118533
533,0.119833
534,0.121
535,0.122224
536,0.123472
537,0.124471
538,0.125628
539,0.126763
540,0.127776
541,0.128896
542,0.129906
543,0.130752
544,0.131591
545,0.132536
546,0.133495
547,0.134302
548,0.135156
549,0.135999
550,0.136918
551,0.137461
552,0.138139
553,0.138894
554,0.139586
555,0.140111
556,0.140579
557,0.141094
558,0.141467
559,0.141718
560,0.141966
561,0.14224
562,0.142289
563,0.142347
564,0.142364
565,0.142355
566,0.142297
567,0.142305
568,0.142205
569,0.142022
570,0.141881
571,0.141749
572,0.141538
573,0.141407
574,0.141174
575,0.141083
576,0.140951
577,0.140681
578,0.140512
579,0.140564
580,0.140459
581,0.14036
582,0.140243
583,0.140132
584,0.140145
585,0.140103
586,0.13992
587,0.139821
588,0.139939
589,0.139904
590,0.139841
591,0.139827
592,0.139794
593,0.139692
594,0.139724
595,0.139775
596,0.139865
597,0.139988
598,0.139922
599,0.140005
600,0.13996
601,0.13996
602,0.140151
603,0.140141
604,0.140102
605,0.139993
606,0.139922
607,0.139924
608,0.139848
609,0.139684
610,0.139573
611,0.139527
612,0.139431
613,0.139212
614,0.138947
615,0.138666
616,0.138526
617,0.138404
618,0.138254
619,0.138198
620,0.13812
621,0.138078
622,0.138118
623,0.138188
624,0.138198
625,0.138228
626,0.138301
627,0.138341
628,0.138443
629,0.138565
630,0.138548
631,0.138584
632,0.138484
633,0.138249
634,0.138354
635,0.137983
636,0.137401
637,0.136948
638,0.13607
639,0.135016
640,0.134043
641,0.132966
642,0.13188
643,0.130713
644,0.129585
645,0.128466
646,0.127407
647,0.126481
648,0.125667
649,0.124978
650,0.124653
651,0.12451
652,0.124526
653,0.124644
654,0.12469
655,0.124885
656,0.125013
657,0.124747
658,0.124197
659,0.123502
660,0.122765
661,0.121984
662,0.121034
663,0.11999
664,0.118865
665,0.117863
666,0.117074
667,0.116219
668,0.115451
669,0.114947
670,0.114505
671,0.114245
672,0.114109
673,0.11406
674,0.11411
675,0.114299
676,0.114543
677,0.114876
678,0.115214
679,0.115669
680,0.116193
681,0.11687
682,0.11786
683,0.119245
684,0.121057
685,0.123422
686,0.126214
687,0.129649
688,0.133947
689,0.138641
690,0.143672
691,0.149248
692,0.155028
693,0.160746
694,0.166494
695,0.172209
696,0.177725
697,0.182817
698,0.187678
699,0.192332
700,0.196843
701,0.201057
702,0.204822
703,0.208704
704,0.212235
705,0.215146
706,0.21825
707,0.221286
708,0.22398
709,0.226426
710,0.228787
711,0.231207
712,0.233487
713,0.235578
714,0.237713
715,0.23963
716,0.241654
717,0.24391
718,0.245548
719,0.247045
720,0.249047
721,0.25088
722,0.252574
723,0.253987
724,0.255466
725,0.257385
726,0.259207
727,0.260855
728,0.262009
729,0.263426
730,0.264824
731,0.266157
732,0.267523
733,0.268763
734,0.270185
735,0.271426
736,0.272622
737,0.273916
738,0.275213
739,0.276353
740,0.277232
741,0.278133
742,0.279564
743,0.280502
744,0.28114
745,0.281948
746,0.282929
747,0.284014
748,0.284736
749,0.285873
750,0.286551
751,0.287233
752,0.28826
753,0.289066
754,0.290136
755,0.291266
756,0.291876
757,0.292391
758,0.293381
759,0.294367
760,0.294942
761,0.295494
762,0.296272
763,0.29703
764,0.297844
765,0.298685
766,0.298993
767,0.299892
768,0.301344
769,0.302022
770,0.301783
771,0.302476
772,0.303755
773,0.304511
774,0.30522
775,0.306123
776,0.306835
777,0.307631
778,0.308343
779,0.309198
780,0.310192
781,0.311244
782,0.31152
783,0.312425
784,0.313633
785,0.314541
786,0.314765
787,0.315401
788,0.316437
789,0.317486
790,0.318367
791,0.318647
792,0.319119
793,0.319866
794,0.320907
795,0.321884
796,0.322775
797,0.323798
798,0.324266
799,0.324751
800,0.326095
801,0.326857
802,0.327473
803,0.328932
804,0.329717
805,0.330316
806,0.330904
807,0.331798
808,0.333006
809,0.33344
810,0.334133
811,0.335045
812,0.335782
813,0.336664
814,0.337756
815,0.338997
816,0.33969
817,0.339995
818,0.341128
819,0.341918
820,0.342366
821,0.343063
822,0.343984
823,0.344497
824,0.345728
825,0.34665
826,0.347611
827,0.348348
828,0.348961
829,0.350081
830,0.35111
831,0.351595
832,0.352518
833,0.353598
834,0.354431
835,0.355306
836,0.356337
837,0.356796
838,0.357694
839,0.358233
840,0.35805
841,0.359286
842,0.360952
843,0.36151
844,0.362432
845,0.363656
846,0.36427
847,0.364529
848,0.365609
849,0.36673
850,0.367461
851,0.368825
852,0.369785
853,0.369995
854,0.371372
855,0.371628
856,0.372331
857,0.373885
858,0.374826
859,0.375404
860,0.375483
861,0.377592
862,0.378864
863,0.379161
864,0.380702
865,0.379937
866,0.381217
867,0.383412
868,0.384569
869,0.38502
870,0.385124
871,0.385882
872,0.38773
873,0.389341
874,0.388494
875,0.387862
876,0.389017
877,0.391389
878,0.392615
879,0.393195
880,0.393808
881,0.39429
882,0.39467
883,0.396399
884,0.398458
885,0.400062
886,0.400014
887,0.399527
888,0.400623
889,0.401717
890,0.403149
891,0.403801
892,0.405287
893,0.40556
894,0.406646
895,0.407705
896,0.408082
897,0.408757
898,0.410335
899,0.411144
900,0.412198
901,0.41365
902,0.414278
903,0.414793
904,0.41589
905,0.417179
906,0.417559
907,0.418271
908,0.42002
909,0.420874
910,0.421097
911,0.422325
912,0.423348
913,0.424365
914,0.424797
915,0.425872
916,0.427634
917,0.428505
918,0.428998
919,0.429803
920,0.430545
921,0.430712
922,0.431827
923,0.433094
924,0.43348
925,0.434358
926,0.436354
927,0.436941
928,0.437195
929,0.437848
930,0.438596
931,0.44005
932,0.441454
933,0.442353
934,0.44301
935,0.443615
936,0.444344
937,0.445074
938,0.446197
939,0.447624
940,0.448467
941,0.449097
942,0.450073
943,0.450784
944,0.451379
945,0.452667
946,0.453874
947,0.454033
948,0.454475
949,0.455592
950,0.456749
951,0.456801
952,0.458139
953,0.458917
954,0.458856
955,0.459816
956,0.460803
957,0.461749
958,0.462282
959,0.462171
960,0.462708
961,0.463593
962,0.464442
963,0.465873
964,0.466246
965,0.466705
966,0.467295
967,0.466127
968,0.46834
969,0.470605
970,0.470624
971,0.47097
972,0.471981
973,0.472228
974,0.471971
975,0.474791
976,0.475285
977,0.475315
978,0.476138
979,0.4758
980,0.477535
981,0.478772
982,0.480014
983,0.480611
984,0.480256
985,0.48141
986,0.483216
987,0.484627
988,0.484483
989,0.483495
990,0.483453
991,0.486317
992,0.48607
993,0.485281
994,0.48568
995,0.487534
996,0.489808
997,0.490182
998,0.490756
999,0.49148
1000,0.492635
1001,0.500196
1002,0.501635
1003,0.502217
1004,0.502791
1005,0.503513
1006,0.504327
1007,0.504664
1008,0.505069
1009,0.506024
1010,0.507551
1011,0.508663
1012,0.510002
1013,0.511241
1014,0.512211
1015,0.513622
1016,0.514231
1017,0.514818
1018,0.516611
1019,0.517492
1020,0.518207
1021,0.517947
1022,0.51881
1023,0.519776
1024,0.519603
1025,0.52006
1026,0.521957
1027,0.523693
1028,0.524574
1029,0.525156
1030,0.52617
1031,0.526687
1032,0.527698
1033,0.528478
1034,0.528989
1035,0.529355
1036,0.530724
1037,0.5313
1038,0.531309
1039,0.532206
1040,0.533698
1041,0.534775
1042,0.535732
1043,0.537799
1044,0.537857
1045,0.538854
1046,0.53987
1047,0.540525
1048,0.541903
1049,0.542343
1050,0.543322
1051,0.544441
1052,0.545086
1053,0.545401
1054,0.546669
1055,0.54806
1056,0.548561
1057,0.548861
1058,0.549357
1059,0.55072
1060,0.551921
1061,0.552704
1062,0.553596
1063,0.554427
1064,0.5545
1065,0.554589
1066,0.55528
1067,0.556208
1068,0.557084
1069,0.557937
1070,0.559001
1071,0.559527
1072,0.560457
1073,0.560585
1074,0.56069
1075,0.561422
1076,0.563568
1077,0.564822
1078,0.565615
1079,0.566235
1080,0.56583
1081,0.565761
1082,0.566421
1083,0.567247
1084,0.568494
1085,0.569837
1086,0.570483
1087,0.570574
1088,0.570701
1089,0.570295
1090,0.570463
1091,0.572162
1092,0.572912
1093,0.573758
1094,0.574847
1095,0.575775
1096,0.576255
1097,0.576277
1098,0.576419
1099,0.576339
1100,0.577784
1101,0.578593
1102,0.578766
1103,0.579298
1104,0.579919
1105,0.58094
1106,0.581843
1107,0.582339
1108,0.582804
1109,0.582718
1110,0.582494
1111,0.582718
