# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Hydrangea paniculata laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0244732,0.00647713,0.0513169,0.0642582
351,1.93757e-06,1.93756e-06,0.0541637,0.0235803
352,0.0354831,1.87813e-06,0.118096,0.0146731
353,0.0627091,1.90651e-06,0.114982,1.85459e-06
354,0.0801762,0.0431766,0.100332,0.00787091
355,0.10225,0.0791787,0.0869609,0.0700893
356,0.142457,1.79966e-06,0.0867381,0.0563594
357,0.0680638,0.0279178,0.0950477,0.00350696
358,0.0397606,0.0403745,0.101881,1.86284e-06
359,0.0797375,0.00779547,0.10531,0.035855
360,0.0769584,1.84019e-06,0.0785436,0.00472748
361,0.0658306,1.87293e-06,0.0692524,0.020693
362,0.0527072,1.91729e-06,0.077419,0.0514942
363,0.0551518,1.9196e-06,0.120852,0.00662657
364,0.0540857,0.0385662,0.11656,1.91191e-06
365,0.0524931,0.0690282,0.103519,1.91649e-06
366,0.0528762,0.0527415,0.111483,1.88397e-06
367,0.0471087,0.0338962,0.109836,0.0267751
368,0.0519454,0.0211045,0.102832,0.0425229
369,0.0705,0.0169107,0.0915521,0.043815
370,0.0347758,0.0180907,0.08377,0.029389
371,0.03256,0.0109125,0.0920555,0.0214319
372,0.0527052,1.91001e-06,0.109797,0.0168875
373,0.0449031,0.00339597,0.111923,1.91997e-06
374,0.0383691,0.0127043,0.118219,0.000223291
375,0.0371498,0.0185843,0.119409,0.00620983
376,0.0496647,0.00790561,0.100059,0.00582358
377,0.0523927,0.0147449,0.112976,0.0196439
378,0.0474129,0.0182567,0.121265,0.0295248
379,0.0339318,0.0114877,0.112942,0.0308359
380,0.0395463,0.0163031,0.110746,0.0146045
381,0.0416954,0.0110831,0.111059,0.00219823
382,0.0400517,1.92737e-06,0.113238,1.89089e-06
383,0.040106,0.0090648,0.115768,0.0133332
384,0.0443162,0.005276,0.108389,0.0230324
385,0.0467997,1.9166e-06,0.103481,0.0265449
386,0.0361565,0.00649645,0.124522,0.0205103
387,0.043652,0.0156815,0.119248,0.017754
388,0.0499759,0.0209696,0.112869,0.0144194
389,0.0463194,0.0192594,0.117145,0.00858796
390,0.046939,0.0158466,0.118373,0.0107554
391,0.045894,0.0138701,0.117202,0.0198591
392,0.042467,0.0138152,0.114184,0.0335103
393,0.0305695,0.0199392,0.115389,0.0235838
394,0.031101,0.0184235,0.120292,0.0192323
395,0.03824,0.0133689,0.125089,0.0175868
396,0.0436646,0.0116509,0.121486,0.013603
397,0.046609,0.0124426,0.118195,0.0191238
398,0.0486943,0.012117,0.117384,0.0232407
399,0.0506213,0.00814124,0.121215,0.0191029
400,0.050694,0.0109589,0.120455,0.0170173
401,0.0486158,0.00950555,0.121281,0.017777
402,0.0444667,0.0029164,0.124271,0.021207
403,0.0393953,0.00984544,0.12191,0.0193979
404,0.0399646,0.0140157,0.121224,0.0168289
405,0.0430635,0.0157568,0.122155,0.014762
406,0.0411194,0.0144361,0.125888,0.0175059
407,0.0433039,0.0160045,0.122784,0.0204415
408,0.044326,0.0177435,0.118423,0.0228453
409,0.0396243,0.0177513,0.116428,0.0239313
410,0.0436023,0.0134355,0.114781,0.020626
411,0.0462861,0.0142908,0.11509,0.0172042
412,0.0458587,0.0220366,0.117677,0.0144759
413,0.0430489,0.017274,0.117739,0.021366
414,0.0401619,0.0149797,0.117341,0.0229775
415,0.0382666,0.0142842,0.116935,0.0211626
416,0.0427652,0.0116191,0.118434,0.0220287
417,0.0439653,0.014458,0.118439,0.0208021
418,0.0442106,0.0184032,0.11791,0.0201888
419,0.0454543,0.0196188,0.117548,0.0234344
420,0.0446525,0.0145446,0.116536,0.0220152
421,0.0437011,0.011919,0.115564,0.0194585
422,0.0430949,0.0144325,0.114827,0.0165593
423,0.0422127,0.0144121,0.114813,0.0184318
424,0.0437868,0.0146849,0.114341,0.0185904
425,0.0466102,0.0149873,0.113732,0.0176423
426,0.0426279,0.0129123,0.11545,0.020394
427,0.0422511,0.0124462,0.116508,0.0198511
428,0.0432945,0.0124312,0.116932,0.0180334
429,0.0435671,0.011515,0.11641,0.016944
430,0.0440013,0.0130274,0.11667,0.0183149
431,0.044125,0.0146877,0.117119,0.0195542
432,0.0436917,0.0156819,0.11757,0.0196572
433,0.0430855,0.0138413,0.114699,0.0179541
434,0.0443237,0.0128171,0.114219,0.0192656
435,0.0469379,0.0128221,0.11583,0.0229779
436,0.0459102,0.0145281,0.11435,0.0213888
437,0.0441495,0.0140366,0.113982,0.0218901
438,0.0428487,0.0132674,0.114139,0.0228193
439,0.0445782,0.0157097,0.114057,0.021294
440,0.0446639,0.0163153,0.114026,0.019895
441,0.0445272,0.0159067,0.114807,0.0198026
442,0.0448058,0.014527,0.117077,0.0220676
443,0.0442227,0.0156512,0.116568,0.0226668
444,0.044435,0.0169579,0.116195,0.0231126
445,0.0454323,0.0181009,0.11622,0.0235805
446,0.0435323,0.0168897,0.115762,0.0243673
447,0.0429466,0.0169634,0.116471,0.0251031
448,0.0434691,0.017923,0.117561,0.0254064
449,0.045323,0.0193217,0.1172,0.0239197
450,0.0446552,0.0199854,0.118761,0.0248457
451,0.0439877,0.0203946,0.119906,0.026818
452,0.0450713,0.0207783,0.118842,0.0294098
453,0.0452909,0.0209712,0.118343,0.0288775
454,0.0451219,0.0211815,0.11763,0.0293861
455,0.0446251,0.0214428,0.116639,0.0315513
456,0.0438034,0.0217145,0.118721,0.031008
457,0.043991,0.0227293,0.119672,0.0309853
458,0.0447937,0.0238895,0.119747,0.0313356
459,0.0450878,0.022958,0.119359,0.0317301
460,0.0451466,0.0232682,0.120097,0.0329471
461,0.0451395,0.0239094,0.120762,0.034088
462,0.0451851,0.0242169,0.120242,0.0343136
463,0.0452847,0.0252188,0.121537,0.0339766
464,0.0455425,0.025533,0.122195,0.0331832
465,0.0460044,0.0247561,0.121571,0.0319017
466,0.0449934,0.0252629,0.119066,0.0329042
467,0.0451504,0.0268355,0.119043,0.0340694
468,0.046072,0.028699,0.120765,0.0352011
469,0.0459411,0.0268287,0.121149,0.0353283
470,0.0454343,0.0257853,0.1213,0.0357377
471,0.0448514,0.0257102,0.121459,0.0364066
472,0.0445163,0.0273228,0.121937,0.037451
473,0.0451018,0.0281985,0.121866,0.0383599
474,0.0456697,0.0287376,0.121284,0.0387352
475,0.0459282,0.0289953,0.120084,0.0383365
476,0.0461157,0.0298513,0.120936,0.0386
477,0.0461611,0.0299292,0.121578,0.0387277
478,0.046078,0.0295597,0.122072,0.0388875
479,0.0459119,0.0314075,0.123531,0.0405822
480,0.0461563,0.0314987,0.123787,0.0417332
481,0.0466745,0.0315485,0.123409,0.0424648
482,0.0474126,0.0343689,0.122949,0.0427153
483,0.0467596,0.0348639,0.123906,0.0436258
484,0.0463673,0.0350537,0.124912,0.0443582
485,0.0470274,0.0357084,0.125402,0.0445018
486,0.0476298,0.0376828,0.125821,0.0470076
487,0.0475527,0.0389811,0.126129,0.0482062
488,0.0469643,0.039569,0.126348,0.0481549
489,0.0482644,0.0406667,0.126778,0.0505599
490,0.0492948,0.0413966,0.12816,0.0526006
491,0.049869,0.0420396,0.129776,0.0543985
492,0.0492773,0.0431875,0.130204,0.0561025
493,0.0498888,0.0452106,0.131994,0.0582128
494,0.0506949,0.0475772,0.133159,0.0604701
495,0.0512112,0.0501112,0.132395,0.0627813
496,0.0511052,0.0531361,0.134809,0.0649992
497,0.0514891,0.0551652,0.136267,0.0676858
498,0.0524189,0.0561666,0.136365,0.0708333
499,0.0518658,0.0601013,0.137985,0.0729171
500,0.052717,0.0633525,0.139197,0.0756137
501,0.0543936,0.0662978,0.140357,0.0786938
502,0.0558847,0.0698336,0.142488,0.0818633
503,0.0576045,0.0731452,0.144885,0.086672
504,0.0587885,0.0768185,0.147101,0.0910696
505,0.0586704,0.0814542,0.14875,0.0934431
506,0.0602113,0.0853324,0.15133,0.0984607
507,0.0615647,0.0893052,0.153332,0.103457
508,0.0624366,0.0935339,0.154504,0.108009
509,0.0647036,0.0980745,0.156919,0.111796
510,0.0666155,0.10276,0.15947,0.116294
511,0.068478,0.107689,0.161986,0.121339
512,0.0714732,0.113511,0.163828,0.126819
513,0.0740928,0.118313,0.167334,0.131831
514,0.0763159,0.123323,0.171139,0.137221
515,0.0779734,0.129941,0.174135,0.144064
516,0.0805096,0.135936,0.176553,0.148612
517,0.0834824,0.141441,0.179116,0.153428
518,0.0868638,0.146442,0.182031,0.159176
519,0.0895427,0.152385,0.184506,0.164984
520,0.0928844,0.157459,0.187343,0.170519
521,0.0966244,0.162025,0.190471,0.175994
522,0.0995441,0.168016,0.193644,0.18273
523,0.102271,0.173344,0.196003,0.18798
524,0.104919,0.17846,0.198233,0.192475
525,0.107651,0.183939,0.20119,0.196781
526,0.110777,0.188443,0.20303,0.201232
527,0.113728,0.192638,0.204957,0.205417
528,0.116303,0.196712,0.207376,0.209171
529,0.118084,0.200743,0.209262,0.21334
530,0.120286,0.204016,0.211073,0.216653
531,0.122834,0.206701,0.212789,0.219139
