# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Hydrangea paniculata laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0454938,0.0204229,0.0931445,0.0191633
351,0.0458397,0.0178886,0.09134,0.0192299
352,0.0476549,0.0129893,0.0887771,0.021441
353,0.0483233,0.0110249,0.0899179,0.0179655
354,0.0504685,0.00961529,0.0882835,0.0176969
355,0.051533,0.0100641,0.0886654,0.0173913
356,0.0495799,0.014038,0.0955593,0.0148226
357,0.0480614,0.013303,0.0952052,0.0152769
358,0.0463145,0.0128734,0.0946246,0.0155424
359,0.0443015,0.0135836,0.0951228,0.0151268
360,0.0438846,0.0125397,0.0953311,0.0133496
361,0.0437303,0.0113069,0.0941805,0.013384
362,0.0440861,0.0104083,0.0931091,0.014521
363,0.0454522,0.01182,0.0956344,0.0148202
364,0.046218,0.0110528,0.0973342,0.0137371
365,0.046682,0.0101787,0.0983265,0.0127707
366,0.0471548,0.0111849,0.0987483,0.0134613
367,0.0466816,0.0104623,0.0990835,0.014392
368,0.0460057,0.00995384,0.0996423,0.0146648
369,0.0452115,0.010114,0.100363,0.0140002
370,0.0463125,0.0114702,0.100272,0.0148329
371,0.0464863,0.01155,0.101538,0.0159415
372,0.045845,0.0108226,0.10371,0.0169104
373,0.0453072,0.0119033,0.105485,0.0155377
374,0.0457204,0.0121201,0.10641,0.0155999
375,0.0464281,0.0123938,0.107491,0.0163607
376,0.04633,0.0139337,0.109335,0.0171172
377,0.0465543,0.0130077,0.109263,0.0181852
378,0.0468276,0.0123348,0.109686,0.018498
379,0.0467124,0.0127872,0.110682,0.0174207
380,0.0466361,0.0137606,0.111192,0.0179055
381,0.0466422,0.0144608,0.111752,0.0191272
382,0.0465689,0.0147645,0.112155,0.0206427
383,0.0458509,0.0140087,0.112531,0.0195423
384,0.0461934,0.0143679,0.113416,0.0194586
385,0.0469908,0.0152895,0.114679,0.0202493
386,0.0471469,0.0161199,0.115536,0.0221735
387,0.0468123,0.0163026,0.115725,0.022536
388,0.0467131,0.0164565,0.116148,0.0224518
389,0.0469451,0.0167582,0.116537,0.0221715
390,0.0470721,0.0172727,0.117212,0.0225776
391,0.0472525,0.0175175,0.117737,0.0234023
392,0.0475936,0.0175456,0.118336,0.0245524
393,0.047805,0.0180208,0.118492,0.0240651
394,0.0478486,0.0179457,0.118899,0.0240282
395,0.0478018,0.017788,0.119423,0.0242394
396,0.0477826,0.0185596,0.119879,0.0244257
397,0.0476298,0.0192631,0.120213,0.0250244
398,0.0475024,0.0197828,0.120467,0.0253659
399,0.0474758,0.0199796,0.120575,0.0249395
400,0.0479661,0.0203211,0.120789,0.0253722
401,0.0483568,0.0202422,0.120849,0.0255429
402,0.0485761,0.0197102,0.120759,0.025343
403,0.0483508,0.0197876,0.120618,0.0259016
404,0.0484152,0.0201367,0.120911,0.0258982
405,0.0486414,0.0205859,0.121453,0.0256928
406,0.0485126,0.0205967,0.121274,0.0261319
407,0.0485577,0.0203452,0.120927,0.0263064
408,0.0488163,0.020205,0.12058,0.0262655
409,0.0494787,0.0205388,0.120478,0.0259691
410,0.0488201,0.0202158,0.12063,0.0258025
411,0.0487466,0.0201371,0.120885,0.0261119
412,0.0496239,0.0204733,0.121196,0.0269737
413,0.0495503,0.020338,0.120837,0.0267029
414,0.0497064,0.0202586,0.120479,0.0266408
415,0.0498686,0.0202821,0.120003,0.0266119
416,0.049658,0.0209582,0.120391,0.026148
417,0.0496944,0.020978,0.120491,0.0262815
418,0.0499102,0.0208427,0.120387,0.0265231
419,0.0505023,0.0210644,0.12042,0.0264967
420,0.0501564,0.0209419,0.120213,0.0261904
421,0.0499566,0.0207392,0.119886,0.0260774
422,0.0502692,0.0205383,0.11958,0.0263356
423,0.050339,0.0207372,0.119608,0.026551
424,0.0501594,0.0207305,0.119557,0.0264218
425,0.049899,0.0206018,0.119557,0.0260899
426,0.0502646,0.0207908,0.119681,0.026243
427,0.050352,0.020673,0.119479,0.0263802
428,0.0503774,0.0205409,0.119378,0.026427
429,0.0503679,0.0206989,0.119455,0.0260941
430,0.0501894,0.0206539,0.118986,0.0259923
431,0.0501316,0.0206925,0.118769,0.0260983
432,0.0502741,0.0209189,0.119038,0.0264212
433,0.0503047,0.0208907,0.119233,0.0264262
434,0.0502566,0.0209984,0.119204,0.0264571
435,0.0502342,0.0212604,0.119141,0.0265809
436,0.0505188,0.021414,0.119119,0.0269435
437,0.0506033,0.0216293,0.119127,0.0273156
438,0.0505136,0.02182,0.119034,0.0275899
439,0.0503452,0.0218731,0.118884,0.0275882
440,0.050344,0.0222018,0.119075,0.0280482
441,0.0503938,0.0225639,0.119326,0.0286283
442,0.0504043,0.0228336,0.119408,0.0291804
443,0.0505269,0.0232745,0.119432,0.0297755
444,0.0505259,0.0237303,0.119636,0.0302442
445,0.050335,0.0241664,0.1199,0.0305692
446,0.0501823,0.0247489,0.11991,0.0313689
447,0.0502137,0.0251516,0.120038,0.032134
448,0.0502764,0.025466,0.120156,0.0328341
449,0.0502761,0.0260285,0.120628,0.0335514
450,0.0503916,0.0266761,0.121136,0.0341406
451,0.0504464,0.0272485,0.121446,0.0347272
452,0.0502808,0.0276007,0.121287,0.0353955
453,0.050402,0.0279313,0.121188,0.0360047
454,0.050445,0.0282422,0.121297,0.036571
455,0.0503401,0.0285288,0.121601,0.0370879
456,0.0502349,0.0288896,0.121629,0.0375368
457,0.0502045,0.0292055,0.1216,0.038018
458,0.0502348,0.0295051,0.121589,0.0384786
459,0.050194,0.0298293,0.121599,0.0386152
460,0.0501806,0.0299867,0.121578,0.0388628
461,0.050156,0.0301218,0.121554,0.0391381
462,0.0500701,0.0303489,0.121522,0.0393749
463,0.0501158,0.0305732,0.121624,0.0398155
464,0.0501119,0.0308447,0.121741,0.0401373
465,0.0499611,0.0311495,0.121724,0.0402112
466,0.0500609,0.0312927,0.121729,0.0406416
467,0.0500766,0.0315863,0.121895,0.0410654
468,0.0500314,0.0319684,0.122163,0.041474
469,0.0499219,0.0320841,0.122014,0.0417454
470,0.0498945,0.0323831,0.121885,0.0421132
471,0.0499437,0.0328073,0.121948,0.0425631
472,0.0499842,0.0332735,0.12222,0.0430199
473,0.0499674,0.0337164,0.122294,0.0436021
474,0.050021,0.0341762,0.122473,0.0442298
475,0.0501319,0.0346262,0.122703,0.0448297
476,0.0501435,0.0352489,0.12288,0.0454633
477,0.0501396,0.0357002,0.122945,0.0461451
478,0.0501501,0.036054,0.122987,0.0468948
479,0.0502663,0.036833,0.123385,0.0477907
480,0.0503334,0.0375529,0.123795,0.0485517
481,0.0504008,0.0382183,0.124116,0.0493101
482,0.0506092,0.0388455,0.12426,0.0503449
483,0.0504944,0.0395118,0.124339,0.0511805
484,0.0504873,0.0403119,0.124676,0.0521223
485,0.0506431,0.041205,0.125092,0.0531742
486,0.050747,0.0420571,0.125558,0.0543937
487,0.0508562,0.0430191,0.126022,0.0556509
488,0.0510169,0.0441284,0.126599,0.0569888
489,0.0511394,0.0452694,0.127254,0.0584582
490,0.0513203,0.0464639,0.127709,0.0600451
491,0.0515677,0.0477434,0.128183,0.0617514
492,0.0518047,0.0491122,0.128824,0.0635143
493,0.0520138,0.0506996,0.129523,0.0655488
494,0.0523094,0.0523523,0.130316,0.0676713
495,0.0527886,0.0540211,0.13127,0.0698327
496,0.0531711,0.0559853,0.132369,0.0722378
497,0.0534635,0.057962,0.13328,0.0747367
498,0.0537488,0.0600006,0.134154,0.0774148
499,0.0542253,0.0622261,0.135332,0.0803123
