# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Imperata cylindrica laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0775605,0.00586784,0.0609505,0.0037469
351,0.0728321,0.00407941,0.05934,0.00371444
352,0.0645521,0.00367192,0.0551658,0.00560265
353,0.0658292,0.00388484,0.0559923,0.00489794
354,0.0684312,0.00347655,0.0553411,0.00405662
355,0.0703398,0.00274454,0.0548959,0.00215842
356,0.0702472,0.00180184,0.05615,-0.00186531
357,0.0696576,0.00599769,0.055643,-0.00175407
358,0.0684143,0.00635619,0.0545866,-0.000240208
359,0.0666054,0.00147049,0.0532726,0.00223696
360,0.0661475,-0.00202821,0.0544465,0.00291667
361,0.0644398,-0.00273109,0.0539871,0.00123345
362,0.0627308,-0.0015633,0.0526518,-0.00140239
363,0.0643577,-0.000473713,0.0513038,-0.000716087
364,0.0652092,-0.00178676,0.0507507,-0.00154381
365,0.0651725,-0.00299706,0.0505267,-0.0024738
366,0.0639092,-0.00159734,0.05049,-0.00219513
367,0.064219,0.000465406,0.050233,-0.00173131
368,0.0646787,0.00106566,0.0510459,-0.00180301
369,0.06486,-0.000417136,0.0532294,-0.00263448
370,0.0620982,-0.00115138,0.052249,-0.00103285
371,0.0608624,-0.00054393,0.0519503,-0.0010611
372,0.0610064,0.000630408,0.0522355,-0.00206735
373,0.0625204,-0.00171323,0.0528358,-0.000284366
374,0.0634615,-0.00222689,0.0517699,-0.000409712
375,0.0638539,-0.00166192,0.0506897,-0.00123078
376,0.0628741,-0.000459881,0.0513902,-0.00159338
377,0.0615472,-0.000981128,0.0518079,-0.00206376
378,0.0614502,-0.00155333,0.0518636,-0.0018834
379,0.0628708,-0.00167593,0.0510693,-0.000721813
380,0.0608564,-0.00277994,0.0516433,-0.00212182
381,0.0607959,-0.00275442,0.0515536,-0.00272505
382,0.062345,-0.00173619,0.0508137,-0.00248168
383,0.061722,-0.00133271,0.0513995,-0.00213933
384,0.0619125,-0.00122029,0.0519102,-0.00217184
385,0.0625174,-0.00125575,0.0523663,-0.00235484
386,0.062656,-0.00134116,0.052381,-0.00244301
387,0.0630946,-0.00126438,0.0534465,-0.00185295
388,0.063557,-0.00119211,0.0540826,-0.00165115
389,0.0635202,-0.00124322,0.0531615,-0.00247234
390,0.0624446,-0.00117762,0.0525058,-0.00203388
391,0.0619605,-0.00100881,0.0525254,-0.00165953
392,0.0623055,-0.000722622,0.0532797,-0.00145202
393,0.063003,-0.000258496,0.0534628,-0.00150553
394,0.0634788,-0.000282157,0.053854,-0.00132044
395,0.0638195,-0.000545069,0.0543104,-0.00119034
396,0.064145,-0.000668061,0.0545744,-0.00182501
397,0.0646091,-0.000467805,0.0551871,-0.000862212
398,0.0650698,-0.000414485,0.0558004,0.000170351
399,0.0654066,-0.000855393,0.0561789,0.00036504
400,0.0653251,0,0.0568132,0
401,0.0654869,0.000661851,0.0571905,9.21069e-05
402,0.0659664,0.000947123,0.0572747,0.00073493
403,0.0658283,0.000978829,0.0575525,0.000734214
404,0.0667861,0.00114431,0.0580584,0.000969461
405,0.0681962,0.00148273,0.058816,0.00125896
406,0.0680934,0.00222525,0.059842,0.0010358
407,0.0682994,0.00189014,0.0604402,0.000992881
