# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Larix kaempferi laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.080239,-0.104219,0.0583324,0.0711477
351,0.0781855,-0.0851058,0.0730109,0.144019
352,0.116932,-0.0978824,0.0788992,0.0510293
353,0.0638464,-0.00118733,0.153186,-0.00193495
354,2.85977e-06,0.0711243,0.150935,0.000397004
355,2.866e-06,0.088611,0.118496,0.0347593
356,0.0231246,0.045436,0.0873099,0.104047
357,0.111061,0.0322108,0.14089,0.0564675
358,0.130955,0.0424148,0.12812,-0.000715322
359,0.0825921,0.0426146,0.0344936,-0.0739535
360,0.0720508,-0.112164,0.0690601,-0.0751428
361,0.0569668,-0.0982351,0.101049,-0.0762354
362,0.0389141,-0.00159878,0.125703,-0.0595183
363,0.022949,-0.0510612,0.113853,0.0191599
364,0.0393027,-0.0712889,0.103108,0.0386757
365,0.0612712,-0.069167,0.0900237,0.031957
366,0.0666747,-0.0292816,0.0709389,0.00750194
367,0.0573152,-0.0374911,0.0811637,-0.00653983
368,0.0476924,-0.0356004,0.0934261,-0.0301365
369,0.0412921,-0.0114697,0.103124,-0.0686083
370,0.0514799,-0.0306277,0.0887876,-0.0538673
371,0.0576722,-0.0403693,0.0896207,-0.0242387
372,0.0584226,-0.0389488,0.0988708,0.0102845
373,0.0409405,-0.0152492,0.0859895,0.0111447
374,0.0497092,0.0091068,0.089466,-0.00531126
375,0.0627868,0.0257628,0.0987994,-0.0212075
376,0.0548218,0.0234567,0.102978,-0.013187
377,0.0507299,0.0159114,0.109857,-0.0179564
378,0.0492813,0.0197595,0.103345,-0.0145979
379,0.0504636,0.0423638,0.0759196,0.00454587
380,0.03855,-0.00784109,0.0853958,-0.0125432
381,0.0450603,-0.0347187,0.0869333,-0.0163415
382,0.0653169,-0.0359393,0.0825767,-0.00851948
383,0.0517162,-0.0229355,0.110005,-0.017486
384,0.051024,-0.0052078,0.112406,-0.0140453
385,0.056696,0.00603267,0.106779,-0.00612137
386,0.0621658,-0.0108388,0.11648,-0.00372861
387,0.0549407,0.0118106,0.108003,0.00285056
388,0.0511557,0.0153334,0.0977458,0.000364814
389,0.059015,-0.0311155,0.0929753,-0.0198323
390,0.0511279,-0.0172065,0.0989162,-0.00985892
391,0.0446244,-0.00623839,0.104766,-0.00326187
392,0.0421199,-0.00340721,0.109035,-0.00290778
393,0.0609406,-0.00915382,0.105218,-0.00623224
394,0.0604976,-0.00490019,0.0973119,-0.00712103
395,0.0511202,0.00388724,0.0934143,-0.0061929
396,0.0494491,0.00909308,0.114547,-0.00378763
397,0.0536376,-0.00214739,0.117937,-0.00836211
398,0.0552024,-0.013527,0.11158,-0.0119173
399,0.0481366,-0.0161074,0.0966616,-0.0102291
400,0.0442375,-0.0116127,0.0953249,-0.0079043
401,0.0425754,-0.00637554,0.0999459,-0.000536491
402,0.04302,-0.00147339,0.109029,0.0121104
403,0.0502391,0.00225711,0.111827,0.0111894
404,0.0501164,0.00984153,0.110566,0.013761
405,0.046647,0.0162896,0.108456,0.0161824
406,0.0491951,0.00492566,0.114624,0.00726946
407,0.048974,0.0055017,0.108322,-0.000314742
408,0.04784,0.00908524,0.102387,-0.00352475
409,0.0467478,0.0105018,0.106688,0.00214954
410,0.0487803,0.00357963,0.103316,0.00963002
411,0.0489009,0.00312703,0.104543,0.00819401
412,0.046142,0.0119105,0.112688,-0.00422576
413,0.0458645,0.00662241,0.111144,0.00660421
414,0.0463982,0.00505498,0.109435,0.00833707
415,0.0476587,0.0057133,0.108188,0.0044958
416,0.0499667,0.0028782,0.110003,0.00783814
417,0.0501053,0.0117714,0.10914,0.0120567
418,0.048849,0.0184781,0.107712,0.0155726
419,0.0461549,0.00712399,0.107603,0.0164345
420,0.0486919,0.0119615,0.110572,0.0107388
421,0.0498897,0.0162034,0.111035,0.00736066
422,0.0478051,0.0151532,0.107163,0.00886999
423,0.0501459,0.0125199,0.10725,0.00955849
424,0.052049,0.0136386,0.107604,0.0134248
425,0.0532819,0.0172437,0.108642,0.0185465
426,0.0526654,0.0151297,0.114563,0.0116043
427,0.0494491,0.0153413,0.113501,0.0127005
428,0.0459665,0.0157096,0.109148,0.0151648
429,0.0452458,0.013331,0.104609,0.0105671
430,0.0464756,0.0159918,0.106108,0.0127345
431,0.0473442,0.0189209,0.108861,0.0157031
432,0.0468962,0.0203923,0.111323,0.0173179
433,0.0483192,0.0196693,0.106973,0.0152095
434,0.0497076,0.0181274,0.106647,0.0148751
435,0.0508315,0.0164346,0.10995,0.0163773
436,0.0502084,0.0211329,0.108409,0.0179117
437,0.0500577,0.0179961,0.108202,0.0178848
438,0.0499047,0.0138542,0.107957,0.0181996
439,0.0488393,0.021084,0.105003,0.0226989
440,0.0501049,0.0217873,0.105136,0.0192761
441,0.0506646,0.020647,0.106809,0.0165508
442,0.0487489,0.0193637,0.109805,0.0190937
443,0.0489955,0.0229041,0.107245,0.016456
444,0.0488249,0.0233097,0.106219,0.0164345
445,0.0481885,0.0203394,0.107335,0.0194782
446,0.0518101,0.0250946,0.108576,0.0189668
447,0.0514841,0.0260449,0.107161,0.0188273
448,0.0497018,0.0247028,0.105374,0.0189346
449,0.0521461,0.023537,0.109104,0.0191939
450,0.0510698,0.0257412,0.108513,0.018661
451,0.0493616,0.0286488,0.106809,0.0187003
452,0.0487266,0.0307256,0.105689,0.0204904
453,0.0509333,0.0280669,0.107503,0.0210895
454,0.0517565,0.0272538,0.108937,0.0214471
455,0.0505974,0.029311,0.109461,0.0217601
456,0.0531107,0.0281374,0.109904,0.0238452
457,0.0525014,0.0288702,0.109156,0.0243853
458,0.05013,0.030518,0.107727,0.0234965
459,0.0501678,0.0299713,0.107152,0.0207533
460,0.0514172,0.0310293,0.109524,0.0203116
461,0.0517839,0.0314702,0.111306,0.0212915
462,0.0489267,0.0289721,0.109008,0.0235913
