# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Larix kaempferi laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.034333,-0.000498889,0.0945417,-0.0123026
351,0.0349961,-0.00228614,0.095947,-0.0133149
352,0.0357069,-0.00730129,0.0923953,-0.0173254
353,0.0346154,-0.0130516,0.0905123,-0.0175854
354,0.0340085,-0.0129851,0.0874232,-0.0160494
355,0.0345559,-0.0113222,0.0854442,-0.0156327
356,0.0373242,-0.00725052,0.0869491,-0.0152805
357,0.0357168,-0.00879796,0.0859124,-0.0139326
358,0.0360681,-0.0103962,0.0855579,-0.0133573
359,0.0394778,-0.00983425,0.0865567,-0.0123487
360,0.0357702,-0.00872444,0.0900318,-0.0153856
361,0.033437,-0.0111296,0.0887978,-0.0189148
362,0.0326102,-0.0127085,0.0858273,-0.0199382
363,0.0343486,-0.0116197,0.0889801,-0.0220679
364,0.0352421,-0.0118526,0.0890258,-0.0178103
365,0.0357298,-0.0127558,0.0880522,-0.0141668
366,0.0361845,-0.0115707,0.0878525,-0.0153321
367,0.0362098,-0.0120521,0.0857049,-0.0155939
368,0.0349347,-0.012453,0.0841616,-0.0156327
369,0.0319862,-0.013526,0.0837368,-0.0169234
370,0.0346755,-0.0128801,0.0853376,-0.0159553
371,0.0346033,-0.0113554,0.0858171,-0.0145669
372,0.0326786,-0.0101616,0.0852119,-0.0139492
373,0.0345163,-0.00949465,0.0841972,-0.0135011
374,0.0343692,-0.0112294,0.0854337,-0.0145558
375,0.033787,-0.0116513,0.087107,-0.0135804
376,0.0343359,-0.0112329,0.086299,-0.0116019
377,0.0335047,-0.00999004,0.0858718,-0.0125386
378,0.0333124,-0.00728028,0.085813,-0.0106541
379,0.0343071,-0.00829207,0.0855228,-0.00984648
380,0.0347615,-0.00873669,0.0852529,-0.0119338
381,0.0349171,-0.00868768,0.0856637,-0.012238
382,0.0347896,-0.00944564,0.0864721,-0.012262
383,0.0349019,-0.00694944,0.0869226,-0.00987598
384,0.0356398,-0.00710523,0.0873613,-0.00871616
385,0.0361842,-0.00727153,0.087675,-0.00746968
386,0.0346479,-0.00852838,0.0868941,-0.0101876
387,0.0355862,-0.00889248,0.0865437,-0.0104955
388,0.0361741,-0.00691618,0.0870219,-0.00803576
389,0.0347941,-0.00608995,0.0881779,-0.00727238
390,0.0349786,-0.0067919,0.0873835,-0.00875304
391,0.0354513,-0.00679365,0.0870129,-0.00879176
392,0.0361987,-0.00435872,0.0874567,-0.00538053
393,0.0375464,-0.00327516,0.0885423,-0.00322869
394,0.0373288,-0.00281829,0.0890695,-0.00201355
395,0.0365172,-0.0028778,0.089338,-0.00183653
396,0.0369005,-0.00349748,0.0898679,-0.00359747
397,0.0361978,-0.0026695,0.0899924,-0.00336882
398,0.0358204,-0.00144415,0.0901565,-0.00220347
399,0.0367313,-0.000766714,0.0905971,-0.000921955
400,0.0374441,0,0.0912103,0
401,0.0377909,0.00043062,0.0914842,0.000708061
402,0.0377939,0.00068094,0.0913991,0.00145116
403,0.0386333,0.000801724,0.091609,0.00247637
404,0.0382546,0.000952266,0.0917191,0.00298713
405,0.0374363,0.00181876,0.0919611,0.00374867
406,0.0380746,0.00234741,0.0927257,0.0031494
407,0.0382376,0.0023439,0.0927635,0.00347946
408,0.0385165,0.0025102,0.0929137,0.00417645
409,0.0394806,0.00424143,0.0939842,0.0058581
410,0.0400964,0.00491537,0.0942697,0.00671367
411,0.0400882,0.0059219,0.0946003,0.00772782
412,0.0393789,0.00739582,0.0951206,0.00893743
413,0.0396882,0.00733805,0.0946606,0.00886183
414,0.0397692,0.00789821,0.0948234,0.00955698
415,0.0397233,0.00736256,0.0951787,0.00909416
416,0.0405216,0.00747284,0.0951803,0.00948507
417,0.0409108,0.00851438,0.0954835,0.01075
418,0.0411462,0.00905353,0.0957516,0.0115152
419,0.0415465,0.00965395,0.095909,0.0127304
