# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Larix kaempferi laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.047188,0.00113223,0.0581514,-0.00327979
351,0.0488954,7.27656e-06,0.0558846,-0.00143064
352,0.0505784,-0.00238526,0.0536989,-0.00305421
353,0.0469996,-0.00651398,0.0552981,-0.00622715
354,0.0451553,-0.00146841,0.058932,-0.00737285
355,0.043703,0.00131706,0.0600579,-0.0084666
356,0.0419783,-0.00504411,0.0548214,-0.00890737
357,0.0438603,-0.00445325,0.0561143,-0.00747525
358,0.0450738,-0.00399774,0.057324,-0.00705971
359,0.0450109,-0.00402103,0.0574835,-0.00726896
360,0.0470406,-0.00387404,0.056702,-0.0049553
361,0.0460317,-0.00486802,0.0539818,-0.00701964
362,0.0436038,-0.0050965,0.0508508,-0.00975774
363,0.0435922,-0.0059857,0.0515447,-0.00968947
364,0.0438994,-0.00582707,0.0530629,-0.0090439
365,0.0441264,-0.00593476,0.0538127,-0.00843989
366,0.0439954,-0.00621127,0.0520698,-0.00686381
367,0.0446279,-0.00556511,0.054074,-0.00639484
368,0.0448505,-0.00534099,0.0555133,-0.0068089
369,0.044283,-0.00661148,0.0552484,-0.00888214
370,0.0424704,-0.00705681,0.0541896,-0.00852448
371,0.0418244,-0.00593913,0.0535227,-0.00834194
372,0.0421464,-0.00432664,0.0533895,-0.00853339
373,0.0430592,-0.00391915,0.0553853,-0.00556525
374,0.0436953,-0.00618799,0.0539365,-0.0070419
375,0.044114,-0.00748321,0.0522028,-0.00814901
376,0.0439124,-0.00609485,0.0538551,-0.0061663
377,0.0423667,-0.00508923,0.0532276,-0.00668127
378,0.041649,-0.00331666,0.0527322,-0.00581457
379,0.0423257,-0.00369358,0.0528108,-0.00564836
380,0.0422693,-0.00533808,0.0536067,-0.00649576
381,0.0428207,-0.00520856,0.0538369,-0.0070701
382,0.0437813,-0.00439213,0.0534573,-0.00800951
383,0.0438218,-0.0041229,0.0535387,-0.0055697
384,0.0435457,-0.00515762,0.0531094,-0.00475495
385,0.0429635,-0.0056437,0.0528616,-0.00441065
