# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Larix kaempferi laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0502822,0.00827937,0.0614112,0.00204377
351,0.0513342,0.00569108,0.05923,0.00376499
352,0.0518182,0.00101038,0.0539749,0.00293475
353,0.0509279,0.000799704,0.0533202,0.00222891
354,0.0489872,0.00245644,0.0540758,0.000934377
355,0.047049,0.00327764,0.054319,-0.00115134
356,0.046017,0.00291362,0.0527188,-0.0026122
357,0.0459374,0.00228876,0.0517044,0.000519259
358,0.0451632,0.00128555,0.0512361,-9.98018e-05
359,0.0434875,0.000660688,0.0514025,-0.00509857
360,0.0454895,0.001694,0.0509103,-0.0028769
361,0.044623,-0.000322461,0.0509879,-0.00282627
362,0.0426324,-0.00211678,0.0515633,-0.00294343
363,0.0442205,-9.17223e-05,0.0517673,-0.00496406
364,0.0437845,0.000229306,0.0524679,-0.00508411
365,0.0426078,-0.000682185,0.0523426,-0.00465597
366,0.0417022,-0.00154208,0.0498401,-0.00322837
367,0.0437004,-0.000402718,0.0513695,-0.00243285
368,0.0440612,-0.000257969,0.0513488,-0.0032356
369,0.0415238,-0.00258972,0.0482529,-0.00670263
370,0.0424446,-0.00247794,0.0504332,-0.00413527
371,0.0427457,-0.000835533,0.0518784,-0.00268308
372,0.042357,0.00104621,0.0522987,-0.00285665
373,0.041419,-1.43316e-06,0.0506077,-0.00351765
374,0.0418788,-0.00158651,0.0505489,-0.00441442
375,0.04263,-0.0019663,0.050825,-0.0039617
376,0.0419881,-0.00174702,0.0494252,-0.00295645
377,0.0426249,-0.00160801,0.0493535,-0.0027149
378,0.04296,-0.000180578,0.0502456,-0.00112675
379,0.0420766,-7.02249e-05,0.0517806,-0.000620507
380,0.0412086,-0.0011408,0.0511996,-0.00308518
381,0.0415947,-0.00127838,0.0508447,-0.00364928
382,0.042952,-0.0013744,0.0507225,-0.003198
383,0.0437284,-0.00118236,0.050836,-0.0020105
