# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance spectrum of Larix kaempferi trunk.
#wl,R
350,0.0964305
351,0.0960806
352,0.0951733
353,0.0941556
354,0.0936071
355,0.0935087
356,0.0944182
357,0.094551
358,0.09404
359,0.0930709
360,0.095175
361,0.0950979
362,0.0940491
363,0.093768
364,0.0940608
365,0.0947165
366,0.0960557
367,0.0965799
368,0.096165
369,0.0945498
370,0.0957869
371,0.0974095
372,0.0988594
373,0.0980403
374,0.0999867
375,0.102601
376,0.102647
377,0.102616
378,0.103514
379,0.105066
380,0.10545
381,0.105965
382,0.10657
383,0.108533
384,0.109417
385,0.11016
386,0.111533
387,0.112315
388,0.113354
389,0.114398
390,0.115572
391,0.116998
392,0.11888
393,0.119778
394,0.120927
395,0.121994
396,0.122214
397,0.122759
398,0.123579
399,0.124684
400,0.125935
401,0.126998
402,0.127856
403,0.128019
404,0.1287
405,0.129692
406,0.129979
407,0.130637
408,0.131288
409,0.13179
410,0.13217
411,0.132463
412,0.132653
413,0.133305
414,0.133847
415,0.134039
416,0.134413
417,0.135049
418,0.135527
419,0.135737
420,0.135964
421,0.136213
422,0.136631
423,0.137016
424,0.137201
425,0.13735
426,0.137494
427,0.137741
428,0.138128
429,0.138136
430,0.13822
431,0.138562
432,0.13915
433,0.139288
434,0.139304
435,0.139446
436,0.139949
437,0.140309
438,0.140456
439,0.140564
440,0.140676
441,0.140912
442,0.141251
443,0.14147
444,0.141805
445,0.142125
446,0.142416
447,0.142821
448,0.143093
449,0.143308
450,0.143694
451,0.143969
452,0.143864
453,0.144105
454,0.144474
455,0.144896
456,0.145171
457,0.145237
458,0.145254
459,0.145458
460,0.145661
461,0.145894
462,0.146172
463,0.14644
464,0.146624
465,0.146549
466,0.146738
467,0.147076
468,0.147507
469,0.147505
470,0.147593
471,0.147857
472,0.148151
473,0.148452
474,0.148735
475,0.148783
476,0.148987
477,0.149166
478,0.149367
479,0.149643
480,0.150108
481,0.150507
482,0.150537
483,0.150598
484,0.150934
485,0.151252
486,0.151682
487,0.152031
488,0.152425
489,0.152767
490,0.153095
491,0.153529
492,0.153983
493,0.154356
494,0.154749
495,0.155236
496,0.1559
497,0.156411
498,0.156939
499,0.157458
500,0.158077
501,0.158715
502,0.159189
503,0.159678
504,0.160332
505,0.161098
506,0.161823
507,0.162478
508,0.163094
509,0.163755
510,0.1644
511,0.165319
512,0.166106
513,0.166851
514,0.167568
515,0.168187
516,0.168866
517,0.169635
518,0.170416
519,0.171136
520,0.171851
521,0.172484
522,0.173099
523,0.17381
524,0.174478
525,0.175018
526,0.175535
527,0.176143
528,0.176769
529,0.177448
530,0.177994
531,0.178364
532,0.178823
533,0.179316
534,0.179727
535,0.180218
536,0.180687
537,0.181181
538,0.181787
539,0.182233
540,0.182628
541,0.183056
542,0.183447
543,0.183752
544,0.184112
545,0.184565
546,0.18507
547,0.185468
548,0.18579
549,0.186154
550,0.186751
551,0.186998
552,0.187391
553,0.187825
554,0.188156
555,0.188405
556,0.188544
557,0.188829
558,0.189131
559,0.189278
560,0.18941
561,0.189608
562,0.189688
563,0.189805
564,0.189882
565,0.189982
566,0.190078
567,0.190348
568,0.190523
569,0.190565
570,0.190638
571,0.190777
572,0.190847
573,0.190953
574,0.19097
575,0.191184
576,0.191319
577,0.19135
578,0.191355
579,0.191498
580,0.191647
581,0.19181
582,0.191922
583,0.192059
584,0.192345
585,0.192578
586,0.192585
587,0.192623
588,0.192988
589,0.19323
590,0.193446
591,0.193576
592,0.193683
593,0.19377
594,0.194035
595,0.194235
596,0.194437
597,0.194603
598,0.194647
599,0.194945
600,0.195039
601,0.195155
602,0.195477
603,0.195516
604,0.195591
605,0.195803
606,0.196011
607,0.196265
608,0.196387
609,0.196388
610,0.196467
611,0.196634
612,0.196691
613,0.196782
614,0.196901
615,0.196907
616,0.197015
617,0.197257
618,0.197481
619,0.197666
