# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance spectrum of Magnolia obovata trunk.
#wl,R
350,0.112804
351,0.113211
352,0.107891
353,0.104467
354,0.103849
355,0.107545
356,0.11905
357,0.113829
358,0.105263
359,0.106963
360,0.113347
361,0.114076
362,0.110474
363,0.108012
364,0.109371
365,0.111387
366,0.111747
367,0.108939
368,0.110697
369,0.112715
370,0.111945
371,0.112668
372,0.11477
373,0.116602
374,0.11649
375,0.116794
376,0.116336
377,0.115378
378,0.116507
379,0.11746
380,0.118778
381,0.120646
382,0.120037
383,0.119387
384,0.119476
385,0.120919
386,0.121369
387,0.121319
388,0.121639
389,0.122685
390,0.122961
391,0.123461
392,0.124907
393,0.124795
394,0.125447
395,0.126725
396,0.127009
397,0.12735
398,0.127657
399,0.127638
400,0.126932
401,0.127851
402,0.129352
403,0.129893
404,0.13118
405,0.131668
406,0.131339
407,0.132084
408,0.133206
409,0.133367
410,0.132495
411,0.134474
412,0.13487
413,0.134599
414,0.135924
415,0.136482
416,0.136622
417,0.136769
418,0.136868
419,0.137373
420,0.138435
421,0.13962
422,0.139341
423,0.139454
424,0.140087
425,0.140848
426,0.14148
427,0.141761
428,0.142168
429,0.142426
430,0.142652
431,0.142989
432,0.143247
433,0.144162
434,0.144881
435,0.145219
436,0.145318
437,0.146333
438,0.146857
439,0.146492
440,0.147414
441,0.148153
442,0.14841
443,0.14867
444,0.149321
445,0.150009
446,0.150544
447,0.150729
448,0.151169
449,0.151909
450,0.152556
451,0.153002
452,0.153284
453,0.153791
454,0.154044
455,0.154748
456,0.155307
457,0.155365
458,0.155964
459,0.15639
460,0.156774
461,0.157342
462,0.157782
463,0.158241
464,0.15877
465,0.15913
466,0.159625
467,0.160293
468,0.160995
469,0.160985
470,0.161149
471,0.161695
472,0.162437
473,0.162929
474,0.163386
475,0.163716
476,0.164074
477,0.164439
478,0.164897
479,0.165544
480,0.166147
481,0.166479
482,0.166487
483,0.166692
484,0.1672
485,0.167593
486,0.168048
487,0.168467
488,0.169002
489,0.169584
490,0.17008
491,0.17046
492,0.170844
493,0.171348
494,0.171863
495,0.172346
496,0.172803
497,0.17317
498,0.173641
499,0.174203
500,0.174834
501,0.1754
502,0.175812
503,0.176225
504,0.176831
505,0.177625
506,0.17825
507,0.178818
508,0.179292
509,0.179757
510,0.180297
511,0.181171
512,0.181786
513,0.182317
514,0.182919
515,0.183649
516,0.184247
517,0.184996
518,0.185845
519,0.186595
520,0.187124
521,0.187591
522,0.188349
523,0.189322
524,0.190146
525,0.190733
526,0.191375
527,0.192283
528,0.193212
529,0.194072
530,0.194896
531,0.195496
532,0.196164
533,0.197145
534,0.197844
535,0.198674
536,0.199682
537,0.200539
538,0.201446
539,0.202321
540,0.203261
541,0.203951
542,0.20466
543,0.205448
544,0.206153
545,0.206994
546,0.207905
547,0.208656
548,0.209377
549,0.210132
550,0.211149
551,0.211747
552,0.212486
553,0.213328
554,0.214105
555,0.214589
556,0.215105
557,0.215821
558,0.216398
559,0.216962
560,0.217476
561,0.217973
562,0.218349
563,0.21881
564,0.219249
565,0.219674
566,0.22004
567,0.220596
568,0.221073
569,0.221445
570,0.221786
571,0.2222
572,0.222624
573,0.223047
574,0.223279
575,0.223714
576,0.224038
577,0.224264
578,0.224555
579,0.22506
580,0.225513
581,0.225993
582,0.226377
583,0.226694
584,0.22735
585,0.227891
586,0.228125
587,0.228503
588,0.229249
589,0.229746
590,0.230166
591,0.230599
592,0.230987
593,0.231254
594,0.23173
595,0.232296
596,0.232867
597,0.233384
598,0.233656
599,0.234254
600,0.234616
601,0.234928
602,0.235612
603,0.235975
604,0.23636
605,0.236904
606,0.237465
607,0.238027
608,0.238374
609,0.238705
610,0.239187
611,0.239719
612,0.240004
613,0.240396
614,0.240814
615,0.241057
616,0.24137
617,0.241853
618,0.24236
619,0.242877
620,0.243323
621,0.243796
622,0.244373
623,0.244966
624,0.245431
625,0.2459
626,0.246419
627,0.24691
628,0.24752
629,0.248181
630,0.248652
631,0.249137
632,0.249489
633,0.249838
634,0.250765
635,0.251255
636,0.251607
637,0.252009
638,0.252022
639,0.251954
640,0.252127
641,0.252187
642,0.252275
643,0.252279
644,0.252433
645,0.252481
646,0.252572
647,0.252802
648,0.25296
649,0.253099
650,0.253551
651,0.253911
652,0.254487
653,0.255084
654,0.255457
655,0.256257
656,0.257069
657,0.257365
658,0.257445
659,0.257564
660,0.257623
661,0.25781
662,0.258083
663,0.258167
664,0.258112
665,0.258223
666,0.258426
667,0.258702
668,0.258952
669,0.259242
670,0.259572
671,0.259986
672,0.260401
673,0.260884
674,0.261356
675,0.261936
676,0.262499
677,0.263227
678,0.263939
679,0.264778
680,0.26549
681,0.266203
682,0.267191
683,0.268522
684,0.270129
685,0.271805
686,0.273496
687,0.275758
688,0.278578
689,0.281527
690,0.284473
691,0.287736
692,0.291351
693,0.294821
694,0.298287
695,0.301649
696,0.305107
697,0.308222
698,0.311233
699,0.314362
700,0.317472
701,0.320279
702,0.32262
703,0.325439
704,0.32805
705,0.329972
706,0.332225
707,0.334688
708,0.336814
709,0.338594
710,0.340468
711,0.342529
712,0.344426
713,0.346091
714,0.347957
715,0.349596
716,0.351443
717,0.35367
718,0.355086
719,0.356306
720,0.358196
721,0.359931
722,0.361616
723,0.362998
724,0.364437
725,0.366434
726,0.36836
727,0.370187
728,0.371325
729,0.372784
730,0.374253
731,0.375778
732,0.377245
733,0.378662
734,0.380447
735,0.381782
736,0.383177
737,0.384831
738,0.386542
739,0.387999
740,0.389118
741,0.390282
742,0.39217
743,0.393401
744,0.394215
745,0.395326
746,0.396917
747,0.398498
748,0.399486
749,0.401112
750,0.402146
751,0.403161
752,0.404668
753,0.405937
754,0.407487
755,0.409136
756,0.410152
757,0.411124
758,0.412679
759,0.41415
760,0.415034
761,0.415986
762,0.417276
763,0.418527
764,0.41985
765,0.421273
766,0.421942
767,0.423406
768,0.425637
769,0.426761
770,0.426618
771,0.427817
772,0.42968
773,0.4309
774,0.43213
775,0.433596
776,0.434831
777,0.436045
778,0.437056
779,0.438465
780,0.440084
781,0.44171
782,0.442154
783,0.443544
784,0.445354
785,0.446771
786,0.447285
787,0.448284
788,0.449927
789,0.451586
790,0.452766
791,0.453239
792,0.454029
793,0.455183
794,0.456838
795,0.458265
796,0.459553
797,0.46113
798,0.461791
799,0.462566
800,0.464607
801,0.465711
802,0.466749
803,0.468888
804,0.469912
805,0.470719
806,0.471563
807,0.472884
808,0.474679
809,0.475398
810,0.476411
811,0.477714
812,0.478789
813,0.479833
814,0.481384
815,0.483265
816,0.484058
817,0.484525
818,0.486092
819,0.486989
820,0.487534
821,0.48836
822,0.489602
823,0.490441
824,0.492154
825,0.493231
826,0.494406
827,0.495529
828,0.496252
829,0.497728
830,0.499095
831,0.499503
832,0.50049
833,0.501765
834,0.502793
835,0.50394
836,0.505196
837,0.505686
838,0.506915
839,0.507424
840,0.506986
841,0.5086
842,0.510748
843,0.511232
844,0.512366
845,0.513983
846,0.514562
847,0.514718
848,0.51597
849,0.517243
850,0.518152
851,0.519758
852,0.520746
853,0.520785
854,0.522553
855,0.522572
856,0.523205
857,0.525158
858,0.526103
859,0.526469
860,0.526143
861,0.52874
862,0.53033
863,0.53057
864,0.532445
865,0.530919
866,0.531977
867,0.534601
868,0.536111
869,0.536347
870,0.536178
871,0.536869
872,0.538931
873,0.540651
874,0.538892
875,0.537519
876,0.53877
877,0.541502
878,0.542852
879,0.543358
880,0.54369
881,0.543923
882,0.543878
883,0.545562
884,0.547726
885,0.549502
886,0.54904
887,0.54784
888,0.548643
889,0.549679
890,0.551292
891,0.551739
892,0.553036
893,0.552704
894,0.55349
895,0.554305
896,0.554551
897,0.554692
898,0.556121
899,0.55691
900,0.557342
901,0.558689
902,0.55914
903,0.559246
904,0.560076
905,0.560998
906,0.560802
907,0.56136
908,0.562915
909,0.563337
910,0.562811
911,0.56328
912,0.564493
913,0.565165
914,0.564646
915,0.565707
916,0.567287
917,0.567669
918,0.567801
919,0.568528
920,0.568424
921,0.567822
922,0.568916
923,0.569793
924,0.569565
925,0.569906
926,0.571684
927,0.571935
928,0.571528
