# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Miscanthus sinensis laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0316425,1.93041e-06,0.07968,1.89052e-06
351,0.0408933,1.90107e-06,0.106308,1.84268e-06
352,0.0481977,0.00401998,0.121412,1.76886e-06
353,0.0202845,0.0148974,0.0656702,0.00788172
354,0.0043421,0.031351,0.119106,0.00540077
355,0.0190712,0.0302611,0.156159,0.0044604
356,0.0822473,1.87444e-06,0.0837673,0.0171039
357,0.107281,0.0163145,0.07373,0.0173833
358,0.0843064,0.0287943,0.0732724,0.00218245
359,0.0103812,0.0210853,0.0736528,1.85951e-06
360,0.0496366,1.86455e-06,0.10829,0.00540956
361,0.0737956,1.86839e-06,0.103601,0.00652052
362,0.0841923,1.91346e-06,0.0814684,1.91379e-06
363,0.0660804,0.00630193,0.0889596,1.91407e-06
364,0.0818388,0.0165087,0.0873085,0.00398432
365,0.0910239,0.0156193,0.0823054,0.0362377
366,0.0548432,1.92465e-06,0.078178,0.0124786
367,0.0542109,1.92273e-06,0.072554,0.0120623
368,0.0476788,1.92156e-06,0.0636175,0.0135238
369,0.0265807,0.0121483,0.049907,0.0123738
370,0.0443212,0.0183758,0.0524636,1.90166e-06
371,0.0530383,0.0121413,0.0708177,1.89331e-06
372,0.0558137,0.000462795,0.0948771,1.88858e-06
373,0.071315,0.0158613,0.0854417,0.00513163
374,0.0713247,0.0113703,0.0774088,0.0108657
375,0.0617774,0.000882113,0.0727623,0.0105848
376,0.0434588,1.93276e-06,0.0760887,0.00119972
377,0.0478426,0.0104041,0.0605301,1.91141e-06
378,0.0543254,0.0148163,0.0575676,1.91042e-06
379,0.0565055,0.0052875,0.0786496,1.90624e-06
380,0.0531598,0.00454194,0.0685407,0.00321819
381,0.0531112,0.000934091,0.0654233,0.00739318
382,0.05564,1.9196e-06,0.0701398,0.00250042
383,0.0524689,1.92358e-06,0.0750072,1.91092e-06
384,0.0541092,0.00771406,0.0764232,1.90396e-06
385,0.0582646,0.0124737,0.0750508,0.00758304
386,0.0632146,0.00212688,0.0698684,0.00493377
387,0.0612802,0.00430194,0.0699369,1.92933e-06
388,0.0548766,0.00481602,0.0711712,1.92735e-06
389,0.0441474,1.92721e-06,0.0719753,9.95632e-05
390,0.049097,1.93326e-06,0.0770861,0.0076103
391,0.0550858,1.93084e-06,0.0783149,0.00792541
392,0.0603837,0.000451274,0.0752038,0.0014853
393,0.0600025,0.0108045,0.069346,1.9269e-06
394,0.060746,0.010955,0.0726258,0.00173113
395,0.0609673,0.00585558,0.0793462,0.00405147
396,0.0565877,0.00281477,0.0788609,1.92942e-06
397,0.0588721,0.00464259,0.0798182,0.00258686
398,0.0619428,0.00640201,0.0794947,0.00588968
399,0.0625569,0.00514738,0.0758094,0.00415983
400,0.0641926,0.00540364,0.0733639,0.00623847
401,0.0639783,0.0062537,0.07468,0.0048725
402,0.0617243,0.00747877,0.0796273,1.93509e-06
403,0.0627451,0.00470997,0.0740443,0.00188407
404,0.0621856,0.00478903,0.0753704,0.00188381
405,0.0609155,0.00558227,0.079848,0.000540744
406,0.0609753,0.0010985,0.0786067,1.93015e-06
407,0.0656042,0.00111058,0.0789207,0.000874468
408,0.0687109,0.00268156,0.0792422,0.00335866
409,0.0650463,0.00434092,0.0784029,0.00809927
410,0.0633827,0.00428401,0.0818315,0.00575992
411,0.0634511,0.00478236,0.0838733,0.0034086
412,0.0652176,0.00626023,0.0834732,0.00235301
413,0.069594,0.00708619,0.0841946,1.93989e-06
414,0.0693001,0.00714374,0.0841173,0.00105777
415,0.0666008,0.00645126,0.0842548,0.00508942
416,0.0700633,0.00445535,0.0894754,0.00323397
417,0.0710479,0.00446927,0.0892128,0.00371263
418,0.0715319,0.00498686,0.086922,0.00455444
419,0.0733492,0.00469656,0.0850382,0.00386788
420,0.0707179,0.00407913,0.0874142,0.00374616
421,0.0702422,0.00445127,0.089401,0.00405258
422,0.0739894,0.00629854,0.0897044,0.00479942
423,0.0742479,0.0075985,0.0930435,0.00477523
424,0.0757124,0.00733411,0.0945408,0.00461297
425,0.0775282,0.00588754,0.0945372,0.00451077
426,0.0729522,0.00527714,0.0952505,0.00577165
427,0.0737543,0.00663794,0.0953855,0.00481821
428,0.0755212,0.00820946,0.0956091,0.00388197
429,0.0726526,0.00766939,0.0969109,0.00609308
430,0.0768289,0.00632137,0.0973874,0.00617169
431,0.0795876,0.00604526,0.0976285,0.00596788
432,0.0774196,0.00779803,0.09781,0.00612676
433,0.0784488,0.00873517,0.0971394,0.0071736
434,0.0795773,0.00899326,0.097021,0.00697529
435,0.080387,0.00862401,0.097309,0.00566262
436,0.0781959,0.00748134,0.0957557,0.00509389
437,0.0792778,0.00788077,0.0958013,0.00588994
438,0.0814453,0.00880267,0.096861,0.00703079
439,0.0812989,0.00865172,0.0985363,0.00680899
440,0.080577,0.00878413,0.100105,0.00680959
441,0.0805432,0.00902527,0.101059,0.0064772
442,0.0820697,0.00932895,0.100948,0.00540563
443,0.0835009,0.0100534,0.100353,0.00592689
444,0.0849406,0.0100313,0.100427,0.00643281
445,0.0862808,0.00926394,0.101228,0.00676098
446,0.0846877,0.0100556,0.101795,0.00698042
447,0.083731,0.0106475,0.102952,0.0076514
448,0.0832344,0.0110231,0.10421,0.00840631
449,0.0829955,0.0109848,0.104352,0.00829983
450,0.0833094,0.0107945,0.103783,0.008383
451,0.0841885,0.0107951,0.103558,0.00850252
452,0.0859112,0.0113124,0.10457,0.00857406
453,0.0863148,0.0120809,0.105329,0.00953998
454,0.0862942,0.0123123,0.105813,0.0100319
455,0.0859872,0.0118927,0.106016,0.00983122
456,0.085884,0.0123867,0.106063,0.00966794
457,0.0863888,0.0128832,0.106275,0.00977216
458,0.0870368,0.0132604,0.106627,0.0100756
459,0.0861022,0.0129678,0.107118,0.0104283
460,0.0863706,0.0134193,0.107329,0.0107994
461,0.0872952,0.0141114,0.10785,0.0110168
462,0.0887047,0.0147082,0.109369,0.0108508
463,0.088954,0.0148584,0.109463,0.010974
464,0.0882135,0.014678,0.108665,0.0111859
465,0.0863992,0.0141573,0.106996,0.0114486
466,0.0873336,0.0148883,0.108507,0.0117859
467,0.0880251,0.0150406,0.108877,0.0121441
468,0.0884802,0.0148001,0.108543,0.0124985
469,0.0887593,0.015029,0.109618,0.0127263
470,0.0895954,0.0155861,0.110075,0.0122976
471,0.0904612,0.0164082,0.109885,0.0121385
472,0.0907356,0.0175682,0.108645,0.0135459
473,0.0899823,0.0172612,0.110938,0.0138068
