# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Miscanthus sinensis laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0716928,0.00458639,0.0820164,0.00957027
351,0.0700881,0.00361193,0.0807698,0.00724655
352,0.0657617,0.00337561,0.0797218,0.00433226
353,0.065599,0.00602301,0.0764282,0.00389143
354,0.06342,0.00669599,0.0774175,0.00413889
355,0.0612592,0.00672982,0.0797527,0.00419399
356,0.0607435,0.00685018,0.0822748,0.00337983
357,0.0638424,0.00582359,0.079175,0.0051288
358,0.0649423,0.00453701,0.0765578,0.00622753
359,0.0632627,0.00312994,0.07553,0.00617478
360,0.0631024,0.00289152,0.0757424,0.00582845
361,0.0621295,0.00367625,0.0752655,0.00505473
362,0.0611795,0.00484566,0.074721,0.00414375
363,0.0621049,0.00432232,0.0748166,0.00391551
364,0.060907,0.00350614,0.0747271,0.00335063
365,0.0591388,0.0027287,0.0743507,0.00199539
366,0.0581897,0.00230569,0.0736821,1.88759e-06
367,0.0588693,0.00410538,0.0740489,0.00164234
368,0.0597533,0.00532314,0.0748744,0.00387309
369,0.0604367,0.00525266,0.0759429,0.0042059
370,0.0586453,0.00642941,0.0744963,0.00206458
371,0.058774,0.00554553,0.0739241,0.00162343
372,0.0601231,0.00322369,0.0738515,0.00245632
373,0.0593707,0.00254814,0.0726413,0.00238444
374,0.0586318,0.00276114,0.0719711,0.00213224
375,0.05814,0.00337189,0.0721725,0.00194096
376,0.0578338,0.00394081,0.0736036,0.00215194
377,0.0586718,0.00450776,0.0735535,0.00327132
378,0.0591975,0.00393986,0.0732071,0.00377949
379,0.0584119,0.0016093,0.0723475,0.00302515
380,0.0587094,0.00377775,0.0718114,0.00268096
381,0.0588327,0.00468626,0.0722709,0.00253232
382,0.0586041,0.00416238,0.0733119,0.0023889
383,0.0581934,0.00299449,0.0727947,0.000675016
384,0.0587667,0.00262578,0.0727058,0.00177197
385,0.0594466,0.0026518,0.0728751,0.00350984
386,0.0583013,0.00261087,0.0726223,0.00250595
387,0.0589174,0.00261196,0.0714947,0.00327298
388,0.0597939,0.00258928,0.0712896,0.00385459
389,0.0599371,0.00248455,0.072609,0.00328211
390,0.0588186,0.00287658,0.0738587,0.00230164
391,0.0587557,0.00279078,0.0739208,0.00204443
