# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Miscanthus sinensis laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0600224,0.0183616,0.0954509,0.0101788
351,0.0596739,0.0160623,0.0951391,0.00982812
352,0.0573053,0.0142614,0.0926734,0.00567121
353,0.0591497,0.0127603,0.0893344,0.00340112
354,0.0578955,0.0118168,0.0919064,0.00457278
355,0.0568953,0.0128924,0.0948743,0.00600597
356,0.0587914,0.0178648,0.0950425,0.0056497
357,0.0554501,0.0142866,0.0942753,0.00388649
358,0.0534241,0.0115767,0.0917422,0.0036247
359,0.0538899,0.0112498,0.0874398,0.00535211
360,0.0571992,0.0124082,0.0874268,0.00807467
361,0.0577338,0.0110212,0.0871419,0.00610414
362,0.0569699,0.00889437,0.0874063,0.00208034
363,0.0581611,0.0119029,0.090053,0.00392776
364,0.057432,0.0123356,0.0891466,0.00491143
365,0.0561603,0.0114502,0.0873947,0.00529151
366,0.0555612,0.00981358,0.0872529,0.0050493
367,0.0565781,0.00713129,0.0848323,0.0050073
368,0.0576722,0.00660315,0.0833045,0.00539021
369,0.0584054,0.00913039,0.08334,0.0062749
370,0.056807,0.00824228,0.0827141,0.00533585
371,0.0568266,0.00840613,0.0836514,0.00556914
372,0.0579242,0.00914971,0.0855436,0.00658646
373,0.0577167,0.00747787,0.0860623,0.00631972
374,0.0558877,0.00747133,0.0853245,0.00487166
375,0.054277,0.00793763,0.0843812,0.00361935
376,0.0550323,0.00745803,0.0837904,0.00451094
377,0.0544015,0.00732215,0.0839408,0.00356742
378,0.0545137,0.00722307,0.0839364,0.00297672
379,0.0558106,0.00700525,0.082798,0.00351638
380,0.0565234,0.00669624,0.0839774,0.00459633
381,0.0558567,0.00678722,0.0850432,0.00460585
382,0.0540012,0.00725273,0.0856601,0.00366985
383,0.0534929,0.00804433,0.0857081,0.0032539
384,0.05396,0.00758957,0.085067,0.00428795
385,0.0546393,0.00683785,0.0844521,0.00541819
386,0.0539171,0.00720117,0.0844866,0.00428402
387,0.053447,0.00683208,0.0853628,0.00421634
