# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Oryza sativa laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0562174,0.0520215,0.179169,-0.0101501
351,0.0584943,0.00556479,0.20357,-0.0101501
352,0.0911975,0.0210798,0.159012,-0.0101502
353,0.126048,0.122402,0.155068,0.0795371
354,0.0334413,0.0944768,0.15415,0.0352163
355,2.00659e-06,0.0183853,0.142182,-0.0101501
356,0.084928,-0.0262018,0.107461,-0.0101501
357,0.0397828,0.0163366,0.0913331,-0.01015
358,0.0108187,0.0289592,0.0874224,-0.01015
359,0.0252447,-0.0152184,0.094352,-0.0101501
360,0.0472989,-0.00403052,0.0926923,-0.00986718
361,0.0422128,-0.00902208,0.0861583,0.0116042
362,0.0259484,-0.0243707,0.0738117,0.032068
363,0.035309,-0.0262017,0.0499671,0.00734269
364,0.0529012,-0.0165699,0.0630656,-0.00287323
365,0.0629177,0.0132175,0.081879,-0.01015
366,0.0479057,0.0280115,0.0810516,-0.01015
367,0.0336796,0.0211329,0.0697507,-0.01015
368,0.0298336,0.00393888,0.060849,-0.00714834
369,0.0389387,-0.021762,0.0567744,0.000548512
370,0.0248715,-0.00168421,0.0368923,0.00372211
371,0.0267764,-0.000354656,0.0482126,-0.01015
372,0.0382498,-0.0109179,0.0756364,-0.01015
373,0.0263142,0.0037049,0.0486622,-0.01015
374,0.0241587,0.0087529,0.0447625,-0.00404472
375,0.0300074,0.00787293,0.0518169,0.00927663
376,0.0463016,0.00147455,0.060109,0.007045
377,0.033007,0.00364384,0.0565919,-0.0100494
378,0.0275741,-0.000255627,0.0589031,-0.01015
379,0.0434155,-0.0162317,0.073367,-0.01015
380,0.0404265,-0.00700466,0.0547851,-0.01015
381,0.0399217,0.00643543,0.0516239,-0.00553551
382,0.0418923,0.0183867,0.0625019,0.00443305
383,0.0356947,-0.00949659,0.0598354,0.00623668
384,0.0297211,-0.0142002,0.0449423,0.0029159
385,0.0251248,-0.00754116,0.0318372,-0.0037046
386,0.0248686,-0.00196303,0.0456467,-0.01015
387,0.0253194,-0.0033877,0.0508237,-0.01015
388,0.0268025,-0.00547418,0.0499534,-0.0066059
389,0.0297218,-0.00543385,0.0428329,0.0113025
390,0.0411901,-0.0107805,0.0423579,0.00762756
391,0.0440697,-0.00756805,0.043253,0.0028355
392,0.0382278,0.00312407,0.0450537,-0.00123513
393,0.0375604,-0.00576757,0.0488373,-0.00332653
394,0.0314891,-0.00591083,0.0517416,-0.00446247
395,0.0260733,-0.00248167,0.0533833,-0.00473133
396,0.0357373,-0.00469067,0.0518495,-0.00373914
397,0.0376096,-0.0043198,0.0496383,0.0013827
398,0.0362213,-0.00211275,0.0477743,0.00297217
399,0.0331123,0.0020835,0.0469254,-0.00472453
400,0.0378941,-0.000162756,0.0515808,-0.00335909
401,0.0383581,0.0015272,0.0531886,-0.00165076
402,0.0333045,0.0078716,0.0509958,-0.000660468
403,0.0329123,-0.000200315,0.0529869,-0.000279782
404,0.0368903,-0.00242728,0.0532496,-0.000266175
405,0.0427516,-0.000559384,0.0524656,0.000380221
406,0.0445847,0.0029959,0.0519431,0.00519723
407,0.0406338,0.005761,0.0490237,0.00305217
408,0.0381611,0.00783917,0.0470597,0.000143644
409,0.0433855,0.00898359,0.0490461,0.000796
410,0.0428593,0.00679491,0.0522867,0.00404758
411,0.0441079,0.00665349,0.0544456,0.00639083
412,0.0485237,0.00955704,0.0550774,0.00719107
413,0.0442899,0.00525303,0.0545088,0.00503389
414,0.0437383,0.00476333,0.0540168,0.00588474
415,0.0457942,0.00646806,0.0541001,0.00807445
416,0.047095,0.00435859,0.0574078,0.00503571
417,0.0485697,0.00544001,0.056167,0.00471125
418,0.048445,0.00722683,0.0544223,0.00631719
419,0.0438539,0.00751756,0.0561612,0.0101592
420,0.0480318,0.00689753,0.0582219,0.00734966
421,0.0506805,0.00673723,0.0590423,0.00511026
422,0.0488203,0.00746173,0.0580609,0.00547896
423,0.0468567,0.00747589,0.0596567,0.0061592
424,0.0470888,0.00754916,0.0602173,0.00655164
425,0.0488819,0.00758098,0.0599172,0.0066963
426,0.0484471,0.00668736,0.0601247,0.00682044
427,0.0497132,0.00620689,0.0601748,0.00801172
428,0.0513341,0.00601396,0.0603225,0.00911844
429,0.0516963,0.00610027,0.0609905,0.00851669
430,0.0500938,0.00576716,0.0613999,0.00956341
431,0.0492489,0.00607574,0.0622973,0.010528
432,0.0503824,0.00757328,0.0640854,0.0107335
433,0.0506153,0.00802963,0.0622843,0.0120869
434,0.050193,0.00861005,0.061706,0.0137234
435,0.0494734,0.00931044,0.0623311,0.0152961
436,0.0518697,0.00936072,0.0617207,0.0135917
437,0.0523713,0.00863612,0.0632242,0.0130915
438,0.0521225,0.00794641,0.0651827,0.0132572
439,0.0527918,0.00886147,0.0647642,0.0135134
440,0.0526879,0.00925277,0.0664291,0.0119747
441,0.052574,0.00913537,0.0677012,0.0108164
442,0.0528289,0.00834109,0.0672325,0.0112524
443,0.0528616,0.00965124,0.0657223,0.0129372
444,0.0526069,0.0109574,0.0654318,0.0148201
445,0.0522035,0.0119941,0.0665468,0.0166916
446,0.054792,0.0117054,0.068636,0.0162596
447,0.0553521,0.0114162,0.070342,0.0160444
448,0.0551995,0.0116341,0.071047,0.0161683
