# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Pleioblastus chino laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0415152,0.00608693,0.0488328,0.00630541
351,0.0403661,0.00621347,0.0496897,0.00660902
352,0.040155,0.00737653,0.0497878,0.0073262
353,0.0417198,0.00932568,0.0496582,0.00827431
354,0.0406767,0.00846711,0.0485614,0.00791894
355,0.0379261,0.00679194,0.046645,0.00687207
356,0.0366621,0.00540197,0.0469398,0.00528756
357,0.0380548,0.00647708,0.0454922,0.00607083
358,0.04015,0.00666435,0.0460128,0.0064804
359,0.04004,0.00541976,0.0465891,0.00607858
360,0.0391568,0.00590709,0.0468513,0.00658702
361,0.0400448,0.00559588,0.0461241,0.0068578
362,0.0413756,0.00480421,0.044808,0.00676328
363,0.0400001,0.00417922,0.0452945,0.00532384
364,0.0385922,0.00405873,0.0453342,0.00473931
365,0.0390087,0.00453139,0.0467331,0.00460268
366,0.0388521,0.00603946,0.0469123,0.00476374
367,0.0369994,0.00625976,0.045486,0.00391271
368,0.0360234,0.00584161,0.0443147,0.00358382
369,0.0372374,0.00487428,0.0444732,0.00417537
370,0.0382105,0.00397372,0.0436633,0.00439726
371,0.0382929,0.0041521,0.0444095,0.00451162
372,0.0380804,0.00505382,0.0464302,0.00449207
373,0.0380866,0.00509725,0.0459498,0.00408545
374,0.0379228,0.00442817,0.0446967,0.00428794
375,0.0372267,0.00388035,0.0434345,0.00457753
376,0.0376202,0.00460881,0.0455552,0.00425164
377,0.0382556,0.00443902,0.046295,0.00421645
378,0.0384276,0.00397246,0.0459881,0.00437219
379,0.0390293,0.00331653,0.0457026,0.0046803
380,0.0392579,0.00400182,0.0465605,0.00405817
381,0.0393877,0.00430642,0.0472599,0.00384256
382,0.0379914,0.00425183,0.0463221,0.00403881
383,0.037387,0.00476902,0.0464946,0.00426017
384,0.0377716,0.0042933,0.0469806,0.00423976
385,0.0380414,0.00345127,0.0471928,0.00411799
386,0.0371341,0.00302541,0.0467864,0.00403324
387,0.0369219,0.00346107,0.0469778,0.00400691
388,0.0374749,0.00384669,0.0478241,0.00388874
389,0.0373498,0.00373776,0.0478045,0.0035646
390,0.0375423,0.00408254,0.0482416,0.00347407
391,0.0378006,0.00411588,0.0488933,0.0034765
392,0.0386223,0.00381644,0.0502427,0.00356985
393,0.0385437,0.00362687,0.0502921,0.00392345
394,0.0382229,0.00376025,0.0503789,0.00414996
395,0.0376832,0.00405566,0.0501922,0.00425302
396,0.0383726,0.00426702,0.0503569,0.00415704
397,0.0380597,0.00425393,0.0509162,0.00386182
398,0.0376963,0.00419241,0.0516451,0.00375403
399,0.0379278,0.00417218,0.0525405,0.00413866
400,0.0376972,0.0042367,0.0523532,0.00407095
401,0.0376853,0.00419236,0.052427,0.00428148
402,0.0384399,0.0040273,0.0534094,0.00482319
403,0.038068,0.0042503,0.0541272,0.00429817
404,0.0377154,0.00450604,0.0545886,0.00418624
405,0.0373309,0.00476814,0.054801,0.00431645
406,0.0378496,0.0049419,0.0556268,0.00431614
407,0.0381227,0.00488799,0.0561649,0.00429637
408,0.03834,0.00482514,0.0567855,0.0044244
409,0.0382479,0.00493142,0.0574882,0.00491514
410,0.0385839,0.00500333,0.0580848,0.00488837
411,0.0387921,0.00509875,0.0586716,0.00471929
412,0.0382856,0.00523096,0.0587982,0.0044756
413,0.03834,0.0054273,0.0591453,0.00510618
414,0.0384644,0.00555574,0.0597389,0.00534763
415,0.0389032,0.00561328,0.0606573,0.00533463
