# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Pleioblastus chino laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0642038,0.0169556,0.0725184,0.0157039
351,0.0642021,0.0180056,0.0726459,0.0150471
352,0.0635219,0.0179931,0.0708747,0.0145242
353,0.0639456,0.0139306,0.066668,0.0164499
354,0.0631279,0.01363,0.0647942,0.0147368
355,0.0606734,0.0139235,0.0623246,0.0130745
356,0.0588925,0.0127308,0.0601043,0.0141733
357,0.0578951,0.0124983,0.0621884,0.0147861
358,0.0580414,0.0125176,0.0636554,0.0144544
359,0.056896,0.0127328,0.0611874,0.0131468
360,0.0553002,0.0133768,0.0616023,0.0109688
361,0.0556542,0.0130237,0.0617355,0.0110214
362,0.0568698,0.0119859,0.0612367,0.0123075
363,0.0566808,0.0105146,0.0592258,0.011759
364,0.0566385,0.0105799,0.0591591,0.0119687
365,0.0573796,0.0108774,0.0605013,0.0119563
366,0.0549354,0.0103278,0.0584739,0.0107365
367,0.0544869,0.0100694,0.0581735,0.0106466
368,0.0542757,0.00980538,0.0580008,0.0103906
369,0.0544921,0.00943624,0.0581714,0.00961716
370,0.0540777,0.00996332,0.0589585,0.00984244
371,0.0537665,0.00993681,0.0590143,0.0102439
372,0.0538762,0.00945132,0.0588546,0.0106312
373,0.0538666,0.00905085,0.0590202,0.0101439
374,0.052786,0.00844329,0.0580842,0.00949357
375,0.0514311,0.00796985,0.0567774,0.00883321
376,0.0529746,0.00806685,0.0580666,0.0082292
377,0.0532902,0.008879,0.0587561,0.00893918
378,0.0525708,0.00936556,0.0588497,0.00910386
379,0.0517629,0.00903689,0.0592665,0.00791351
380,0.0534639,0.00891002,0.0596739,0.00913637
381,0.054232,0.00913777,0.0600713,0.00961403
382,0.0526965,0.00955062,0.0590251,0.00929461
383,0.0533315,0.0087059,0.0591536,0.00890963
384,0.0533894,0.00842216,0.0594503,0.00871469
385,0.0528605,0.00845503,0.0596061,0.008566
386,0.0521121,0.0085212,0.0597573,0.0081515
387,0.052503,0.00887455,0.0606265,0.00894325
388,0.0536042,0.00902944,0.0618987,0.009341
389,0.0536622,0.00867137,0.0617577,0.0084676
390,0.0537149,0.00813833,0.0616144,0.00832364
391,0.0536963,0.00795215,0.0620578,0.00838062
392,0.0542216,0.00814901,0.0636609,0.00857912
393,0.0549799,0.0085692,0.0645403,0.00856538
394,0.0553964,0.00865134,0.0647774,0.00877774
395,0.0552864,0.00855395,0.0646826,0.00897073
396,0.0553832,0.00849961,0.0662516,0.00855699
397,0.0557133,0.00858629,0.067075,0.00821426
398,0.055961,0.00871313,0.0675667,0.00816276
399,0.0559629,0.00882793,0.0679278,0.00863737
400,0.0563054,0.00924754,0.0687395,0.00866885
401,0.0567593,0.00932573,0.0695625,0.00874886
402,0.0577633,0.00900373,0.0708212,0.00893861
403,0.058031,0.00924441,0.0718474,0.00921187
404,0.0584378,0.00952436,0.0726904,0.00929073
405,0.0587339,0.00982206,0.0732761,0.00931283
406,0.0590556,0.0100285,0.0740979,0.00960973
