# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Pueraria lobata laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0440865,0.00435546,0.0715404,0.0149469
351,0.0444274,0.00813511,0.0737492,0.0135327
352,0.0415073,0.0113387,0.0750656,0.00852517
353,0.041954,0.00712409,0.0753902,0.00829575
354,0.0420822,0.00689878,0.0755565,0.00940778
355,0.04093,0.00738855,0.0750897,0.0102632
356,0.0374714,0.006605,0.0737149,0.00971794
357,0.0400392,0.00492773,0.0729049,0.0117029
358,0.0414214,0.00434812,0.0730181,0.0118808
359,0.0405455,0.00519325,0.074242,0.00957611
360,0.0415201,0.00326715,0.0737488,0.00948637
361,0.0414109,0.00274469,0.0742925,0.00824917
362,0.040506,0.00305418,0.075677,0.00647249
363,0.0382765,0.00268285,0.0765051,0.00569341
364,0.0375016,0.00389069,0.077187,0.00611408
365,0.0374053,0.00505776,0.0775771,0.00651589
366,0.0376801,0.00464064,0.0776687,0.0057345
367,0.0383339,0.00477119,0.0794925,0.00664492
368,0.0386761,0.00495567,0.0811129,0.00666833
369,0.0384604,0.00507631,0.0819424,0.00511592
370,0.0390978,0.00294886,0.0827414,0.00674334
371,0.0384344,0.00250739,0.0828997,0.00670148
372,0.0369697,0.00350944,0.0828441,0.00557498
373,0.0377489,0.00505085,0.0858304,0.00683067
374,0.0375975,0.00576025,0.0873103,0.00630228
375,0.0374619,0.00578982,0.0880157,0.00576621
376,0.0383359,0.00489197,0.087769,0.00760458
377,0.0388537,0.00535728,0.0901996,0.00775258
378,0.0391253,0.0055957,0.0920847,0.00777249
379,0.038848,0.00497869,0.0915472,0.00811479
380,0.0374141,0.00615683,0.0929136,0.00768894
381,0.037333,0.00676641,0.0937412,0.00680236
382,0.0383651,0.00679518,0.0940434,0.00586022
383,0.0385033,0.00721689,0.0970943,0.00853568
384,0.0380842,0.00712102,0.0982925,0.00886176
385,0.0374888,0.00701589,0.098698,0.0082916
386,0.0369511,0.00775227,0.0988861,0.00869566
387,0.0368885,0.0078661,0.099434,0.0082391
388,0.0373819,0.00796565,0.100489,0.00800539
389,0.0383803,0.00827963,0.101618,0.0084937
390,0.0375979,0.00851437,0.102497,0.00859002
391,0.037582,0.00873513,0.103486,0.00860098
392,0.0385283,0.00891481,0.104786,0.00861749
393,0.0389041,0.00807824,0.105036,0.00935306
394,0.0390825,0.00850061,0.106029,0.00977987
395,0.0391534,0.00931876,0.107046,0.0098981
396,0.0392503,0.00886556,0.106509,0.00949043
397,0.0391589,0.00942557,0.107802,0.00952312
398,0.0392916,0.0100269,0.109211,0.0100175
399,0.0399602,0.0100903,0.10968,0.0111539
400,0.0392976,0.00973905,0.109339,0.0103412
401,0.039045,0.00953462,0.109431,0.0103899
402,0.039408,0.00954737,0.110118,0.0115729
403,0.0394604,0.00970278,0.110733,0.0106403
404,0.0398308,0.0103049,0.111276,0.0103874
405,0.0402362,0.011043,0.111878,0.0105563
406,0.039635,0.0110211,0.112468,0.010618
407,0.0400468,0.0106162,0.112502,0.0112295
408,0.0406052,0.0102593,0.112489,0.0116823
409,0.0407657,0.0103059,0.112912,0.0113764
410,0.0406431,0.0107246,0.113149,0.0111184
411,0.0405714,0.0109376,0.113342,0.010819
412,0.0406058,0.0108305,0.1135,0.0104555
413,0.0406598,0.0109824,0.11385,0.0112614
414,0.0407195,0.0109393,0.114041,0.0113837
415,0.0407425,0.0107633,0.11389,0.0110621
416,0.0410718,0.010809,0.113888,0.0112848
417,0.0412518,0.0111641,0.114137,0.0116253
418,0.041223,0.0114899,0.114375,0.0117519
419,0.0409303,0.0114487,0.114679,0.0112188
420,0.0410802,0.0116577,0.114743,0.0111876
421,0.0412325,0.0115859,0.114559,0.0112536
422,0.0413131,0.0110636,0.11421,0.0113305
423,0.0411428,0.0111287,0.11471,0.0113653
424,0.0412664,0.0111681,0.114794,0.0114918
425,0.041626,0.011205,0.114655,0.0116454
426,0.0415597,0.0114414,0.114806,0.0112618
427,0.0416131,0.0116918,0.115028,0.0112964
428,0.0417409,0.0118587,0.115356,0.0115306
429,0.0417241,0.011704,0.115348,0.011723
430,0.0417978,0.0114895,0.114937,0.011723
431,0.0419314,0.0115087,0.114793,0.0117013
432,0.0420876,0.0119117,0.11511,0.0117066
433,0.0421377,0.0118038,0.114995,0.0117107
434,0.0422465,0.0118703,0.115039,0.0118921
435,0.0424391,0.0121021,0.115378,0.0122208
436,0.0422174,0.0118884,0.115427,0.0121757
437,0.0421858,0.0120742,0.115647,0.0123112
438,0.0422079,0.0124143,0.115803,0.0124419
439,0.0421826,0.0125918,0.11576,0.0122487
440,0.0423331,0.0126335,0.115801,0.0124929
441,0.0424468,0.0127123,0.115942,0.0127275
442,0.0423661,0.0129168,0.116124,0.0127153
443,0.0426321,0.0131931,0.116437,0.0132131
444,0.0427743,0.0135357,0.116743,0.0135528
445,0.0427205,0.0139051,0.116899,0.0136692
446,0.0429614,0.0138248,0.116818,0.0138876
447,0.0431152,0.0139991,0.117106,0.0141418
448,0.0431891,0.0143126,0.11746,0.0143973
449,0.043398,0.0146343,0.117818,0.0146476
450,0.0434666,0.0149709,0.118134,0.0149232
451,0.0435253,0.0152501,0.118343,0.0152291
452,0.0436538,0.0153993,0.118333,0.015583
453,0.0435955,0.0156223,0.118428,0.0156661
454,0.0436552,0.015751,0.118541,0.0158224
455,0.0438674,0.0157606,0.11863,0.0161036
456,0.0439249,0.0161419,0.118899,0.0163774
457,0.0440941,0.0162978,0.118951,0.0166017
458,0.0443191,0.0163443,0.118916,0.0167805
459,0.0443075,0.0166209,0.118966,0.0168693
460,0.044427,0.0167288,0.118995,0.0170791
461,0.0445523,0.0168367,0.119027,0.0172862
462,0.0445606,0.017096,0.119066,0.0173731
463,0.04469,0.0172477,0.119055,0.0175915
464,0.0447679,0.0173881,0.119111,0.0178062
465,0.0447021,0.0175218,0.11915,0.0179692
466,0.0449081,0.0175878,0.118948,0.018258
467,0.0451407,0.0177469,0.119157,0.0184379
468,0.0453793,0.017976,0.119631,0.0185623
469,0.0454236,0.0181668,0.119471,0.0188572
470,0.0454554,0.0183711,0.119514,0.0190706
471,0.0455468,0.0185916,0.119705,0.0192629
472,0.0457075,0.0187942,0.119761,0.0194546
473,0.0458689,0.0190654,0.119927,0.0197942
474,0.0459961,0.019321,0.120114,0.0201034
475,0.0460102,0.0195071,0.120133,0.0202953
476,0.0462705,0.0198572,0.120262,0.0207226
477,0.0464303,0.0201173,0.120335,0.0210424
478,0.0465295,0.0203188,0.120423,0.0212905
479,0.0468395,0.0207199,0.12081,0.0217703
480,0.047086,0.0211354,0.121219,0.0222229
481,0.0472566,0.0215447,0.121513,0.0225905
482,0.047337,0.0219351,0.121526,0.0227508
483,0.0475145,0.0223217,0.121754,0.0233175
484,0.0477835,0.0227363,0.122162,0.0239232
485,0.0480185,0.0231308,0.122401,0.0243501
486,0.0483594,0.0235573,0.122912,0.0249986
487,0.0486988,0.0240389,0.123327,0.0256728
488,0.0490549,0.0246009,0.123747,0.0263693
489,0.0492155,0.0252778,0.124283,0.0269947
490,0.0495629,0.0259495,0.124782,0.0277584
491,0.0500447,0.0266551,0.125348,0.0286168
492,0.0505028,0.0274489,0.125922,0.0294604
493,0.050939,0.028261,0.126642,0.0304564
494,0.051391,0.0291168,0.12746,0.0314858
495,0.0518947,0.0300522,0.128401,0.0325086
496,0.0525279,0.0311518,0.129442,0.0337627
497,0.0531821,0.0322036,0.130365,0.0350691
498,0.0539119,0.0332354,0.131323,0.03645
499,0.0546165,0.0345276,0.132352,0.0378716
500,0.0554379,0.0358423,0.133497,0.0394833
501,0.0563259,0.0372063,0.134716,0.0411898
502,0.0572127,0.0387717,0.135988,0.042827
503,0.0581416,0.0403744,0.137328,0.0446482
504,0.0591807,0.0420399,0.138849,0.0466081
505,0.0603549,0.0437715,0.140521,0.0486952
506,0.0616031,0.0456632,0.142153,0.0510713
507,0.0628802,0.047669,0.143797,0.0534561
508,0.0642002,0.0498066,0.145501,0.0558264
509,0.065707,0.0520958,0.14735,0.0584717
510,0.0672369,0.0544502,0.149302,0.0611921
511,0.0689219,0.0569733,0.151597,0.0641195
512,0.0706927,0.0596396,0.153844,0.0672888
513,0.072618,0.0623585,0.156007,0.0704994
514,0.0746497,0.065146,0.158181,0.0737749
515,0.0767921,0.0680705,0.160422,0.0771988
516,0.0790716,0.0711019,0.162769,0.0807627
517,0.0813817,0.0742242,0.165206,0.0843706
518,0.0836604,0.0774171,0.167648,0.0879703
519,0.0862085,0.0806683,0.170191,0.0918136
520,0.0887031,0.0839212,0.172651,0.0955567
521,0.0911172,0.0871297,0.174957,0.0991715
522,0.0936152,0.0903518,0.177225,0.10283
523,0.0961709,0.0934943,0.179531,0.106474
524,0.0986743,0.0965213,0.181752,0.110015
525,0.101057,0.0994328,0.183842,0.113406
526,0.103296,0.102244,0.185788,0.11651
527,0.105511,0.104981,0.187729,0.119587
528,0.107668,0.107573,0.189575,0.122646
529,0.109672,0.110072,0.191329,0.125491
530,0.111577,0.112377,0.192852,0.128143
531,0.11334,0.114459,0.194104,0.130565
532,0.114932,0.116435,0.195376,0.132839
533,0.11639,0.118291,0.196568,0.134917
534,0.117691,0.11997,0.197569,0.136781
535,0.118983,0.121555,0.198525,0.138602
536,0.120135,0.12301,0.199316,0.140318
537,0.12124,0.124382,0.200069,0.141918
538,0.122378,0.125729,0.200905,0.143436
539,0.123268,0.126858,0.201494,0.144761
540,0.124061,0.1279,0.201992,0.145949
541,0.124822,0.128914,0.202495,0.147076
542,0.12547,0.129762,0.202888,0.148152
543,0.126033,0.130531,0.203172,0.149074
544,0.126603,0.131306,0.203467,0.149982
545,0.127181,0.132073,0.20371,0.150933
546,0.127773,0.132851,0.204084,0.151805
547,0.128229,0.13348,0.204321,0.152536
548,0.128526,0.133935,0.204397,0.153182
549,0.128718,0.13436,0.204464,0.15362
550,0.128993,0.134802,0.204676,0.154136
551,0.128949,0.134828,0.204379,0.154261
552,0.128846,0.134835,0.204133,0.154348
553,0.128577,0.134727,0.203835,0.154268
554,0.128084,0.134406,0.203345,0.15393
555,0.127405,0.133814,0.202682,0.153311
556,0.126609,0.133017,0.201839,0.152496
557,0.125794,0.132219,0.201067,0.151665
558,0.124752,0.131299,0.200156,0.150628
559,0.123574,0.130063,0.19899,0.149316
560,0.122322,0.128759,0.197769,0.147915
561,0.121038,0.127464,0.196586,0.146497
562,0.119549,0.125916,0.195177,0.14478
563,0.118065,0.124334,0.193794,0.143036
564,0.116532,0.122671,0.192358,0.141209
565,0.114934,0.12093,0.190904,0.139318
566,0.113265,0.119077,0.189311,0.137306
567,0.111675,0.117307,0.187853,0.135357
568,0.110038,0.115519,0.186346,0.13329
569,0.108313,0.113598,0.184733,0.13119
570,0.10662,0.111696,0.183158,0.129099
571,0.104986,0.109845,0.18165,0.127021
572,0.103452,0.108078,0.180197,0.125095
573,0.101936,0.106332,0.178779,0.123146
574,0.100376,0.104544,0.177276,0.121116
575,0.098963,0.102921,0.175941,0.119326
576,0.0975951,0.101375,0.174605,0.117565
577,0.0962611,0.0998424,0.173247,0.115825
578,0.0950465,0.0983319,0.17198,0.114203
579,0.0938709,0.0969902,0.170879,0.112653
580,0.0927499,0.0956989,0.169797,0.111159
581,0.0917281,0.0944491,0.168733,0.10976
582,0.0907409,0.0932024,0.167609,0.108441
583,0.0897869,0.0920495,0.166587,0.107175
584,0.0889284,0.0910425,0.16577,0.106026
585,0.0881347,0.0900352,0.164923,0.104896
586,0.0873033,0.0890008,0.163923,0.103738
587,0.0865313,0.0880473,0.162996,0.102662
588,0.0859273,0.0873102,0.162424,0.101799
589,0.0852879,0.0864968,0.161666,0.100895
590,0.0846801,0.0856985,0.160895,0.100037
591,0.0841039,0.0849207,0.160116,0.0992302
592,0.0835653,0.0842381,0.159414,0.0984751
593,0.0829993,0.0835549,0.158691,0.0977033
594,0.0824908,0.0829488,0.158105,0.0970138
595,0.0820933,0.082401,0.157569,0.0964242
596,0.0816627,0.0818104,0.156974,0.0958072
597,0.0811883,0.0811893,0.156331,0.0951507
598,0.0806207,0.0805612,0.155665,0.0944124
599,0.0801792,0.0800086,0.155174,0.0937834
600,0.0796409,0.0793429,0.1545,0.0930238
601,0.0790676,0.0786461,0.153828,0.0922205
602,0.078551,0.0780371,0.153334,0.0914752
603,0.0779095,0.0772387,0.152576,0.0905666
604,0.0772714,0.0763642,0.151793,0.0896414
605,0.0765847,0.0755459,0.151118,0.0887008
606,0.0759056,0.0746882,0.150417,0.0877008
607,0.0752523,0.0738262,0.149735,0.0866863
608,0.0745601,0.0729458,0.148941,0.0856355
609,0.0737857,0.0719861,0.148083,0.0844971
610,0.0730248,0.0710287,0.147282,0.0833802
611,0.0722902,0.0700701,0.146514,0.0823033
612,0.0715392,0.0690887,0.145664,0.0811916
613,0.0708232,0.0681614,0.144849,0.0800863
614,0.0701393,0.067293,0.144063,0.0789781
615,0.0695096,0.0663597,0.143212,0.0779442
616,0.0689066,0.0655389,0.142466,0.0769892
617,0.0683477,0.0648223,0.141836,0.0761228
618,0.0678581,0.0641407,0.141223,0.0753398
619,0.0674097,0.0635221,0.140659,0.0745935
620,0.0669894,0.0629404,0.14011,0.0738932
621,0.0666477,0.0624322,0.139641,0.0733395
622,0.066372,0.0620304,0.139259,0.0728801
623,0.0661114,0.0616698,0.138877,0.0724555
624,0.0658339,0.0613224,0.138425,0.0720337
625,0.0655437,0.0610161,0.138054,0.0716038
626,0.0653255,0.0607007,0.137701,0.0712671
627,0.0651635,0.0603797,0.137352,0.0710063
628,0.0649631,0.0600851,0.136967,0.0707153
629,0.0647683,0.059775,0.136633,0.07038
630,0.0645373,0.0594228,0.136222,0.0699766
631,0.0643046,0.0590725,0.135736,0.0695607
632,0.0639828,0.0585675,0.13511,0.0689652
633,0.0636436,0.0579929,0.134437,0.068287
634,0.0634103,0.0574516,0.133945,0.0676447
635,0.0630453,0.0566808,0.133153,0.06673
636,0.0625873,0.0558024,0.132242,0.0656961
637,0.0620988,0.0548715,0.131343,0.0646074
638,0.061525,0.0537438,0.130252,0.0633048
639,0.0608685,0.0525219,0.129016,0.0618536
