# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Quercus crispula laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0933239,1.87919e-06,0.0393665,1.92399e-06
351,0.120208,1.83027e-06,0.0255129,1.91479e-06
352,0.124896,0.0355083,0.0609171,1.84579e-06
353,0.0482709,0.049118,0.109257,1.86027e-06
354,0.0325348,0.0420733,0.108906,1.87542e-06
355,0.0431946,0.0188292,0.101652,0.0176651
356,0.0607913,1.90109e-06,0.11117,0.0307824
357,0.0342853,0.0255549,0.0644063,0.0176791
358,0.0187849,0.0513906,0.0294983,1.91191e-06
359,0.0207075,0.0377891,0.0217766,1.90774e-06
360,0.0792098,1.83818e-06,0.0696581,1.8467e-06
361,0.0776873,0.00510302,0.0732339,1.86871e-06
362,0.0435466,0.0337773,0.0533122,0.0156876
363,0.0397499,0.0159017,0.0541557,0.0173047
364,0.0331063,0.0183344,0.0774281,0.0173387
365,0.0331198,0.0192591,0.0923722,0.0101955
366,0.0508463,1.92752e-06,0.0698878,1.91385e-06
367,0.0553595,1.92194e-06,0.060829,0.0144726
368,0.0530593,1.91826e-06,0.0489264,0.0285363
369,0.0446616,1.91123e-06,0.029721,0.0164476
370,0.0496095,0.00555669,0.0391484,0.0166894
371,0.05075,0.0152438,0.0542422,0.0103217
372,0.0493303,0.0193926,0.0704501,1.90099e-06
373,0.0505241,1.93629e-06,0.0664797,1.93205e-06
374,0.0492707,1.94927e-06,0.0644809,0.00125597
375,0.0480167,0.00282711,0.0617508,0.0181957
376,0.0500492,0.0111612,0.0541127,0.0161892
377,0.0402186,0.0126824,0.05606,0.0239232
378,0.0296277,0.0172556,0.0576065,0.0243509
379,0.0207878,0.0284693,0.0554552,0.0110252
380,0.0273191,0.0213944,0.0600092,0.0114067
381,0.0398914,0.015827,0.0589821,0.010513
382,0.0549955,0.0128961,0.0534025,0.00866049
383,0.0501868,0.0154836,0.0561338,0.0164156
384,0.0458469,0.0124891,0.0540001,0.0210303
385,0.0420232,0.00947218,0.0536153,0.0204689
386,0.0388628,0.0155913,0.0677205,0.00742703
387,0.0316531,0.0168629,0.0675354,0.00736095
