# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Quercus crispula laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0397225,0.00752977,0.0666294,0.00846579
351,0.0372149,0.0102866,0.0658371,0.00645913
352,0.0363181,0.0109903,0.0641309,0.00574089
353,0.0369154,0.00788167,0.065695,0.00693681
354,0.0381461,0.00736097,0.0655715,0.00680352
355,0.0393304,0.00730267,0.065288,0.00620321
356,0.0401741,0.00640507,0.0661263,0.00557143
357,0.0407519,0.0037902,0.0629258,0.00447838
358,0.0400143,0.00330642,0.062058,0.0044879
359,0.0378581,0.00558945,0.0646792,0.00586557
360,0.0367391,0.00659675,0.0641139,0.00458612
361,0.0374649,0.00687541,0.0645725,0.00502173
362,0.0389676,0.00635205,0.0655472,0.00622785
363,0.0371785,0.00386466,0.0642613,0.00525741
364,0.0380784,0.0033676,0.0630079,0.00516874
365,0.0393055,0.00382395,0.0622596,0.00474294
366,0.0388825,0.00472086,0.0629134,0.00260676
367,0.0383707,0.00388722,0.0626687,0.00323274
368,0.0379931,0.00380224,0.0631351,0.00372383
369,0.0377447,0.00510178,0.0646426,0.00338735
370,0.0374678,0.00397643,0.0648239,0.00318077
371,0.0379584,0.00393627,0.0641675,0.00313258
372,0.0389274,0.0046373,0.062939,0.00327857
373,0.0393187,0.00408099,0.0627468,0.00403652
374,0.0386201,0.00383387,0.0625904,0.0046743
375,0.0379059,0.0037478,0.0629117,0.00476692
376,0.038299,0.00367985,0.0640759,0.00335933
377,0.0391423,0.00359675,0.0645475,0.0042126
378,0.039391,0.00350336,0.0647647,0.00463825
379,0.0382819,0.00337318,0.0643361,0.00360837
380,0.0383094,0.00418657,0.0642303,0.00391119
381,0.0383197,0.00470328,0.064777,0.00401936
382,0.0381666,0.00486194,0.0656905,0.00389484
383,0.0379258,0.00461908,0.0658571,0.00402075
384,0.0385205,0.00462114,0.0662001,0.00413366
385,0.0391727,0.00472683,0.066579,0.0041548
386,0.0382443,0.00472547,0.0662653,0.00384352
387,0.0381539,0.00475932,0.066842,0.00395666
