# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Quercus crispula laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0687206,0.0265624,0.0756747,0.051183
351,0.0821915,0.027978,0.090401,0.0546776
352,0.0845809,0.0556875,0.113209,0.060407
353,0.0695408,0.0583443,0.141769,0.0485063
354,0.0663511,0.0137728,0.119516,1.86381e-06
355,0.0797,1.89645e-06,0.0941599,1.87786e-06
356,0.11683,0.036606,0.101716,0.0637471
357,0.0587879,0.031706,0.0743878,0.0546151
358,0.0335968,0.0181635,0.05155,0.0349192
359,0.0587803,0.00516667,0.0371561,0.0207019
360,0.075312,0.0200574,0.0743653,0.0164931
361,0.0811568,0.0268843,0.0669674,0.00379231
362,0.0761147,0.0262068,0.0352392,1.91941e-06
363,0.0396795,0.0117606,0.0191638,0.004703
364,0.043112,1.94075e-06,0.0391183,0.00966886
365,0.0527614,1.94758e-06,0.0545146,0.00873983
366,0.0398388,0.0275557,0.0285553,0.00245663
367,0.0472086,0.019157,0.0382003,1.93375e-06
368,0.0563417,0.00691186,0.0533559,1.91807e-06
369,0.0636096,1.90196e-06,0.0673375,0.00191534
370,0.0567746,0.00845355,0.0471387,0.0125319
371,0.0533728,0.0119624,0.0440556,0.0261504
372,0.0505137,0.0110883,0.0546584,0.037537
373,0.0287243,0.0084005,0.0654609,0.0163504
374,0.0296822,0.000319449,0.0666926,0.0119368
375,0.0378555,1.95313e-06,0.0597251,0.0109209
376,0.0367501,0.00995221,0.0414085,1.93388e-06
377,0.0411842,0.0103849,0.0488335,1.9186e-06
378,0.0464625,0.0073534,0.0522767,1.91365e-06
379,0.0513853,0.00338184,0.0417607,1.92615e-06
380,0.0513148,0.00700333,0.0473997,0.018631
381,0.0473413,0.0108181,0.054602,0.0243308
382,0.0406768,0.0144481,0.0613535,0.0151433
383,0.0402476,0.0173905,0.0550694,1.92212e-06
384,0.0392079,0.0155522,0.0558708,1.91598e-06
385,0.0410143,0.0106815,0.0600659,1.90938e-06
386,0.053905,0.00313635,0.0639013,0.00722337
387,0.047314,0.00311121,0.0624507,0.00508638
388,0.0423897,0.00758652,0.0600202,0.00541325
389,0.0494688,0.0162705,0.0584547,0.0156591
390,0.0458693,0.0149816,0.0623154,0.0104261
391,0.0417894,0.01229,0.0611032,0.00662265
392,0.0386805,0.00948517,0.0547874,0.00545429
393,0.0448468,0.0133755,0.0526739,0.00208937
394,0.0466564,0.00982405,0.0573578,0.00955699
395,0.0471701,0.00555823,0.0626495,0.0182872
396,0.052231,0.0147628,0.0554317,0.00854217
397,0.0514737,0.0119815,0.0587419,0.00635339
398,0.0497546,0.00657177,0.0624832,0.00323592
399,0.0497294,0.00328448,0.0608032,1.93257e-06
400,0.0514485,0.00734988,0.0596658,1.92948e-06
401,0.0506506,0.010046,0.0603223,1.93162e-06
402,0.0470152,0.0105217,0.062801,0.00110357
403,0.0464086,0.0136358,0.0644546,0.0136053
404,0.0453498,0.0112602,0.0649042,0.0158584
405,0.0443315,0.00609411,0.0645015,0.0114881
406,0.0448804,0.00414733,0.0636573,0.00597381
407,0.0451513,0.00797717,0.0641128,0.00623401
408,0.0446913,0.0121571,0.064845,0.00802961
409,0.0427938,0.0129082,0.0652127,0.00889742
410,0.0419454,0.0118045,0.0661148,0.0120178
411,0.0427292,0.011198,0.0672596,0.0139612
412,0.0452826,0.0115233,0.0685948,0.014064
413,0.0489094,0.0131793,0.0667594,0.0137489
414,0.0497236,0.0141796,0.0658164,0.0124495
415,0.0487276,0.014506,0.0663521,0.0110663
416,0.0490789,0.0136429,0.0720127,0.013559
417,0.0481965,0.015027,0.068922,0.0128018
418,0.0463893,0.0162033,0.0644539,0.0117159
419,0.0433913,0.0144765,0.0657186,0.0132406
420,0.0434152,0.014549,0.0652116,0.0138463
421,0.0447751,0.0163803,0.0655134,0.0135962
422,0.0471744,0.0201632,0.067423,0.012404
423,0.0468558,0.0188405,0.0678015,0.0143005
424,0.0472224,0.0179026,0.0672672,0.0151186
425,0.0480458,0.0173427,0.0660691,0.0149718
426,0.047329,0.0162063,0.0653194,0.0147548
427,0.0473112,0.0166879,0.0661274,0.0135766
428,0.0475088,0.0183654,0.0672848,0.0117212
429,0.0473771,0.0214068,0.0673388,0.00914329
430,0.0459128,0.0198078,0.0693556,0.0128142
431,0.0453454,0.0184017,0.070632,0.0155391
432,0.0467187,0.0190851,0.0699808,0.0144147
433,0.0475151,0.0181158,0.06913,0.0154122
434,0.0472429,0.0157663,0.0690035,0.0164258
435,0.0461772,0.012778,0.0693808,0.0171796
436,0.0468997,0.0164251,0.0677282,0.0159533
437,0.0465142,0.018913,0.0677554,0.0156363
438,0.0460832,0.0202911,0.0691797,0.0159901
439,0.0476093,0.0199137,0.0724382,0.0170284
440,0.0474042,0.0187953,0.0708162,0.0173889
441,0.0475959,0.018976,0.0687954,0.0181171
442,0.0494075,0.0219417,0.0684787,0.0198758
443,0.0475007,0.0193109,0.0696611,0.0168919
444,0.0467182,0.0191882,0.0708635,0.0163311
445,0.0473855,0.0220835,0.0718797,0.0186483
446,0.0461497,0.0218282,0.0715397,0.0187594
447,0.045698,0.0223346,0.0714,0.0191385
448,0.0459613,0.0229688,0.071192,0.0195788
449,0.0472597,0.0221163,0.0701327,0.0195719
450,0.0464738,0.0229265,0.0705195,0.0201035
451,0.0456894,0.0236254,0.0713891,0.0209168
452,0.0463413,0.0229388,0.0723015,0.0219759
453,0.0465915,0.0250031,0.0729391,0.0213572
454,0.0467128,0.0260445,0.0737891,0.0210258
455,0.046769,0.0254865,0.0748898,0.0213386
456,0.0478138,0.0260253,0.074002,0.0237527
457,0.0474978,0.0260304,0.0736541,0.0240692
458,0.0465194,0.0258186,0.0736277,0.0230619
459,0.0471771,0.0264851,0.0732726,0.0228776
460,0.0475816,0.027972,0.0733525,0.0225206
461,0.0476536,0.0293519,0.0735732,0.0227356
462,0.0471632,0.0297588,0.073739,0.0244791
463,0.0469011,0.0288141,0.0732206,0.0243858
464,0.0472959,0.0282439,0.0736417,0.0234515
465,0.048521,0.0284963,0.0754938,0.0218122
466,0.0481895,0.0285257,0.0748981,0.0242687
467,0.0473818,0.0292209,0.0753018,0.0256547
468,0.0463111,0.0303107,0.0763136,0.0257896
469,0.0458998,0.030536,0.0760075,0.023057
470,0.0451047,0.0306086,0.0749816,0.0248681
471,0.0448966,0.0304535,0.0740017,0.0270365
472,0.046802,0.0298476,0.0740341,0.0246129
473,0.0476143,0.0303138,0.0746392,0.0260696
474,0.0476667,0.0311829,0.0753886,0.0268875
475,0.0468947,0.0323428,0.0761848,0.0255357
476,0.047442,0.0322541,0.0764892,0.0283955
477,0.0478285,0.033029,0.0767006,0.0281063
478,0.0479718,0.0345187,0.0768892,0.0253926
479,0.0476196,0.0353388,0.0774204,0.0267214
480,0.0471987,0.0346602,0.0774128,0.028559
481,0.0470602,0.03387,0.0774486,0.0298591
482,0.0479624,0.0351988,0.0785223,0.0285746
483,0.0479361,0.0352885,0.0785285,0.0293632
484,0.0484444,0.035396,0.0784884,0.030183
485,0.0502815,0.0360678,0.0788265,0.0301772
486,0.0486479,0.0363968,0.0793607,0.0307807
487,0.04792,0.0375646,0.0804377,0.032108
488,0.0482281,0.0394233,0.0819919,0.0339078
489,0.0472046,0.0393543,0.0830762,0.0331935
490,0.0468914,0.0401662,0.0832674,0.0339139
491,0.0470775,0.0414569,0.0833495,0.0353181
492,0.0476265,0.0426625,0.0850255,0.0362119
493,0.0485128,0.0438093,0.085817,0.0360204
494,0.0489916,0.0448375,0.0863513,0.0361877
495,0.0485171,0.0456772,0.0868927,0.0376412
496,0.0494258,0.0463123,0.0887653,0.0395108
