# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Quercus crispula laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0460815,0.00924943,0.00781559,0.0692292
351,0.0460259,0.00822303,0.00710475,0.0692884
352,0.0468527,0.00567592,0.00688963,0.068546
353,0.0443284,0.00535389,0.00732642,0.0666559
354,0.0453439,0.00272593,0.00747793,0.0666769
355,0.046097,0.00139674,0.00692989,0.0668037
356,0.0439264,0.00447374,0.00511878,0.066049
357,0.0459968,0.00378736,0.00646363,0.0666659
358,0.0460217,0.00284932,0.00628419,0.0667358
359,0.0429842,0.00224486,0.00377012,0.0660456
360,0.0431778,0.00395597,0.00483118,0.0657328
361,0.0434512,0.00462195,0.00554596,0.0661659
362,0.0440118,0.00470547,0.00595028,0.0672324
363,0.0450388,0.00545516,0.00583937,0.0677022
364,0.0444517,0.00478325,0.00479173,0.0675263
365,0.0435169,0.00379096,0.00389653,0.0667603
366,0.0434504,0.00340521,0.00431126,0.0653644
367,0.0434772,0.00376256,0.00491286,0.065789
368,0.0435411,0.00408942,0.00480169,0.0662648
369,0.0435603,0.00419458,0.00370044,0.0662693
370,0.0443695,0.00417346,0.00542823,0.0670007
371,0.0443444,0.00391266,0.0054832,0.0672906
372,0.0437152,0.00349146,0.00431749,0.0670436
373,0.0440185,0.00329375,0.00439135,0.066102
374,0.0442529,0.00235604,0.00442595,0.0664384
375,0.0441821,0.00151027,0.00405949,0.0670939
376,0.0429111,0.00190516,0.00250461,0.0663981
377,0.0427012,0.00335267,0.00271222,0.0668699
378,0.04318,0.00415146,0.00326993,0.067415
379,0.0440135,0.00359793,0.00374398,0.0671706
380,0.044646,0.00313046,0.00497675,0.067815
381,0.0448515,0.00319922,0.00519802,0.0683442
382,0.0446271,0.00358949,0.00446678,0.068535
383,0.0446874,0.00240658,0.00363827,0.0681586
384,0.0445966,0.0023172,0.00356666,0.0684661
385,0.0444081,0.00288572,0.00375987,0.0690935
386,0.0437912,0.00383029,0.00351551,0.0691134
387,0.0438811,0.00366959,0.00381029,0.0691518
388,0.0442592,0.00341169,0.0038792,0.0694413
389,0.0445325,0.00347061,0.00328495,0.0697086
390,0.0446456,0.0036397,0.00362551,0.0702606
391,0.0445136,0.00353997,0.00342187,0.0708617
392,0.0442995,0.00321085,0.00269101,0.0716281
393,0.044936,0.00357043,0.0035183,0.0719004
394,0.0450388,0.00383305,0.00377141,0.0722798
395,0.0448719,0.00397669,0.00367896,0.0725618
396,0.0448552,0.00387135,0.00352199,0.0722339
397,0.0450499,0.00381398,0.00366624,0.0725964
398,0.0452255,0.00369493,0.00380299,0.0732257
399,0.0452092,0.00342316,0.00373884,0.0739226
400,0.0450845,0.00369707,0.00379189,0.0747881
401,0.0449431,0.0038423,0.00381859,0.0753382
402,0.0448256,0.00378462,0.00381023,0.0755417
403,0.0453886,0.00398026,0.00417458,0.0756799
404,0.0454283,0.00420973,0.00417371,0.0761259
405,0.0452245,0.0044436,0.00395682,0.0767927
406,0.0452508,0.00458104,0.0038109,0.0772157
407,0.0453388,0.00456971,0.004128,0.077593
408,0.0454682,0.00449632,0.00448022,0.0779552
409,0.0456963,0.00439962,0.00456745,0.0784109
410,0.046004,0.00466255,0.00474415,0.0788582
411,0.0461722,0.00493437,0.00474262,0.0792623
412,0.0461482,0.00515036,0.00450574,0.0796023
413,0.0458772,0.00504463,0.00470294,0.0805119
414,0.0457646,0.00518382,0.00480209,0.0811303
415,0.0457177,0.00545232,0.00484714,0.0813305
416,0.0459839,0.00546278,0.00510827,0.0813664
417,0.0459632,0.00561291,0.00534911,0.0817501
418,0.0459103,0.00588737,0.00548861,0.0822446
419,0.0462277,0.0063706,0.00539051,0.0829289
420,0.0463421,0.00646711,0.00551162,0.0830808
421,0.0463865,0.00652504,0.00570086,0.0833319
422,0.0464379,0.00664444,0.00593498,0.0839625
423,0.0461718,0.00667741,0.00586506,0.0841821
424,0.0462209,0.0067956,0.00604739,0.0843786
425,0.0465579,0.00699825,0.00641261,0.0846539
426,0.0466735,0.00725914,0.00642744,0.0850062
427,0.0467329,0.00748153,0.00650832,0.0851841
428,0.0468547,0.00763982,0.00665929,0.0854418
429,0.0470185,0.0076285,0.00690248,0.0857862
430,0.0469928,0.007841,0.00718877,0.0858664
431,0.0469426,0.008056,0.00734839,0.0860492
432,0.0468766,0.00818177,0.00728418,0.086412
433,0.0471212,0.00847677,0.00767756,0.0868233
434,0.0472456,0.00874813,0.00781157,0.0870567
435,0.0473065,0.00899584,0.00771628,0.0872435
436,0.0473778,0.00920694,0.00791327,0.087455
437,0.0474665,0.00935621,0.00804626,0.0877349
438,0.0475021,0.0094732,0.00816488,0.0879554
439,0.0474644,0.00962442,0.00838121,0.0881091
440,0.0475743,0.0098172,0.0084822,0.0882636
441,0.047614,0.0100065,0.00861899,0.0884679
442,0.0474024,0.0101592,0.00887631,0.0886833
443,0.047591,0.0104028,0.00908221,0.0889844
444,0.0477556,0.0106551,0.00930224,0.0893531
445,0.0478079,0.010892,0.00952525,0.0896828
446,0.0478616,0.0110011,0.00963772,0.0897676
447,0.0478561,0.0111667,0.00979289,0.0898514
448,0.0477899,0.0113713,0.00998772,0.0898847
449,0.0479028,0.0116676,0.0103095,0.090236
450,0.047961,0.0117824,0.0105042,0.0905221
451,0.0480068,0.0119345,0.0106876,0.0907857
452,0.0480547,0.0122918,0.0109327,0.0910279
453,0.0480852,0.0125736,0.0111154,0.0912134
454,0.048149,0.0128084,0.0113028,0.0913871
455,0.0482451,0.0129968,0.0115039,0.0915332
456,0.0484811,0.0131881,0.0117011,0.0917979
457,0.0485027,0.0133546,0.0118587,0.0919108
458,0.0484264,0.0135103,0.0119971,0.0919655
459,0.0485186,0.0136681,0.0121518,0.0920779
460,0.0485004,0.0138596,0.0123736,0.0923077
461,0.0484744,0.0140649,0.012589,0.0925097
462,0.0485209,0.0142727,0.0127282,0.0925225
463,0.0485893,0.014511,0.0129665,0.0926356
464,0.0486271,0.0147757,0.0131432,0.0927998
465,0.0485666,0.0150527,0.0131994,0.0929146
466,0.0487282,0.0152289,0.0134907,0.093148
467,0.0488367,0.0154968,0.0137441,0.0934189
468,0.0489008,0.0158171,0.0139638,0.0937006
469,0.0488576,0.0159629,0.0141491,0.0936823
470,0.0488443,0.0161296,0.0143799,0.0937966
471,0.0489339,0.0163517,0.0146429,0.094064
472,0.0491519,0.0166658,0.0149059,0.0943707
473,0.0492604,0.0169741,0.0151071,0.0946332
474,0.0493234,0.0172913,0.0153018,0.0949168
475,0.0492806,0.0176004,0.0154856,0.0951181
476,0.0494374,0.0178372,0.0158631,0.0952967
