# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Quercus crispula laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0665291,0.0367081,0.0772001,0.0349061
351,0.0670972,0.0354652,0.0780549,0.0341645
352,0.0663436,0.0346157,0.0786436,0.0353351
353,0.0610404,0.032161,0.0741084,0.0354934
354,0.0614033,0.0318991,0.0740464,0.0350476
355,0.0631618,0.0312208,0.0737015,0.0346976
356,0.0641554,0.0282429,0.0699088,0.0351091
357,0.0617335,0.0297004,0.0703173,0.0327316
358,0.0602429,0.0300855,0.0721577,0.0312387
359,0.0604779,0.0285657,0.0751243,0.0312625
360,0.0582911,0.0282339,0.0724668,0.0267002
361,0.0569663,0.0270198,0.0711169,0.0252953
362,0.0561927,0.0257676,0.0708417,0.025936
363,0.0539546,0.0270366,0.0701553,0.025578
364,0.0552463,0.0262367,0.0702454,0.0256882
365,0.0565722,0.0245979,0.0699518,0.0258119
366,0.0547609,0.0229267,0.0681684,0.0256023
367,0.0561956,0.0219256,0.0695478,0.0253009
368,0.0563846,0.0221692,0.0705866,0.0248199
369,0.0540769,0.023851,0.0703253,0.0240783
370,0.0539015,0.0240132,0.0687872,0.0223757
371,0.0536411,0.0236677,0.0680301,0.0221547
372,0.0532897,0.0231155,0.0679463,0.0230162
373,0.0536632,0.0239996,0.0687684,0.0233363
374,0.0541398,0.0246973,0.0698228,0.0240316
375,0.0542864,0.0252788,0.0707558,0.0246941
376,0.0528435,0.025584,0.0704466,0.0245676
377,0.052517,0.0256341,0.0705887,0.0242359
378,0.0529281,0.0253766,0.070796,0.0242085
379,0.0536779,0.0245388,0.0704082,0.0245312
380,0.0535283,0.0243784,0.070583,0.0245762
381,0.054258,0.0253251,0.0713826,0.0256562
382,0.055528,0.0269879,0.0725027,0.0274794
383,0.0547832,0.0266465,0.0729528,0.0277836
384,0.0540594,0.02721,0.072384,0.0274514
385,0.0537083,0.0279064,0.0718968,0.0271894
386,0.0542073,0.0272591,0.0729475,0.0280976
387,0.0547955,0.0284955,0.0741718,0.0292075
388,0.0554094,0.0300342,0.0754053,0.0303342
389,0.0556794,0.031065,0.0761184,0.031226
390,0.0565018,0.0321842,0.0774813,0.0318636
391,0.0568719,0.0330274,0.0782175,0.0327393
392,0.0568806,0.0336708,0.078438,0.0338952
393,0.0569335,0.0343318,0.0782565,0.0340276
394,0.0567286,0.0351394,0.078586,0.0345079
395,0.0567157,0.0360225,0.0793764,0.0353645
396,0.058073,0.0369099,0.0808826,0.0369667
397,0.058369,0.0384325,0.0824576,0.0382772
398,0.058682,0.0401059,0.083737,0.0395741
399,0.0596612,0.0416875,0.0843656,0.0410324
400,0.0598538,0.0428268,0.0849377,0.0421299
401,0.0604138,0.0439209,0.0857595,0.0433804
402,0.0614577,0.0450333,0.0868822,0.0448398
403,0.0614168,0.0461962,0.0884274,0.0458986
404,0.0619269,0.0473242,0.0890252,0.0470597
405,0.0628195,0.0485114,0.0893777,0.0482628
406,0.063594,0.0499002,0.0910717,0.0491755
407,0.064065,0.0513729,0.0922662,0.0508952
408,0.0642483,0.0527404,0.0932177,0.0523993
409,0.0640913,0.0539115,0.0941443,0.0528988
410,0.064807,0.0551707,0.0949646,0.0540321
411,0.0656239,0.056246,0.0957836,0.055291
412,0.0663927,0.0570765,0.0966113,0.05658
413,0.0664022,0.0579435,0.09706,0.0571775
414,0.0666813,0.0590086,0.0976608,0.0580267
415,0.0670025,0.0600144,0.0981541,0.058935
416,0.0672511,0.0605683,0.0986192,0.059865
417,0.067947,0.0615427,0.0995701,0.060943
418,0.0685245,0.0625128,0.100446,0.0619355
419,0.0685305,0.0632378,0.100936,0.0627611
420,0.0686345,0.0641458,0.101502,0.0632587
421,0.0688405,0.0649665,0.101927,0.0638413
422,0.0692328,0.0656903,0.102244,0.0647063
423,0.069614,0.0662401,0.102535,0.0655874
424,0.0697961,0.0669438,0.102913,0.0661871
