# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance spectrum of Quercus crispula trunk.
#wl,R
350,0.123792
351,0.123918
352,0.12304
353,0.121916
354,0.121479
355,0.120836
356,0.11978
357,0.121145
358,0.122684
359,0.124272
360,0.122372
361,0.122083
362,0.122989
363,0.122082
364,0.121347
365,0.121239
366,0.122926
367,0.12303
368,0.123218
369,0.123696
370,0.122022
371,0.121292
372,0.121415
373,0.123172
374,0.123641
375,0.124221
376,0.12586
377,0.12493
378,0.124592
379,0.125083
380,0.125452
381,0.125458
382,0.125144
383,0.127618
384,0.127925
385,0.127672
386,0.12834
387,0.12769
388,0.127577
389,0.128178
390,0.128902
391,0.12942
392,0.130002
393,0.130253
394,0.130288
395,0.13028
396,0.130609
397,0.131183
398,0.131804
399,0.132301
400,0.132929
401,0.133316
402,0.133458
403,0.133562
404,0.13389
405,0.13441
406,0.134495
407,0.134716
408,0.134973
409,0.135356
410,0.136201
411,0.136645
412,0.136497
413,0.136905
414,0.137465
415,0.137799
416,0.137932
417,0.138322
418,0.138616
419,0.138814
420,0.139376
421,0.139998
422,0.140754
423,0.14088
424,0.140986
425,0.141255
426,0.141798
427,0.142221
428,0.142792
429,0.143299
430,0.143348
431,0.14365
432,0.14439
433,0.144801
434,0.145033
435,0.145339
436,0.14596
437,0.146616
438,0.147051
439,0.147087
440,0.147522
441,0.148013
442,0.148279
443,0.148877
444,0.149495
445,0.149941
446,0.150198
447,0.150692
448,0.151159
449,0.151768
450,0.152403
451,0.152955
452,0.153294
453,0.153755
454,0.154238
455,0.154686
456,0.15518
457,0.155681
458,0.156239
459,0.156724
460,0.157252
461,0.157776
462,0.15823
463,0.158832
464,0.159482
465,0.160002
466,0.160562
467,0.161378
468,0.162358
469,0.162787
470,0.163375
471,0.164186
472,0.165026
473,0.165572
474,0.166285
475,0.167116
476,0.167877
477,0.168557
478,0.169233
479,0.170109
480,0.171077
481,0.171973
482,0.17267
483,0.173277
484,0.174151
485,0.17498
486,0.17597
487,0.176845
488,0.177757
489,0.178706
490,0.179486
491,0.18035
492,0.181434
493,0.182269
494,0.183077
495,0.183992
496,0.184931
497,0.185722
498,0.186603
499,0.187573
500,0.188545
501,0.189479
502,0.190283
503,0.191018
504,0.191958
505,0.193113
506,0.193993
507,0.194793
508,0.195589
509,0.196449
510,0.197313
511,0.198514
512,0.19952
513,0.200351
514,0.201154
515,0.201973
516,0.202838
517,0.203736
518,0.204547
519,0.205429
520,0.206251
521,0.206936
522,0.207629
523,0.208455
524,0.209279
525,0.210073
526,0.210724
527,0.211513
528,0.2124
529,0.213215
530,0.213924
531,0.214475
532,0.215127
533,0.215811
534,0.21638
535,0.217005
536,0.217617
537,0.218247
538,0.21899
539,0.219643
540,0.220228
541,0.220843
542,0.221477
543,0.222021
544,0.222626
545,0.223291
546,0.224048
547,0.224688
548,0.225251
549,0.225878
550,0.226783
551,0.22725
552,0.22791
553,0.228617
554,0.229217
555,0.229807
556,0.230315
557,0.230971
558,0.231532
559,0.23198
560,0.23245
561,0.233038
562,0.233351
563,0.23376
564,0.234159
565,0.234597
566,0.234952
567,0.235511
568,0.236009
569,0.236315
570,0.236648
571,0.237053
572,0.237485
573,0.23788
574,0.238089
575,0.23856
576,0.2389
577,0.239138
578,0.239475
579,0.239935
580,0.240362
581,0.240764
582,0.241095
583,0.241463
584,0.242031
585,0.24251
586,0.242735
587,0.242998
588,0.24361
589,0.244037
590,0.244415
591,0.244679
592,0.244999
593,0.245233
594,0.245626
595,0.246059
596,0.246436
597,0.246741
598,0.246924
599,0.24737
600,0.247569
601,0.247863
602,0.24836
603,0.248518
604,0.248752
605,0.24916
606,0.249605
607,0.250143
608,0.250539
609,0.250812
610,0.251165
611,0.25155
612,0.251854
613,0.252159
614,0.252432
615,0.252607
616,0.252909
617,0.253375
618,0.25378
619,0.254129
620,0.254421
621,0.254783
622,0.255209
623,0.255615
624,0.255876
625,0.256197
626,0.256557
627,0.256921
628,0.257234
629,0.25764
630,0.257937
631,0.258228
632,0.258433
633,0.258699
634,0.259509
635,0.259895
636,0.260222
637,0.260726
638,0.260842
639,0.260868
640,0.261126
641,0.261373
642,0.261615
643,0.261757
644,0.262064
645,0.262208
646,0.262406
647,0.262747
648,0.262931
649,0.263029
650,0.263431
651,0.26368
652,0.263961
653,0.264292
654,0.264422
655,0.264899
656,0.265387
657,0.26542
658,0.265352
659,0.265284
660,0.265236
661,0.265393
662,0.265611
663,0.265582
664,0.265525
665,0.265722
666,0.265963
667,0.266176
668,0.266371
669,0.266645
670,0.266894
671,0.267337
672,0.267799
673,0.268199
674,0.268553
675,0.269036
676,0.269514
677,0.270178
678,0.270906
679,0.271771
680,0.272476
681,0.273283
682,0.274292
683,0.275503
684,0.276946
685,0.278416
686,0.279631
687,0.2811
688,0.283036
689,0.284761
690,0.28624
691,0.287924
692,0.289683
693,0.291215
694,0.292806
695,0.294321
696,0.295944
697,0.297267
698,0.298545
699,0.30003
700,0.301551
701,0.302902
702,0.303999
703,0.305567
704,0.307104
705,0.308157
706,0.309524
707,0.311285
708,0.312858
709,0.314165
710,0.31567
711,0.317374
712,0.318954
713,0.320394
714,0.322044
715,0.32346
716,0.325028
717,0.326903
718,0.32804
719,0.329012
720,0.330632
721,0.332
722,0.333272
723,0.334257
724,0.335294
725,0.336807
726,0.338232
727,0.339546
728,0.340204
729,0.341157
730,0.342132
731,0.343157
732,0.344107
733,0.344957
734,0.346151
735,0.347002
736,0.347841
737,0.348895
738,0.349982
739,0.350861
740,0.351474
741,0.352114
742,0.353444
743,0.3542
744,0.354614
745,0.355242
746,0.35623
747,0.357297
748,0.357815
749,0.358862
750,0.359396
751,0.359927
752,0.360923
753,0.361717
754,0.362757
755,0.363891
756,0.36445
757,0.364958
758,0.365993
759,0.367011
760,0.367552
761,0.368042
762,0.368823
763,0.369564
764,0.370372
765,0.371305
766,0.371575
767,0.372464
768,0.374049
769,0.374685
770,0.374171
771,0.374877
772,0.376227
773,0.376922
774,0.377637
775,0.378555
776,0.379224
777,0.379959
778,0.380553
779,0.38145
780,0.382522
781,0.38355
782,0.383643
783,0.384493
784,0.385756
785,0.386656
786,0.386662
787,0.387226
788,0.388275
789,0.389262
790,0.389882
791,0.389912
792,0.390209
793,0.39082
794,0.391886
795,0.392768
796,0.393549
797,0.394619
798,0.394912
799,0.395206
800,0.396557
801,0.397228
802,0.397833
803,0.399408
804,0.400092
805,0.400534
806,0.400941
807,0.401808
808,0.403109
809,0.403537
810,0.40411
811,0.404949
812,0.405606
813,0.406314
814,0.407346
815,0.408601
816,0.408992
817,0.409137
818,0.410167
819,0.410625
820,0.410852
821,0.411223
822,0.41191
823,0.412268
824,0.413357
825,0.413936
826,0.414598
827,0.415275
828,0.41562
829,0.416622
830,0.417462
831,0.417536
832,0.418133
833,0.418937
834,0.419505
835,0.420043
836,0.420802
837,0.420971
838,0.421694
839,0.421695
840,0.420902
841,0.42189
842,0.423324
843,0.423356
844,0.423936
845,0.424879
846,0.424873
847,0.424639
848,0.425287
849,0.425877
850,0.426193
851,0.427089
852,0.427517
853,0.427158
854,0.428189
855,0.427772
856,0.427838
857,0.429074
858,0.429511
859,0.429427
860,0.428753
861,0.430506
862,0.431412
863,0.431324
864,0.432479
865,0.430897
866,0.431403
867,0.433302
868,0.434209
869,0.434074
870,0.433782
871,0.434067
872,0.435436
873,0.436812
874,0.435472
875,0.434394
876,0.43528
877,0.437494
878,0.438554
879,0.439019
880,0.439461
881,0.439802
882,0.439931
883,0.44155
884,0.443553
885,0.445008
886,0.444911
887,0.444292
888,0.445083
889,0.446131
890,0.447518
891,0.448014
892,0.449429
893,0.449438
894,0.450259
895,0.451005
896,0.451477
897,0.451805
898,0.453121
899,0.453839
900,0.454306
901,0.455564
902,0.456128
903,0.456341
904,0.457274
905,0.458161
906,0.458073
907,0.458548
908,0.459856
909,0.460152
910,0.459698
911,0.460448
912,0.461476
913,0.461915
914,0.461619
915,0.462551
916,0.463821
917,0.464231
918,0.464525
919,0.465092
920,0.465088
921,0.464652
922,0.465525
923,0.466365
924,0.466161
925,0.466452
926,0.467908
927,0.468523
928,0.468527
929,0.468517
930,0.468575
931,0.469075
932,0.469826
933,0.470366
934,0.470531
935,0.47069
936,0.47097
937,0.471091
938,0.47152
939,0.472045
940,0.472458
941,0.472874
942,0.473502
943,0.472995
944,0.473087
945,0.474344
946,0.475094
947,0.474353
948,0.474465
949,0.475107
950,0.475339
951,0.475487
952,0.476129
953,0.476244
954,0.476117
955,0.47648
956,0.477134
957,0.477773
958,0.478017
959,0.477441
960,0.477545
961,0.478139
962,0.478971
963,0.479314
964,0.479488
965,0.479984
966,0.479228
967,0.478414
968,0.479908
969,0.481083
970,0.480776
971,0.48098
972,0.481248
973,0.481141
974,0.481305
975,0.482577
976,0.482586
977,0.482596
978,0.482939
979,0.483166
980,0.483569
981,0.483124
982,0.48392
983,0.48402
984,0.483639
985,0.483817
986,0.48492
987,0.485118
988,0.484506
989,0.484409
990,0.484593
991,0.485399
992,0.485256
993,0.485385
994,0.485244
995,0.490923
996,0.492887
997,0.493381
998,0.493701
999,0.493914
1000,0.493978
1001,0.494138
1002,0.494872
1003,0.49481
1004,0.495309
1005,0.495952
1006,0.496217
1007,0.495721
1008,0.495284
1009,0.49539
1010,0.496267
1011,0.496494
1012,0.496983
1013,0.497426
1014,0.497764
1015,0.498531
1016,0.498342
1017,0.49844
1018,0.499823
1019,0.500157
1020,0.500338
1021,0.499616
1022,0.499924
1023,0.50063
1024,0.500311
1025,0.500022
1026,0.500972
1027,0.502027
1028,0.502337
1029,0.502545
1030,0.50322
1031,0.503256
1032,0.503358
1033,0.503729
1034,0.503821
1035,0.503432
1036,0.504026
1037,0.504344
1038,0.504115
1039,0.504483
1040,0.505325
1041,0.505547
1042,0.50572
1043,0.507024
1044,0.506625
1045,0.507285
1046,0.507988
1047,0.507814
1048,0.508145
1049,0.507925
1050,0.508421
1051,0.508939
1052,0.509225
1053,0.50953
1054,0.510441
1055,0.51111
1056,0.510971
1057,0.510651
1058,0.510476
1059,0.511074
1060,0.51169
1061,0.511918
1062,0.51242
1063,0.513251
1064,0.513752
1065,0.514149
1066,0.51437
1067,0.514514
1068,0.514631
1069,0.514523
1070,0.514558
1071,0.514445
1072,0.514742
1073,0.514539
1074,0.514521
1075,0.514664
1076,0.516048
1077,0.516506
1078,0.516519
1079,0.517088
1080,0.517097
1081,0.517169
1082,0.517716
1083,0.51849
1084,0.51895
1085,0.519238
1086,0.519713
1087,0.519767
1088,0.519315
1089,0.51847
1090,0.518276
1091,0.519433
1092,0.519779
1093,0.520091
1094,0.520671
1095,0.521062
1096,0.521002
1097,0.520989
1098,0.521193
1099,0.520737
1100,0.522072
1101,0.523377
1102,0.523537
1103,0.523332
1104,0.523204
1105,0.523763
1106,0.524438
1107,0.524608
1108,0.524893
1109,0.524869
1110,0.524872
1111,0.524923
1112,0.524976
1113,0.52497
1114,0.525433
1115,0.527299
1116,0.527404
1117,0.526846
1118,0.527284
1119,0.527031
1120,0.527495
1121,0.527972
1122,0.527454
1123,0.526365
1124,0.527213
1125,0.527915
1126,0.528587
1127,0.528937
1128,0.529173
1129,0.529117
1130,0.52908
1131,0.528459
1132,0.528968
1133,0.529511
1134,0.529876
1135,0.530442
1136,0.531336
1137,0.531244
1138,0.531183
1139,0.531512
1140,0.531967
1141,0.530987
1142,0.530937
1143,0.531295
1144,0.530769
1145,0.53145
1146,0.53078
1147,0.530767
1148,0.532514
1149,0.533567
1150,0.532469
1151,0.531314
1152,0.531632
1153,0.531327
1154,0.532056
1155,0.532961
1156,0.533508
1157,0.533484
1158,0.532517
1159,0.532238
1160,0.532692
1161,0.533109
1162,0.532525
1163,0.53181
1164,0.531427
1165,0.531181
1166,0.533029
1167,0.534987
1168,0.534665
1169,0.53259
1170,0.532338
1171,0.531968
1172,0.531912
1173,0.531998
1174,0.532201
1175,0.533261
1176,0.533374
1177,0.532738
1178,0.5321
1179,0.531341
1180,0.531329
1181,0.530942
1182,0.531084
1183,0.53114
1184,0.531259
1185,0.53157
1186,0.531777
1187,0.531814
1188,0.531999
1189,0.532746
1190,0.532678
1191,0.5328
1192,0.533467
1193,0.533219
1194,0.533215
1195,0.532854
1196,0.532523
1197,0.53321
1198,0.53455
1199,0.534494
1200,0.534538
1201,0.534553
1202,0.533869
1203,0.534093
1204,0.534986
1205,0.535388
1206,0.534566
1207,0.534255
1208,0.535414
1209,0.536027
1210,0.535981
1211,0.536559
1212,0.536662
1213,0.535961
1214,0.535976
1215,0.537315
1216,0.537533
1217,0.537714
1218,0.538377
1219,0.539439
1220,0.540166
1221,0.540436
1222,0.540625
1223,0.541707
1224,0.542271
1225,0.542375
1226,0.542832
1227,0.543915
1228,0.544532
1229,0.544858
1230,0.544917
1231,0.544691
1232,0.545248
1233,0.546104
1234,0.546298
1235,0.547714
1236,0.547811
1237,0.547767
1238,0.547899
1239,0.548662
1240,0.549458
1241,0.549317
1242,0.549255
1243,0.54965
1244,0.550265
1245,0.55042
1246,0.55057
1247,0.551044
1248,0.552466
1249,0.552814
1250,0.552253
1251,0.552772
1252,0.553616
1253,0.553813
1254,0.55475
1255,0.555009
1256,0.554466
1257,0.555295
1258,0.555911
1259,0.556262
1260,0.556109
1261,0.556016
1262,0.556288
1263,0.55604
1264,0.556191
1265,0.556657
1266,0.557204
1267,0.557651
1268,0.557154
1269,0.55806
1270,0.559114
1271,0.559047
1272,0.559831
1273,0.559522
1274,0.558826
1275,0.558978
1276,0.558992
1277,0.558628
1278,0.559092
1279,0.559721
1280,0.560445
1281,0.561215
1282,0.561536
1283,0.561724
1284,0.562066
1285,0.561999
1286,0.562067
1287,0.562254
1288,0.562927
1289,0.563511
1290,0.563865
1291,0.563609
1292,0.563674
1293,0.563905
1294,0.563574
1295,0.563759
1296,0.563921
1297,0.564482
1298,0.565233
1299,0.565121
1300,0.565359
1301,0.565709
1302,0.565919
1303,0.565171
1304,0.564974
1305,0.564741
1306,0.564738
1307,0.56508
1308,0.565669
1309,0.56564
1310,0.566054
1311,0.566985
1312,0.566801
1313,0.566853
1314,0.566958
1315,0.566493
1316,0.566875
1317,0.566808
1318,0.56628
1319,0.565839
1320,0.565901
1321,0.56643
1322,0.566092
1323,0.565955
1324,0.565913
1325,0.566146
1326,0.565888
1327,0.566213
1328,0.566167
1329,0.566279
1330,0.567214
1331,0.566714
1332,0.567374
1333,0.567966
1334,0.567352
1335,0.56713
1336,0.567197
1337,0.567384
1338,0.567252
1339,0.566285
1340,0.565959
1341,0.565797
1342,0.564294
1343,0.564176
1344,0.56428
1345,0.564487
1346,0.563994
1347,0.564029
1348,0.563409
1349,0.562809
1350,0.563159
1351,0.563638
1352,0.563656
1353,0.562518
1354,0.561993
1355,0.561493
1356,0.562569
1357,0.563507
1358,0.563601
1359,0.563357
1360,0.561948
1361,0.561959
1362,0.562247
1363,0.56194
1364,0.561246
1365,0.559192
1366,0.558077
1367,0.558277
1368,0.560115
1369,0.560777
1370,0.559224
1371,0.558172
1372,0.556928
1373,0.557188
1374,0.55682
1375,0.555952
1376,0.555746
1377,0.554729
1378,0.554032
1379,0.55308
1380,0.551744
1381,0.551039
1382,0.551534
1383,0.551776
1384,0.550255
1385,0.549395
1386,0.548341
1387,0.547856
1388,0.547481
1389,0.546662
1390,0.545007
1391,0.542756
1392,0.540369
1393,0.538872
1394,0.53726
1395,0.536427
1396,0.534378
1397,0.532371
1398,0.531602
1399,0.530335
1400,0.527985
1401,0.526046
1402,0.524228
1403,0.522257
1404,0.520535
1405,0.518979
1406,0.516905
1407,0.514656
1408,0.512917
1409,0.510819
1410,0.508492
1411,0.506128
1412,0.50363
1413,0.500971
1414,0.49878
1415,0.498026
1416,0.496723
1417,0.495427
1418,0.493244
1419,0.491311
1420,0.490291
1421,0.489446
1422,0.488211
1423,0.485765
1424,0.48519
1425,0.484385
1426,0.483498
1427,0.482881
1428,0.480853
1429,0.479464
1430,0.477789
1431,0.477256
1432,0.476547
1433,0.474826
1434,0.473994
1435,0.473833
1436,0.473175
1437,0.471404
1438,0.470719
1439,0.470513
1440,0.4691
1441,0.468939
1442,0.468564
1443,0.467269
1444,0.467302
1445,0.468021
1446,0.468691
1447,0.468794
1448,0.467934
1449,0.467215
1450,0.467388
1451,0.468728
1452,0.469411
1453,0.469399
1454,0.468894
1455,0.468977
1456,0.469147
1457,0.468426
1458,0.467821
1459,0.468002
1460,0.468434
1461,0.468859
1462,0.469206
1463,0.469011
1464,0.470242
1465,0.470821
1466,0.471276
1467,0.471648
1468,0.472378
1469,0.472477
1470,0.472454
1471,0.473624
1472,0.474592
1473,0.47515
1474,0.475747
1475,0.47625
1476,0.476526
1477,0.477061
1478,0.478204
1479,0.479341
1480,0.479932
1481,0.480204
1482,0.480589
1483,0.481806
1484,0.482765
1485,0.483269
1486,0.483529
1487,0.483796
1488,0.485107
1489,0.485595
1490,0.485703
1491,0.486977
1492,0.487374
1493,0.488055
1494,0.489581
