# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Sasa senanensis laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.123894,0.0655376,0.066896,1.90113e-06
351,0.0475982,0.0584813,0.026317,1.91408e-06
352,1.92325e-06,0.0568879,0.00768532,0.0199433
353,1.9688e-06,1.96879e-06,0.0790915,1.89024e-06
354,1.99453e-06,0.00819453,0.115714,0.0196221
355,0.0243732,0.0299913,0.124233,0.0623944
356,0.0092999,0.0293716,0.10171,0.0187442
357,0.00814349,0.0354095,0.0776779,0.00282919
358,1.93191e-06,0.0151191,0.0533457,0.00551945
359,1.92798e-06,1.92798e-06,0.0279712,0.0242236
360,0.0146453,0.0190513,0.0548754,0.0468196
361,0.00268236,0.0105271,0.065481,0.0484326
362,1.92369e-06,1.92369e-06,0.0679265,0.0387225
363,0.0419456,0.0253615,0.0820687,0.0352233
364,0.0433352,0.0235684,0.0844484,0.0525769
365,0.0297124,0.00581546,0.0747818,0.0520368
366,0.039283,1.93583e-06,0.0467591,1.93046e-06
367,0.0290655,0.00257249,0.0625715,1.91698e-06
368,0.0216305,0.00348572,0.0663537,0.00197884
369,0.0223531,1.92214e-06,0.0467407,0.0483627
370,0.0562421,1.89992e-06,0.0694139,0.0336461
371,0.0604016,1.89839e-06,0.068564,0.0235011
372,0.0448176,1.91402e-06,0.0520583,0.0164404
373,0.0520771,0.00720148,0.0594821,1.93391e-06
374,0.0436317,3.41351e-05,0.0707258,1.94428e-06
375,0.0304641,1.9556e-06,0.0755223,1.94052e-06
376,0.0234658,0.0128155,0.0556065,1.92613e-06
377,0.0363175,0.00819255,0.0589546,0.00122201
378,0.0409566,1.92055e-06,0.0630297,0.0111765
379,0.0270529,1.9341e-06,0.0609817,0.00632781
380,0.0316377,0.0235652,0.0526981,0.0147806
381,0.0341437,0.0277118,0.0532034,0.016953
382,0.0347238,0.00815627,0.0610964,0.0130156
383,0.0437417,1.92849e-06,0.0638132,0.00844915
384,0.0386164,0.00140122,0.0662074,0.00431742
385,0.0296455,0.0142471,0.0676088,0.00296651
386,0.0319667,0.0150823,0.0664209,0.0108638
387,0.0349103,0.00605966,0.0614005,0.0109575
388,0.0366321,1.94258e-06,0.0599046,0.0120065
389,0.0361196,0.00332585,0.0662012,0.0180799
390,0.0367588,0.0117924,0.0592606,0.0129639
391,0.0377609,0.0136007,0.0610065,0.0102196
392,0.0393938,0.00877661,0.0716472,0.0106883
393,0.0482388,0.00800368,0.0716142,0.00836074
394,0.0517265,0.00660123,0.0702975,0.0125963
395,0.0515635,0.00560581,0.0689753,0.0167436
396,0.0488707,0.00752355,0.0704738,0.00581714
397,0.0422054,0.00843185,0.0691205,1.92983e-06
398,0.0380637,0.0112752,0.0703308,1.92842e-06
399,0.0413158,0.0185329,0.0782275,0.00736266
400,0.0374379,0.00960743,0.0751425,0.00950147
401,0.0360431,0.00223417,0.0744664,0.0104661
402,0.03829,1.94588e-06,0.0776157,0.0109904
403,0.0436813,0.0065037,0.0747085,0.011433
404,0.0469074,0.00871289,0.0752889,0.0125822
405,0.0479675,0.00768435,0.0779641,0.0133436
406,0.0451111,0.00779658,0.0799761,0.0101021
407,0.0420393,0.00648739,0.0798889,0.0107674
408,0.0403425,0.0062405,0.0808055,0.0127276
409,0.0419452,0.00946915,0.0855769,0.0147157
410,0.0442583,0.0107674,0.080819,0.0107654
411,0.047134,0.0112736,0.0786412,0.00949278
412,0.0505925,0.0111811,0.0813264,0.0125193
413,0.0436852,0.0110977,0.0836642,0.00943725
414,0.0442447,0.0109359,0.0850909,0.0107511
415,0.0492229,0.0111072,0.0855226,0.0143856
416,0.0478416,0.0137518,0.083774,0.012668
417,0.0497073,0.0139418,0.0833501,0.0128713
418,0.0513986,0.0135178,0.0841258,0.0131314
