# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Sasa senanensis laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0605798,0.0102233,0.05927,0.00732629
351,0.0582711,0.00919856,0.0591162,0.00635703
352,0.057617,0.00651958,0.0578844,0.00566368
353,0.0579677,0.00754476,0.0585578,0.00893664
354,0.0588236,0.00651017,0.0581954,0.0076977
355,0.0590999,0.00474796,0.0569029,0.00615225
356,0.0580776,0.00286493,0.0545855,0.00711518
357,0.0594055,0.00352021,0.0552377,0.00641643
358,0.0595402,0.00456912,0.0555132,0.00597253
359,0.0580136,0.00568307,0.0549707,0.00610292
360,0.0568075,0.00444798,0.0530909,0.00456909
361,0.0567947,0.00436643,0.0544847,0.00512261
362,0.0576398,0.00501785,0.0572635,0.00680462
363,0.0577251,0.00540714,0.054611,0.00699858
364,0.0580625,0.00347127,0.0547373,0.00667204
365,0.0574497,0.00176352,0.0554345,0.00593339
366,0.0543956,0.00284649,0.0550261,0.00466895
367,0.0554524,0.00189828,0.0539791,0.00416205
368,0.0567644,0.00163142,0.0537604,0.00431613
369,0.0573606,0.00273572,0.0546927,0.00515081
370,0.0559557,0.00376055,0.0540485,0.00464388
371,0.05536,0.00462663,0.0550096,0.00402221
372,0.0552758,0.0052599,0.0569969,0.00341671
373,0.0544069,0.00508492,0.0574442,0.00343662
374,0.0544873,0.00451755,0.0573381,0.00434569
375,0.0549381,0.00378936,0.0572947,0.00496149
376,0.0547316,0.00305583,0.0577052,0.00345861
377,0.0539909,0.00344349,0.0579557,0.00330348
378,0.0538409,0.0038592,0.0584517,0.0033819
379,0.0543616,0.00390993,0.0589354,0.00332956
380,0.0544907,0.00391308,0.0589176,0.00380141
381,0.0544217,0.00384152,0.059772,0.00424166
382,0.0540721,0.00374359,0.0611433,0.00457455
383,0.0535591,0.00415707,0.0606662,0.00441174
384,0.0537063,0.00367552,0.0607857,0.00421033
385,0.0539262,0.00313764,0.0615491,0.0040241
386,0.0527931,0.00397113,0.0630627,0.00391725
387,0.0529456,0.00375174,0.0636871,0.00373097
388,0.0535043,0.0032631,0.0642958,0.00390759
389,0.0538361,0.00276588,0.0648825,0.00472283
390,0.0539742,0.00380707,0.0655306,0.00380612
391,0.0538506,0.00419846,0.066359,0.00352391
392,0.0535769,0.00386135,0.0674931,0.00397781
393,0.052765,0.00414101,0.0681907,0.00365668
394,0.0527021,0.00442479,0.0692339,0.00398193
395,0.0530386,0.00455793,0.070288,0.00458922
396,0.0532748,0.00408437,0.0706462,0.00487682
397,0.0531959,0.00393237,0.0713888,0.00498081
398,0.0530334,0.004185,0.0724673,0.00507603
399,0.0528661,0.00503662,0.0739482,0.00526603
400,0.0530039,0.00502266,0.0742106,0.00555556
401,0.0530032,0.00513665,0.0751135,0.00552828
402,0.0528358,0.0054868,0.0768693,0.00516249
403,0.053079,0.00529406,0.0781644,0.00537179
404,0.0528657,0.00540032,0.078909,0.00534155
405,0.0525546,0.00566765,0.0794002,0.0052454
406,0.0529295,0.00577135,0.0800108,0.0055608
407,0.0529199,0.00606356,0.0811808,0.00563891
408,0.052746,0.00629921,0.082353,0.00572225
409,0.0525461,0.00627515,0.0832173,0.00600965
410,0.05307,0.00690843,0.0843832,0.00653269
411,0.0534456,0.00739586,0.08537,0.00702659
412,0.0534983,0.00758362,0.0860742,0.00744216
413,0.0532282,0.00766233,0.0867572,0.00727319
414,0.0532284,0.00788161,0.0875885,0.00752457
415,0.0533053,0.00821548,0.0883403,0.00801533
416,0.0533406,0.00874728,0.0891325,0.00819275
417,0.0533914,0.0087605,0.0897468,0.00848626
418,0.053462,0.00875747,0.0902881,0.00885811
419,0.0537436,0.00930138,0.091123,0.00935172
420,0.0535595,0.00963465,0.0915577,0.00938201
421,0.0535515,0.0100743,0.0920304,0.00964228
422,0.0539694,0.0107369,0.0927647,0.0103618
423,0.0540349,0.0109558,0.0935084,0.010227
424,0.0540211,0.0112706,0.0940227,0.0102689
425,0.0540051,0.0116378,0.0944247,0.0104922
426,0.0540106,0.0116011,0.0947339,0.0107561
427,0.0541489,0.0119056,0.0950349,0.0110531
428,0.0543442,0.0122829,0.0954602,0.0113794
429,0.0542654,0.012352,0.0958268,0.011703
430,0.0541521,0.0125917,0.0959755,0.0116765
431,0.0540785,0.0128575,0.0962594,0.0116444
432,0.054024,0.0130933,0.0967498,0.0117246
433,0.0540717,0.013312,0.0970306,0.0121459
434,0.0540465,0.0136038,0.0972476,0.0124165
435,0.0540387,0.0139735,0.0975588,0.0125657
436,0.0542761,0.014257,0.0980098,0.0129671
437,0.0543875,0.0144313,0.098342,0.0130975
438,0.0543796,0.014559,0.0985,0.0131194
439,0.0543552,0.0147778,0.0985643,0.0133189
440,0.0545628,0.0149215,0.098725,0.0135875
441,0.0547086,0.0151604,0.0989316,0.0138128
442,0.0545797,0.0156051,0.0990867,0.0139136
443,0.0546168,0.015934,0.0994869,0.0142617
444,0.054571,0.0162452,0.0998426,0.0144747
445,0.0543885,0.0165253,0.100021,0.0145166
446,0.0547307,0.0166276,0.100137,0.0147718
447,0.0549508,0.016879,0.100433,0.0151141
448,0.0550438,0.0171911,0.100707,0.0154507
449,0.0552351,0.0174742,0.100992,0.0156143
450,0.0553616,0.0176732,0.101179,0.0158707
451,0.0553912,0.0178822,0.101316,0.0160909
452,0.0552499,0.0181708,0.1014,0.0161664
453,0.0553715,0.0184673,0.101657,0.0163961
454,0.0555446,0.0187488,0.101927,0.0166338
455,0.0557191,0.0190065,0.102158,0.0168524
456,0.05577,0.0193179,0.102371,0.0172266
457,0.0558327,0.0194992,0.102446,0.0175355
458,0.0558952,0.0196117,0.102475,0.0177747
459,0.0557796,0.0198107,0.102545,0.0178393
460,0.0557991,0.020033,0.102711,0.0179768
461,0.0558711,0.0202694,0.10288,0.0181717
462,0.0559376,0.0205144,0.102956,0.0184396
463,0.055991,0.020731,0.102958,0.0185551
464,0.0560721,0.0208949,0.102999,0.0186881
465,0.0561386,0.0209751,0.103006,0.018863
466,0.0561694,0.0211604,0.103118,0.0190547
467,0.0562887,0.0213514,0.103336,0.0192042
468,0.0564614,0.0215672,0.103614,0.0193453
469,0.0564238,0.0218964,0.103546,0.0196201
470,0.0564903,0.0221764,0.103676,0.0199321
471,0.0566739,0.0224096,0.103921,0.0202412
472,0.0569189,0.022523,0.103986,0.0204472
