# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Sasa senanensis laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0480454,0.00587069,0.0505468,0.00582337
351,0.0457669,0.00865408,0.0511465,0.00352024
352,0.0421965,0.0101362,0.0515145,0.000678888
353,0.0445091,0.00971586,0.0505255,1.88219e-06
354,0.0450439,0.00931911,0.0497799,0.000785711
355,0.0462565,0.00822942,0.0494473,0.00294447
356,0.0503258,0.00568837,0.0500062,0.00676437
357,0.048422,0.00437076,0.0488147,0.00475025
358,0.0465931,0.00511122,0.048872,0.00268783
359,0.045909,0.00806031,0.0507486,0.00152147
360,0.0435459,0.00577073,0.0499175,1.89235e-06
361,0.0435578,0.00374697,0.0486464,0.000691124
362,0.0452368,0.00219137,0.0476907,0.00272392
363,0.0465436,0.00207829,0.0491266,0.00297101
364,0.0458249,0.00330256,0.0493631,0.00296703
365,0.0451154,0.00475802,0.0485869,0.00281259
366,0.0465366,0.00556178,0.046598,0.00252937
367,0.0455247,0.00566367,0.0472586,0.00179723
368,0.0449656,0.00513798,0.0484949,0.00141982
369,0.045502,0.00393997,0.0497994,0.00160975
370,0.0457893,0.00317888,0.0494867,0.00181947
371,0.0458253,0.00321286,0.0506238,0.00205502
372,0.0456681,0.00391535,0.0525044,0.00230209
373,0.0459402,0.00509154,0.0515541,0.0025065
374,0.0457071,0.00436174,0.0506836,0.00240703
375,0.0455016,0.00356834,0.0509117,0.00236126
376,0.0456682,0.00516522,0.053875,0.00287146
377,0.0453831,0.0038323,0.0535567,0.0028475
378,0.0456746,0.00253927,0.0536132,0.00288467
379,0.0466527,0.00227787,0.0549543,0.00317783
380,0.0463626,0.00308409,0.0550746,0.00219454
381,0.0463357,0.00395314,0.0556779,0.00211326
382,0.0464488,0.00460385,0.0565688,0.00275759
383,0.0457846,0.00291876,0.0563368,0.00179594
384,0.0462701,0.00345876,0.057644,0.00219509
385,0.0469046,0.00460087,0.0594021,0.002845
386,0.0456543,0.00388039,0.0596029,0.00193121
387,0.0451852,0.00359027,0.0606521,0.00160816
388,0.0453456,0.00375711,0.0616696,0.0020773
389,0.0459382,0.00449171,0.0618628,0.00363353
390,0.0457473,0.00416262,0.0629812,0.00327563
391,0.0457607,0.00396038,0.0641757,0.00289093
392,0.0461127,0.00400527,0.065481,0.00267302
393,0.0458421,0.00450877,0.0660448,0.00305292
394,0.0463825,0.00402461,0.0670983,0.00345278
395,0.0470357,0.00339166,0.06833,0.00370835
396,0.0463179,0.00440249,0.0692175,0.00335441
397,0.0464886,0.00499881,0.0703148,0.00342946
398,0.046672,0.00515092,0.0713336,0.00341909
399,0.0463032,0.00468303,0.0720447,0.00297097
400,0.046376,0.00464338,0.0727798,0.00302763
401,0.0465675,0.00479244,0.0738068,0.00328852
402,0.0468303,0.00508662,0.0751386,0.00370212
403,0.0466626,0.00522771,0.0753074,0.00403619
404,0.046744,0.00559275,0.0761183,0.00427419
405,0.0469846,0.00597793,0.0773127,0.00444834
406,0.0469969,0.00574006,0.0780361,0.00459242
407,0.0469975,0.00577256,0.079066,0.00443321
408,0.0470049,0.00592878,0.080155,0.00434569
409,0.0470845,0.00616516,0.0812621,0.00465848
410,0.0472849,0.00611331,0.0817246,0.00504493
411,0.0472192,0.00639532,0.0825762,0.00533972
412,0.0467985,0.00713836,0.0840084,0.00550923
413,0.0469573,0.00748295,0.084559,0.00543377
414,0.0471586,0.00748753,0.0850806,0.00577352
415,0.0473502,0.00735893,0.0854795,0.00634966
416,0.0479716,0.00804109,0.0863827,0.00658795
417,0.0479038,0.00820158,0.0869664,0.00672695
418,0.0476154,0.00819921,0.0874256,0.00684343
419,0.0476209,0.00835263,0.0881846,0.00703539
420,0.0475825,0.0087276,0.0886057,0.00702938
421,0.0476303,0.00897478,0.0889644,0.00709949
422,0.0478607,0.00899601,0.0894207,0.00734155
423,0.0479751,0.00943939,0.0901536,0.00765983
424,0.0480354,0.00989098,0.0905798,0.00798913
425,0.0480813,0.0102767,0.090815,0.00828913
426,0.0479748,0.0100679,0.0909052,0.00822012
427,0.0481043,0.0103147,0.0912467,0.00841957
428,0.0483469,0.0106138,0.0916827,0.00867267
