# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Sasa senanensis laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,1.95668e-06,0.140259,0.0802416,0.0445211
351,1.93757e-06,0.133386,0.0629321,0.00767892
352,1.92325e-06,0.0892081,0.0793756,1.82232e-06
353,0.00566324,0.0474911,0.0991033,1.87036e-06
354,0.0115643,0.0724289,0.0669704,0.0535424
355,1.99887e-06,0.0872636,0.0416215,0.119887
356,1.9766e-06,0.0276417,0.0604553,0.0631863
357,1.94914e-06,0.084342,0.0359811,0.0427612
358,1.93191e-06,0.0820596,0.0179435,0.0280983
359,0.0226972,1.90688e-06,0.0136732,0.014783
360,1.90881e-06,0.00679535,0.0681292,0.00298277
361,0.00347523,0.0178228,0.0814224,1.86403e-06
362,0.0315226,0.0367173,0.0693395,1.91527e-06
363,0.0266304,0.0864062,0.040423,0.000522786
364,0.0233159,0.050532,0.042973,0.0189034
365,0.0200643,1.96761e-06,0.0471464,0.0350599
366,0.0158244,1.95268e-06,0.0265765,0.0371448
367,0.012655,1.95133e-06,0.0362598,0.0350357
368,0.0141518,0.00642475,0.0417178,0.0231095
369,0.0211178,0.0316993,0.0359532,1.91549e-06
370,0.0388701,0.00447885,0.0563519,0.00347201
371,0.0402453,1.90821e-06,0.0525689,1.90221e-06
372,0.0301453,0.011747,0.0343569,1.91934e-06
373,0.0269432,0.0317531,0.0460281,1.93749e-06
374,0.0280372,0.0259146,0.0524,1.94854e-06
375,0.0290339,0.0100846,0.0524781,1.94823e-06
376,0.0241329,1.9433e-06,0.0411434,0.00984997
377,0.0369167,0.00416771,0.04009,0.00477724
378,0.0427212,0.00752819,0.0450996,1.91803e-06
379,0.0322549,0.00482339,0.0556296,1.91867e-06
380,0.0306434,1.92481e-06,0.0423653,0.000721536
381,0.0397314,1.92059e-06,0.0433869,0.00430585
382,0.0546732,0.000515541,0.0578094,0.00751962
383,0.0382995,0.00128931,0.0694791,0.00356105
384,0.0362479,0.00702654,0.0669869,0.00642923
385,0.040388,0.011748,0.0563119,0.00977978
386,0.0409718,0.00503356,0.0412607,0.00308642
387,0.0368962,0.000855347,0.0406775,0.00711232
388,0.0325227,0.00122399,0.0465559,0.0124781
389,0.0298655,0.00805072,0.056418,0.0150593
390,0.037719,1.93802e-06,0.0617205,0.0139942
391,0.046012,1.93429e-06,0.0633409,0.0105773
392,0.0530513,0.00606645,0.0615841,0.00581444
393,0.0484511,0.0144032,0.05711,0.0132988
394,0.0415032,0.0174266,0.0531424,0.0125662
395,0.0357633,0.0160747,0.0517312,0.00865604
396,0.0401789,0.00911399,0.0593279,0.0106846
397,0.0393525,0.00724842,0.0676216,0.0110537
398,0.0392265,0.00765867,0.0730278,0.0100275
399,0.0436318,0.00946304,0.0729255,0.00726655
400,0.0328498,0.00593702,0.0704746,0.0112978
401,0.0325481,0.00728951,0.0682498,0.011971
402,0.0449586,0.0142078,0.0667078,0.00838386
403,0.0433619,0.0142048,0.0723975,0.0106315
404,0.0416007,0.0102518,0.0782794,0.0110484
405,0.041,0.00596292,0.0826098,0.0106965
406,0.0465127,0.0119605,0.078986,0.0122364
407,0.0461577,0.010902,0.0795984,0.0118017
408,0.0430478,0.0103022,0.0786604,0.0111367
409,0.0380307,0.0160897,0.0709312,0.0114351
410,0.0411395,0.0135422,0.0766915,0.011625
411,0.042787,0.0119533,0.0813669,0.011597
412,0.0411962,0.0130704,0.0822829,0.0113285
413,0.045556,0.0129355,0.0859301,0.0125231
414,0.0467577,0.0117095,0.0855792,0.0142783
415,0.0457249,0.00999631,0.0830486,0.0159396
416,0.0451898,0.0100939,0.0851033,0.014527
417,0.0456154,0.0133204,0.0851857,0.0137807
418,0.045972,0.0160053,0.0849014,0.0140302
419,0.045125,0.0139735,0.0857614,0.0162123
420,0.04785,0.0143159,0.0862535,0.0146715
421,0.0492644,0.0155814,0.086077,0.014646
422,0.0478766,0.0174946,0.085064,0.0177427
423,0.0479137,0.0154952,0.086796,0.0135524
424,0.0471498,0.014243,0.0876462,0.0138172
425,0.0458836,0.0135103,0.0877196,0.0178554
426,0.0463678,0.0110884,0.087907,0.0209399
427,0.0464726,0.0123545,0.0893368,0.0184866
428,0.0464261,0.0140012,0.0904533,0.0150914
429,0.0464559,0.0116689,0.0889295,0.0165902
430,0.048557,0.0151137,0.0902256,0.0174504
431,0.0494813,0.0178413,0.09109,0.0169304
432,0.0477284,0.0172891,0.0901914,0.0144354
433,0.047249,0.016782,0.0905122,0.0143914
434,0.0467645,0.0165729,0.0914438,0.015372
435,0.046247,0.0167153,0.0927004,0.0171952
436,0.0462823,0.017968,0.0919638,0.0198181
437,0.0470853,0.0185046,0.0918461,0.0202204
438,0.0481263,0.0185797,0.0919632,0.0197423
439,0.0485673,0.0183645,0.0917379,0.0203373
440,0.0482207,0.0195447,0.0923242,0.0197794
441,0.0479974,0.0204827,0.0929173,0.018578
442,0.0483963,0.0202855,0.0931255,0.0167315
443,0.0479063,0.0210115,0.0931179,0.0195806
444,0.0483005,0.0210152,0.0930516,0.0219073
445,0.0496381,0.0202124,0.0929316,0.0231291
446,0.0497696,0.0201439,0.0924389,0.0217028
447,0.0489924,0.0206229,0.0930466,0.0230017
448,0.0479723,0.0215564,0.0939306,0.0248624
449,0.0483355,0.0230355,0.0930735,0.0218504
450,0.0477353,0.0231135,0.0936411,0.0213942
451,0.0475195,0.0224955,0.0945643,0.0218188
452,0.0487969,0.0213366,0.0952698,0.0223641
453,0.0486975,0.0222696,0.093845,0.0227428
454,0.0491433,0.0233778,0.093134,0.0234677
455,0.0504079,0.0243053,0.0935841,0.024609
456,0.0499993,0.0225263,0.0934383,0.0248849
457,0.0495519,0.0227217,0.0938918,0.0255254
458,0.04919,0.0241764,0.0947684,0.0260454
459,0.0494551,0.0249268,0.0956533,0.0244649
460,0.0490428,0.0245895,0.0952802,0.0245209
