# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Solidago altissima laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0559225,0.0137847,0.0678863,0.0198948
351,0.0527166,0.0126082,0.0682608,0.0182487
352,0.0470353,0.0103246,0.0693774,0.0134083
353,0.0480589,0.00739889,0.0646824,0.0125749
354,0.0486405,0.00702329,0.0639765,0.011879
355,0.0501608,0.00744989,0.0638648,0.011927
356,0.0541904,0.00779605,0.0624447,0.0134806
357,0.0548762,0.0105172,0.0624925,0.0141158
358,0.0543478,0.0104255,0.0626719,0.013663
359,0.0530407,0.00668446,0.0628816,0.0121141
360,0.0513878,0.00612366,0.0642066,0.0117118
361,0.0508688,0.00591462,0.063557,0.011899
362,0.0510159,0.00583267,0.0620753,0.0121273
363,0.0495748,0.0050041,0.0619184,0.0100977
364,0.0498184,0.00576252,0.0623396,0.00972201
365,0.0504315,0.00709179,0.0635028,0.0100184
366,0.0505044,0.00834598,0.0661912,0.0104035
367,0.0493873,0.00640409,0.0638719,0.00927134
368,0.0484505,0.00546861,0.0622273,0.00820434
369,0.0479482,0.0065993,0.0625491,0.00756119
370,0.0485788,0.00639736,0.0635315,0.00841951
371,0.0489248,0.00641439,0.0637283,0.00909366
372,0.0488596,0.00661674,0.0633979,0.00946668
373,0.0479831,0.00673794,0.0644764,0.00897193
374,0.0479027,0.00674327,0.0653742,0.00799259
375,0.0482029,0.0068845,0.0662231,0.00752393
376,0.0481368,0.00754029,0.0666392,0.00915897
377,0.0478702,0.0075473,0.0670298,0.00857845
378,0.0483781,0.00752482,0.0677652,0.00825548
379,0.0497708,0.00761882,0.0685229,0.00901285
380,0.0476421,0.00796811,0.069014,0.00823308
381,0.0466932,0.00792899,0.0688815,0.00763196
382,0.0469187,0.0075127,0.0682231,0.00732457
383,0.047378,0.00706163,0.0692899,0.00773854
384,0.0477846,0.00701974,0.0705864,0.00787354
385,0.04806,0.00740325,0.0719442,0.00811071
386,0.0476035,0.00851227,0.0725968,0.00916263
387,0.0469898,0.00824666,0.0735891,0.00866971
388,0.0470169,0.00815871,0.0745394,0.00817953
389,0.0479169,0.008955,0.0748009,0.00834499
390,0.0476527,0.00964723,0.0757594,0.00901366
391,0.0475123,0.00920845,0.0759189,0.00906863
392,0.0477224,0.00780223,0.0754923,0.00860518
393,0.0483737,0.00875878,0.076741,0.0102089
394,0.0485741,0.00916632,0.0782295,0.0108088
395,0.0484504,0.00942591,0.0795774,0.0107932
396,0.048059,0.0103652,0.0798791,0.0106038
397,0.048558,0.0109116,0.0803266,0.0110527
398,0.0487043,0.0110023,0.0807748,0.0112839
399,0.0475754,0.0104335,0.081096,0.0106913
400,0.0482155,0.010693,0.0821955,0.0116544
401,0.0488158,0.0113941,0.0831385,0.0125131
402,0.0491479,0.012451,0.0838287,0.0130532
403,0.048967,0.0128773,0.0842414,0.0131171
404,0.0487783,0.0133107,0.0850421,0.0135496
405,0.0486755,0.0138707,0.0860661,0.0140851
406,0.0487819,0.0149856,0.0865779,0.0139176
407,0.0489103,0.015039,0.087087,0.014457
408,0.0491062,0.0149612,0.0874907,0.0151024
409,0.0494938,0.0154309,0.0877629,0.0154736
410,0.0495811,0.015983,0.0881548,0.0158682
411,0.0495336,0.0164786,0.0887171,0.0162232
412,0.0493685,0.0168894,0.0894502,0.0165267
413,0.050023,0.0176738,0.0900232,0.0174953
414,0.050449,0.0182132,0.0905512,0.0179644
415,0.050582,0.0185937,0.090909,0.0180928
416,0.0506476,0.019379,0.0916502,0.0186377
417,0.0507667,0.0201296,0.0921865,0.0191655
418,0.0509707,0.0206803,0.0924395,0.0196587
419,0.0515061,0.0208137,0.0924563,0.0201603
420,0.051488,0.0213313,0.0928465,0.0205097
421,0.0515584,0.0218388,0.0932486,0.020874
422,0.0519579,0.0222535,0.0936632,0.0213275
423,0.0519029,0.0224835,0.0942514,0.0212835
424,0.0518989,0.0227701,0.0943864,0.0214455
425,0.0520223,0.0231579,0.0943174,0.0218452
426,0.0523501,0.0237982,0.0950114,0.0225455
427,0.0526282,0.0240869,0.0950321,0.0230946
428,0.0529262,0.0242785,0.0950123,0.0235643
429,0.0531093,0.0245678,0.0953558,0.0239141
430,0.0530584,0.0249423,0.0953167,0.0237072
431,0.0530778,0.0253015,0.0954313,0.0237108
432,0.0532442,0.0255873,0.0958418,0.0242404
433,0.053379,0.0258827,0.0960118,0.0245123
434,0.0535298,0.0261503,0.0961705,0.0249231
435,0.0537499,0.0264404,0.0964663,0.0254705
436,0.0537567,0.0268874,0.096855,0.0255614
437,0.0539486,0.027307,0.0972986,0.0259352
438,0.0541255,0.0277459,0.0976465,0.0264053
439,0.0540644,0.0284075,0.0978581,0.0267765
440,0.0542445,0.0288995,0.0982166,0.0273318
441,0.054433,0.0293468,0.0985705,0.0278927
442,0.0544657,0.0297781,0.0987531,0.0283575
443,0.0548298,0.030518,0.099621,0.0291091
444,0.0550638,0.0311898,0.100286,0.0297457
445,0.0550847,0.0317381,0.100583,0.0302164
446,0.0553335,0.032507,0.101157,0.0309905
447,0.0555768,0.0332243,0.101797,0.0317848
448,0.0557718,0.0338856,0.102339,0.0325362
449,0.0561018,0.0346542,0.102879,0.0332428
450,0.0563148,0.0352549,0.103482,0.0339461
451,0.0564732,0.0358331,0.104002,0.0346424
452,0.056589,0.0364757,0.104285,0.035325
453,0.056783,0.0371069,0.104738,0.0358686
454,0.0570254,0.0376957,0.105173,0.0364253
455,0.0572939,0.0382274,0.105533,0.037006
456,0.0574323,0.038713,0.105908,0.0374053
457,0.057584,0.0391223,0.106091,0.0378942
458,0.0577122,0.0394871,0.106241,0.0383958
459,0.0575178,0.0398108,0.106701,0.038539
460,0.0576821,0.0401708,0.107022,0.0388656
461,0.0579668,0.0405693,0.107269,0.0392895
462,0.058202,0.0410279,0.107442,0.0397748
463,0.0582735,0.0413743,0.107626,0.0401078
464,0.058295,0.0416869,0.107812,0.0404164
465,0.0582299,0.0419379,0.107889,0.0406871
466,0.0585426,0.042197,0.108143,0.0409652
467,0.05878,0.0425208,0.108432,0.041358
468,0.058986,0.0429235,0.108767,0.0418588
469,0.0593057,0.0434591,0.109011,0.0424311
470,0.0594017,0.0439602,0.109289,0.0427851
471,0.0594984,0.0444712,0.109685,0.0431553
472,0.0597325,0.0449458,0.110109,0.0437347
473,0.0600858,0.0454796,0.11044,0.0443682
474,0.0604038,0.0460457,0.110859,0.0450132
475,0.060552,0.0465837,0.111289,0.0456037
476,0.0608426,0.0472457,0.111687,0.0462333
477,0.0610881,0.0479449,0.11211,0.0469024
478,0.0613322,0.0486836,0.112582,0.0476366
479,0.0618069,0.049422,0.113056,0.0485577
480,0.062119,0.0502284,0.113763,0.0492774
481,0.0623847,0.0510026,0.114469,0.0499739
482,0.0628346,0.0516128,0.114914,0.0509831
483,0.0631571,0.0525165,0.115473,0.0518504
484,0.0636173,0.0535972,0.116312,0.0528593
485,0.0641728,0.0547024,0.117224,0.054016
486,0.0647177,0.0556748,0.118034,0.0551902
487,0.065263,0.0568297,0.118885,0.0563795
488,0.0658707,0.0582125,0.119884,0.0576479
489,0.0665411,0.0595065,0.120817,0.0591412
490,0.0671718,0.0608737,0.121886,0.0606134
491,0.0678875,0.0624161,0.123153,0.062212
492,0.0688431,0.0643231,0.124554,0.0642077
493,0.0697059,0.0660084,0.125845,0.0660266
494,0.0706515,0.0677571,0.127185,0.0679183
495,0.0718217,0.0697707,0.128702,0.0700655
496,0.0728705,0.0719372,0.130494,0.0722693
497,0.0739822,0.0740948,0.132186,0.0746003
498,0.0752819,0.0763378,0.133922,0.0771649
499,0.076789,0.0789948,0.135944,0.0798277
500,0.0782469,0.0816656,0.138009,0.0825942
501,0.0797287,0.0843709,0.140105,0.0854783
502,0.0815043,0.0872595,0.142279,0.0886828
503,0.0832722,0.0902487,0.144556,0.0918322
504,0.0851717,0.0934012,0.147012,0.0951379
505,0.0872603,0.0967412,0.149597,0.0987319
506,0.0895067,0.100327,0.152371,0.102515
507,0.0918547,0.10393,0.155152,0.106399
508,0.094328,0.107552,0.157959,0.11041
509,0.0968246,0.111544,0.16096,0.114412
510,0.099618,0.115545,0.164016,0.118671
511,0.10278,0.119777,0.167399,0.12331
512,0.105833,0.124084,0.170697,0.127878
513,0.109098,0.12853,0.174109,0.132501
514,0.112454,0.13301,0.177562,0.137188
515,0.115835,0.137463,0.180983,0.142011
516,0.119392,0.142148,0.184596,0.146831
517,0.123057,0.146802,0.188203,0.151701
518,0.126773,0.151288,0.191658,0.156569
519,0.130581,0.156009,0.195297,0.161452
520,0.134319,0.160619,0.198808,0.166241
521,0.137937,0.16503,0.202118,0.170854
522,0.141594,0.169279,0.205427,0.17536
523,0.145237,0.173592,0.208759,0.179857
524,0.148767,0.177753,0.211945,0.184189
525,0.152147,0.181578,0.214871,0.188247
526,0.155296,0.185152,0.217657,0.191984
527,0.15841,0.188681,0.220386,0.195681
528,0.161446,0.192105,0.222923,0.199296
529,0.164243,0.195314,0.225465,0.202595
530,0.166804,0.198269,0.227734,0.205664
531,0.169088,0.200905,0.229655,0.208435
532,0.171241,0.203307,0.231418,0.210959
533,0.173312,0.205571,0.233105,0.213385
534,0.175162,0.20762,0.23458,0.21556
535,0.176848,0.209681,0.236028,0.21759
536,0.178425,0.211437,0.237359,0.21944
537,0.179897,0.213081,0.238631,0.221192
538,0.181314,0.214759,0.239945,0.222945
539,0.182536,0.216168,0.240895,0.224429
540,0.183611,0.217434,0.241742,0.225771
541,0.184627,0.218657,0.242598,0.227072
542,0.185581,0.219714,0.243222,0.228174
543,0.186403,0.220645,0.243805,0.22917
544,0.187216,0.221599,0.244468,0.230189
545,0.187975,0.222559,0.245128,0.231158
546,0.18876,0.223507,0.245785,0.23214
547,0.189395,0.224288,0.246269,0.232946
548,0.189892,0.22495,0.246642,0.233616
549,0.190287,0.2255,0.246938,0.234152
