# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Solidago altissima laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.060982,0.0617911,0.11848,0.0815004
351,0.0469104,0.0995866,0.112335,0.108044
352,0.0302614,0.135265,0.159999,0.0956171
353,0.0865896,0.109189,0.184776,0.040612
354,0.0981479,0.115258,0.161594,0.010366
355,0.0840885,0.108261,0.133274,0.00828266
356,0.0489515,0.049921,0.129498,0.0397569
357,0.0552278,0.0920173,0.114773,0.050584
358,0.0590159,0.0954982,0.10597,0.0367614
359,0.0546737,0.0455924,0.104857,0
360,0.0512486,0.0154061,0.158717,0.0533171
361,0.0473349,0.0155341,0.177086,0.0440167
362,0.048553,0.0294688,0.166115,0.00449894
363,0.079194,0.01322,0.0961572,0.0331026
364,0.0844366,0.00243933,0.0757435,0.0349882
365,0.0770666,0.00259561,0.0763261,0.0142096
366,0.0613628,0.0239324,0.0796442,1.90684e-06
367,0.0626361,0.0094543,0.0896897,0.0030857
368,0.0619252,0.00787979,0.0917523,0.024231
369,0.0549707,0.0299871,0.0830408,0.00424478
370,0.0456481,0.0128469,0.094054,0.00380264
371,0.0519838,0.00775075,0.0982959,0.0126086
372,0.0666308,0.0115508,0.0951608,0.026472
373,0.0607728,0.0116904,0.0774264,0.0320209
374,0.0428003,0.0150326,0.0831233,0.0181842
375,0.0300149,0.0141773,0.0928833,0.00135623
376,0.0509012,1.9287e-06,0.0845093,0.000457533
377,0.0565725,0.0133252,0.0730042,0.00205319
378,0.0551357,0.0216294,0.0713537,0.0073836
379,0.0480004,0.00781612,0.0854477,0.017456
380,0.0489285,0.0108046,0.105902,0.0255396
381,0.0415305,0.00317906,0.110711,0.0225002
382,0.0290678,1.93284e-06,0.101534,0.0101209
383,0.048221,1.92597e-06,0.086123,0.000889486
384,0.0441194,0.00476675,0.0853626,0.00760539
385,0.0341637,0.0178854,0.0882237,0.019828
386,0.0434086,0.0221972,0.0775466,0.024542
387,0.0492501,0.00999454,0.0843686,0.0129199
388,0.0514116,0.00211031,0.088457,0.00214338
389,0.0488867,0.00940785,0.0801365,0.000646874
390,0.0477919,0.00620365,0.0819325,0.00891522
391,0.0484196,0.00195851,0.0857804,0.0139869
392,0.0502206,1.92377e-06,0.0904208,0.0147681
393,0.0449256,0.0148773,0.0892085,0.00995226
394,0.0448093,0.0150568,0.0923301,0.0138296
395,0.0480038,0.00808803,0.0964412,0.0193713
396,0.0525925,0.00845383,0.0949669,0.0125707
397,0.0546829,0.0144192,0.0906804,0.0105705
398,0.0538401,0.0193469,0.0886557,0.0110909
399,0.048782,0.019021,0.0926268,0.0136209
400,0.0472264,0.0159628,0.0911371,0.0135703
401,0.0495942,0.0136083,0.0920627,0.0150951
402,0.0554772,0.0122483,0.096172,0.0184737
403,0.0517016,0.00854263,0.0976429,0.0144495
404,0.0509009,0.0104147,0.0977975,0.0110995
405,0.0524492,0.0146542,0.0972865,0.00873651
406,0.0563053,0.0137227,0.0975713,0.00903602
407,0.0575289,0.0180404,0.0980494,0.0140274
408,0.0557819,0.0213376,0.0988591,0.0183065
409,0.0492768,0.0184477,0.100284,0.0176736
410,0.0516437,0.0131859,0.0970585,0.016581
411,0.0540511,0.0127185,0.0962594,0.0161743
412,0.0549019,0.0184204,0.0992103,0.0166679
413,0.0539864,0.0214085,0.0969519,0.0195073
414,0.05277,0.022486,0.0976255,0.020318
415,0.0514826,0.0217901,0.100251,0.01974
416,0.0509431,0.0183614,0.101746,0.0196115
417,0.0528614,0.0188157,0.102798,0.0225681
418,0.0557392,0.0200572,0.103748,0.0232866
419,0.0586437,0.0192253,0.104914,0.0147324
