# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Solidago altissima laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0331755,0.113815,0.0373941,1.92563e-06
351,0.00970527,0.037955,0.0389044,0.0197524
352,0.0495603,1.86023e-06,0.0493613,0.106084
353,0.157515,1.81234e-06,0.0684186,0.0755364
354,0.150757,0.0377886,0.0966191,0.057171
355,0.115088,0.0534929,0.113918,0.0292227
356,0.0913851,1.86309e-06,0.100169,1.85218e-06
357,0.0797889,0.0282181,0.0811455,0.0237276
358,0.0813883,0.0349438,0.085058,0.0700516
359,0.0942812,0.00471863,0.114191,0.0919268
360,0.0637847,0.0465344,0.0779509,0.0638807
361,0.0799389,0.0235683,0.0567729,0.0426236
362,0.111087,1.91019e-06,0.0493821,0.0240565
363,0.0860484,0.0217799,0.0652202,2.58924e-05
364,0.0651584,0.0452912,0.0667764,0.0230384
365,0.0535494,0.0490387,0.062946,0.0379358
366,0.0601382,0.0232548,0.058784,1.92182e-06
367,0.0655811,0.0382186,0.0345958,1.93623e-06
368,0.0596387,0.0444336,0.0337455,1.93013e-06
369,0.0400513,0.0323732,0.0641683,0.0229049
370,0.0553524,0.0139636,0.0683624,0.0101508
371,0.0638254,0.015023,0.070461,0.0138859
372,0.0643511,0.0289688,0.069657,0.0282081
373,0.0502931,0.0270828,0.0541379,0.0251942
374,0.0437238,0.0201756,0.0647319,0.023603
375,0.0452341,0.0129582,0.0752058,0.0201418
376,0.0596847,0.0107104,0.0516926,0.00918723
377,0.0552532,0.0210201,0.0513901,0.00509931
378,0.0470393,0.0288523,0.0577807,0.00385688
379,0.0389088,0.0289588,0.0667265,0.00458277
380,0.0537554,0.0193665,0.0510364,0.0146414
381,0.055602,0.0108175,0.0492597,0.0215414
382,0.0457174,0.00500573,0.0604246,0.0247052
383,0.0437358,0.0132728,0.0648044,0.0224316
384,0.0371169,0.0232486,0.0702012,0.0128515
385,0.0316409,0.0291489,0.0743672,0.00715191
386,0.0382879,0.018593,0.0728792,0.0273982
387,0.0444587,0.00603003,0.0639927,0.0208455
388,0.0469467,0.001032,0.0577461,0.0169151
389,0.0433793,0.00971392,0.0595509,0.0293677
390,0.041952,0.0074197,0.0593349,0.0140458
391,0.044597,0.0123442,0.0620888,0.00879056
392,0.0505088,0.0241536,0.0670494,0.0160215
393,0.0450669,0.018315,0.0581043,0.0225071
394,0.0471962,0.0169902,0.0634537,0.0238989
395,0.0511947,0.0178039,0.0726252,0.0213905
396,0.0457102,0.0168906,0.0651384,0.0145678
397,0.0462321,0.0120781,0.0695141,0.0184978
398,0.0488204,0.0104902,0.0743294,0.021287
399,0.0518479,0.0172814,0.0731035,0.0155586
400,0.0428048,0.0177348,0.0669807,0.0258195
401,0.0401069,0.0163507,0.0650123,0.028037
402,0.0456852,0.0138487,0.0681121,0.0200874
403,0.0452506,0.0137181,0.0734575,0.0207084
404,0.0450515,0.0178929,0.0735135,0.0256062
405,0.0450622,0.0236804,0.0707167,0.0306138
406,0.045373,0.0245861,0.070246,0.0230879
407,0.0444863,0.0249966,0.0709901,0.0233202
408,0.0440106,0.025253,0.0728874,0.027439
409,0.0453536,0.0255557,0.0764676,0.0343229
410,0.0446344,0.0286599,0.077234,0.0355939
411,0.0452278,0.0294413,0.0781791,0.0366196
412,0.047764,0.0269506,0.0798622,0.0383628
413,0.0479436,0.0251155,0.07905,0.0348714
414,0.0484068,0.0260859,0.0809974,0.0333655
415,0.0488137,0.0290165,0.0841206,0.0333038
416,0.0474547,0.0318088,0.0822242,0.0330573
417,0.0476256,0.0320691,0.0810663,0.0352474
418,0.0483058,0.0323621,0.0809673,0.0374905
419,0.0487178,0.0354763,0.0828752,0.0373543
420,0.0502568,0.0365393,0.0831403,0.039719
421,0.0490602,0.0377979,0.0838142,0.0401521
422,0.0437254,0.0399018,0.0855151,0.0372205
423,0.0465923,0.0379657,0.08507,0.0384112
424,0.0484349,0.0371063,0.085527,0.0402453
425,0.0491455,0.0376038,0.086832,0.0425611
426,0.0491112,0.041293,0.0885847,0.0452741
427,0.0500016,0.0427744,0.0886492,0.0464242
428,0.0503481,0.0427164,0.0876718,0.0467607
429,0.0477863,0.0411179,0.0859046,0.0468245
430,0.0504812,0.0395081,0.0877411,0.0470122
431,0.0520221,0.0394713,0.0880646,0.0473252
432,0.0497261,0.0419469,0.0845746,0.0477938
433,0.0517483,0.0448368,0.0887957,0.0481556
434,0.0519979,0.0453504,0.0898378,0.0496309
435,0.0505244,0.043934,0.0878617,0.0517999
436,0.0504344,0.0455953,0.0891122,0.0501058
437,0.0516518,0.046657,0.0892802,0.0503391
438,0.0529868,0.047448,0.0886463,0.0516071
439,0.0522865,0.0484347,0.0871883,0.0529255
440,0.0526757,0.0472504,0.0890834,0.0518879
441,0.0526113,0.0469954,0.0911552,0.0515962
442,0.0511507,0.0495604,0.0919099,0.0538704
443,0.0513738,0.0503899,0.0928704,0.0551247
444,0.0511511,0.0499045,0.0931399,0.0559179
445,0.0504096,0.0483639,0.0926715,0.056376
446,0.0522211,0.0497804,0.0920619,0.0575943
447,0.0516927,0.0506534,0.0927118,0.0585098
448,0.0503996,0.0514244,0.093801,0.0591902
449,0.0520322,0.0532329,0.0934534,0.0596465
450,0.052624,0.0532612,0.0941277,0.0616409
451,0.0528982,0.0536436,0.0944584,0.0631252
452,0.0532179,0.0560326,0.0933466,0.062472
453,0.052601,0.0578024,0.094617,0.0611732
454,0.0525991,0.0581048,0.0962686,0.0619762
455,0.0534421,0.0568118,0.0979553,0.0652629
456,0.0530609,0.0567717,0.0975067,0.0648724
457,0.0531068,0.057507,0.0971322,0.0656983
458,0.0532716,0.0585416,0.0968559,0.067211
459,0.0524327,0.0582035,0.0968405,0.0677628
460,0.0529577,0.0586754,0.0979117,0.0673599
461,0.0533332,0.0592259,0.0987774,0.0667797
462,0.0521085,0.0592384,0.0981775,0.0666404
463,0.0519508,0.0606351,0.0991449,0.0667829
464,0.0520859,0.0616176,0.0992844,0.0679004
465,0.0523676,0.0617181,0.0979392,0.070266
466,0.0538677,0.0616684,0.0990234,0.0701142
467,0.0544656,0.0617007,0.0995708,0.0701003
468,0.0544576,0.0619097,0.0997029,0.0700969
469,0.0551624,0.0629256,0.0999619,0.0692555
470,0.0548154,0.0633188,0.100143,0.0710164
471,0.0544235,0.063477,0.099817,0.0727213
472,0.0552064,0.0637433,0.0981576,0.0710851
473,0.0552893,0.0639113,0.100099,0.0724609
474,0.0550703,0.0647027,0.101484,0.0739269
475,0.0546066,0.0664869,0.100917,0.0746086
476,0.0540561,0.0660618,0.101802,0.0738311
477,0.0542234,0.0667609,0.102361,0.0741465
478,0.054994,0.0682504,0.102542,0.0754491
479,0.0555512,0.0674253,0.102342,0.0766544
480,0.0562146,0.0680832,0.102909,0.0773604
481,0.0567528,0.0692014,0.103666,0.0778387
482,0.0567045,0.0693828,0.103782,0.0784047
483,0.057201,0.0709704,0.104676,0.0788385
484,0.0576145,0.0722889,0.105084,0.0798622
