# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance and transmittance spectra of Solidago altissima laef.
#wl,R(adaxial),T(adaxial),R(abaxial),T(abaxial)
350,0.0550707,0.00429583,0.0522437,0.0110278
351,0.0539445,0.0025759,0.0517883,0.00972414
352,0.0523808,0.00172782,0.0508253,0.00743669
353,0.0514817,0.00346229,0.0524378,0.00970645
354,0.0508788,0.00327112,0.0521248,0.00787597
355,0.0502202,0.00323892,0.0524984,0.00581061
356,0.0494262,0.00489528,0.0558803,0.00609387
357,0.0510614,0.00425842,0.0531949,0.0084064
358,0.0513473,0.00463145,0.052815,0.00819948
359,0.0497623,0.00656248,0.0562085,0.00474314
360,0.0493185,0.00461545,0.0531969,0.00660999
361,0.048522,0.00306527,0.0522095,0.0072865
362,0.0478958,0.00219795,0.0528102,0.00689966
363,0.048523,0.00351624,0.053625,0.00483836
364,0.0481171,0.00306882,0.0531115,0.00566921
365,0.0475963,0.00263067,0.0525343,0.00632172
366,0.0479372,0.00394318,0.0532555,0.00374875
367,0.0483551,0.0028172,0.0526786,0.00510835
368,0.0483031,0.00265543,0.0526041,0.00597778
369,0.0475352,0.00432944,0.053413,0.00526492
370,0.0463087,0.00425265,0.0539741,0.0034815
371,0.0464165,0.00393061,0.0544939,0.0034839
372,0.0474829,0.00331074,0.0547478,0.0046884
373,0.0482717,0.00158017,0.0536518,0.00421914
374,0.0485929,0.00208786,0.0541709,0.00374889
375,0.0486524,0.00310176,0.055315,0.00360235
376,0.0481567,0.00254904,0.0556686,0.00438519
377,0.0471891,0.00243315,0.0558933,0.00512834
378,0.0468143,0.00272051,0.056551,0.00560614
379,0.0471439,0.00345474,0.0574901,0.00565769
380,0.0469683,0.00283237,0.057553,0.00421874
381,0.0465882,0.00295894,0.0579548,0.00352273
382,0.0461586,0.00377762,0.0585796,0.00357437
383,0.0479318,0.00414382,0.0591249,0.00373673
384,0.0479256,0.00408917,0.0593592,0.00351176
385,0.0471963,0.00352973,0.0594552,0.00313764
386,0.0467197,0.001883,0.0591577,0.00289635
387,0.0471522,0.00210581,0.0599542,0.0037017
388,0.0476292,0.00283913,0.061204,0.00436185
389,0.0474632,0.00358143,0.0623582,0.00427385
390,0.0465936,0.00326428,0.0618171,0.004017
391,0.0465042,0.00299201,0.0621322,0.00394621
392,0.0473067,0.00294288,0.0635598,0.00409144
393,0.0472364,0.00444431,0.0646392,0.00444621
394,0.0473593,0.004476,0.0656445,0.00480222
395,0.0474898,0.00391031,0.0665114,0.00501874
396,0.0472117,0.00430023,0.0670361,0.004678
397,0.0473182,0.00418525,0.0677633,0.00470805
398,0.0476777,0.00422766,0.0685828,0.00491963
399,0.048275,0.00489632,0.0694339,0.00526509
400,0.0478874,0.00480268,0.0697265,0.00511938
401,0.0479661,0.00484934,0.0705098,0.00530449
402,0.048669,0.00514636,0.0718869,0.005905
403,0.0486494,0.00547227,0.0722722,0.00640122
404,0.0486503,0.00583447,0.07332,0.00639375
405,0.0486993,0.00620946,0.0747052,0.0061288
406,0.0486757,0.00653202,0.0753681,0.00613841
407,0.0487369,0.00643038,0.0758347,0.00653181
408,0.0488646,0.00644795,0.0763086,0.0069387
409,0.0491297,0.00707353,0.0770446,0.00709818
410,0.0492576,0.00755933,0.0777206,0.00732497
411,0.0496067,0.00784867,0.0785816,0.00788949
412,0.0502448,0.00792824,0.0796669,0.00885293
413,0.0503077,0.00872062,0.0803098,0.00870353
414,0.0504461,0.00926232,0.0811407,0.00895275
415,0.0505573,0.00962883,0.0819129,0.00942679
416,0.050822,0.0101976,0.0825674,0.00956911
417,0.0510466,0.0107618,0.0834136,0.00972746
418,0.051303,0.0112497,0.0841482,0.010043
419,0.0518594,0.0115864,0.084664,0.0108029
420,0.0522307,0.0120424,0.0851485,0.01135
421,0.0525877,0.0125222,0.0856915,0.0118888
422,0.053033,0.013022,0.0864176,0.0124911
423,0.0532131,0.0134413,0.0869175,0.0127277
424,0.0533061,0.013858,0.0874161,0.013088
425,0.0534337,0.0142841,0.0879732,0.0135466
426,0.0539983,0.0146941,0.0883112,0.0137921
427,0.0542952,0.0151284,0.08852,0.0143196
428,0.0546105,0.0155659,0.0888694,0.0149439
429,0.0551056,0.0159202,0.0894011,0.015414
430,0.0554139,0.0162307,0.0896013,0.0158453
431,0.0556142,0.0166204,0.0899563,0.0161594
432,0.0556643,0.0171471,0.0906035,0.0162951
433,0.0561377,0.0176653,0.0910179,0.0167929
434,0.0564572,0.0180139,0.091217,0.017198
435,0.0566728,0.0182548,0.0913852,0.0175139
436,0.0566713,0.0187411,0.0919276,0.0177604
437,0.0569388,0.0191284,0.0923131,0.0180955
438,0.0572893,0.0194812,0.0925788,0.0184944
439,0.0576058,0.0199731,0.0930136,0.0190245
440,0.0579454,0.020271,0.0933822,0.0193284
441,0.0581908,0.0205301,0.0936732,0.0196339
442,0.0582039,0.0207991,0.0937719,0.0200437
443,0.0585899,0.0214396,0.0943188,0.020275
444,0.058872,0.0218391,0.0947405,0.0205738
445,0.0589548,0.0219475,0.0949044,0.0209422
446,0.0591412,0.0225451,0.0953951,0.0214384
447,0.0594605,0.0229367,0.0959129,0.0218559
448,0.0597845,0.0232355,0.0963535,0.0222154
449,0.0601351,0.0238266,0.0969608,0.0226723
450,0.060404,0.0241854,0.0972755,0.0230502
451,0.0605629,0.0245001,0.0974846,0.0233704
452,0.0605292,0.0248758,0.0976559,0.0236205
453,0.0607588,0.0251682,0.0979314,0.023965
454,0.061005,0.0254501,0.0982436,0.0243035
455,0.0612143,0.0257298,0.0985604,0.0246113
456,0.0614309,0.0260654,0.0989667,0.0247967
457,0.0615753,0.0263347,0.0991121,0.0250817
458,0.0616814,0.0265558,0.0991535,0.0254197
459,0.0617061,0.0267099,0.0993989,0.0256115
460,0.061784,0.0269423,0.0995511,0.02574
461,0.0619175,0.0271861,0.099714,0.0259035
462,0.062128,0.0273818,0.0999679,0.0262039
463,0.0622214,0.0276232,0.100053,0.026331
464,0.0623542,0.0277979,0.100154,0.0265465
465,0.0625065,0.0278437,0.100216,0.0268966
466,0.0625502,0.0281599,0.100484,0.0269995
467,0.0627314,0.0284812,0.100785,0.0271269
468,0.0630078,0.0287859,0.101108,0.0272983
469,0.063083,0.0288914,0.10121,0.0275896
470,0.063167,0.0290094,0.101351,0.0278144
471,0.0633508,0.0292343,0.101613,0.0280366
472,0.0636493,0.0296706,0.101919,0.0282666
473,0.0638323,0.0299394,0.102002,0.0285866
474,0.0640355,0.0301876,0.102226,0.0289481
475,0.0642213,0.0304196,0.102596,0.029304
476,0.0642318,0.0307366,0.102971,0.0294905
477,0.0643176,0.0310429,0.103211,0.0296751
478,0.0645008,0.0313474,0.103379,0.0298952
479,0.0647738,0.0316871,0.103704,0.0303449
480,0.0650733,0.0319881,0.104044,0.0306838
481,0.0653265,0.0322736,0.104353,0.0309651
482,0.0654523,0.0326121,0.104644,0.0312718
483,0.0656833,0.0329174,0.104872,0.0316519
484,0.0659921,0.0333407,0.105314,0.032067
485,0.0661843,0.0338834,0.105824,0.0324134
486,0.0666226,0.034321,0.106309,0.0329588
487,0.0669874,0.0347136,0.106719,0.0334298
488,0.0673234,0.0351082,0.107157,0.0338501
489,0.0676676,0.0356108,0.107656,0.0343689
490,0.0680767,0.0362534,0.108244,0.0349004
491,0.0685828,0.0369551,0.108938,0.0354892
492,0.069135,0.0374818,0.109542,0.0361789
493,0.069602,0.0381814,0.110357,0.0369759
494,0.0700889,0.0389293,0.111199,0.0377391
495,0.0706713,0.0396823,0.111989,0.0383868
496,0.0714381,0.0405038,0.112819,0.0393367
497,0.0721374,0.0413293,0.113622,0.0401751
498,0.0728418,0.0422096,0.114551,0.0409228
499,0.0736262,0.043202,0.115688,0.0420075
