# This file was made on 2013/09/20 by Hibiki M. Noda.
# Reflectance spectrum of Zelkova serrata trunk.
#wl,R
350,0.117839
351,0.114132
352,0.106901
353,0.105729
354,0.111039
355,0.116246
356,0.110474
357,0.109912
358,0.11112
359,0.110495
360,0.112201
361,0.114869
362,0.116911
363,0.116448
364,0.114143
365,0.111654
366,0.110633
367,0.111841
368,0.113131
369,0.11228
370,0.10998
371,0.112322
372,0.113955
373,0.113606
374,0.112332
375,0.111835
376,0.111992
377,0.112181
378,0.111853
379,0.112564
380,0.113619
381,0.114057
382,0.113211
383,0.113192
384,0.113723
385,0.114292
386,0.11438
387,0.114939
388,0.115682
389,0.113861
390,0.114238
391,0.115291
392,0.115106
393,0.116376
394,0.116984
395,0.116507
396,0.115701
397,0.115368
398,0.116098
399,0.11725
400,0.116374
401,0.116626
402,0.117667
403,0.118159
404,0.117922
405,0.117276
406,0.116513
407,0.116534
408,0.117529
409,0.118055
410,0.117415
411,0.11774
412,0.117866
413,0.118044
414,0.118842
415,0.11898
416,0.118607
417,0.11824
418,0.118296
419,0.118624
420,0.118678
421,0.118352
422,0.11911
423,0.119504
424,0.119458
425,0.119812
426,0.120273
427,0.120098
428,0.11979
429,0.12017
430,0.120263
431,0.120311
432,0.120364
433,0.120283
434,0.120305
435,0.120672
436,0.121341
437,0.121693
438,0.121727
439,0.121715
440,0.122043
441,0.122174
442,0.122326
443,0.12304
444,0.123274
445,0.123386
446,0.123662
447,0.123992
448,0.124397
449,0.124952
450,0.125419
451,0.125464
452,0.125609
453,0.126204
454,0.126561
455,0.126737
456,0.126953
457,0.127203
458,0.1275
459,0.127668
460,0.127861
461,0.128192
462,0.128326
463,0.128531
464,0.128819
465,0.128766
466,0.129061
467,0.129652
468,0.130252
469,0.130246
470,0.130207
471,0.130402
472,0.130898
473,0.13105
474,0.131224
475,0.131458
476,0.131727
477,0.132061
478,0.132373
479,0.132624
480,0.133128
481,0.133452
482,0.133405
483,0.133429
484,0.133851
485,0.134271
486,0.134714
487,0.135118
488,0.135496
489,0.13584
490,0.136209
491,0.13674
492,0.137309
493,0.137858
494,0.138405
495,0.138899
496,0.139465
497,0.14015
498,0.140825
499,0.141502
500,0.142285
501,0.143268
502,0.14402
503,0.144639
504,0.145396
505,0.146562
506,0.14757
507,0.148509
508,0.149535
509,0.15042
510,0.151451
511,0.152932
512,0.153968
513,0.155003
514,0.156184
515,0.157465
516,0.158672
517,0.159814
518,0.160862
519,0.162035
520,0.163167
521,0.164158
522,0.165115
523,0.166061
524,0.167163
525,0.168192
526,0.168743
527,0.169611
528,0.170518
529,0.1713
530,0.172155
531,0.172849
532,0.173473
533,0.174091
534,0.174694
535,0.175337
536,0.175931
537,0.176481
538,0.177097
539,0.177642
540,0.178178
541,0.178689
542,0.179202
543,0.179697
544,0.180128
545,0.180593
546,0.181104
547,0.181532
548,0.181949
549,0.182461
550,0.183178
551,0.183377
552,0.183921
553,0.184463
554,0.184738
555,0.185058
556,0.185236
557,0.185522
558,0.185872
559,0.186053
560,0.18616
561,0.186291
562,0.186325
563,0.186329
564,0.186282
565,0.186289
566,0.186285
567,0.186379
568,0.186336
569,0.186208
570,0.186065
571,0.185993
572,0.185931
573,0.185812
574,0.185604
575,0.185653
576,0.185646
577,0.185481
578,0.185354
579,0.185425
580,0.185434
581,0.185414
582,0.185372
583,0.185412
584,0.185534
585,0.185624
586,0.18556
587,0.185483
588,0.185732
589,0.185816
590,0.185841
591,0.185803
592,0.185764
593,0.185713
594,0.18591
595,0.186145
596,0.186299
597,0.18636
598,0.18634
599,0.186614
600,0.186702
601,0.186731
602,0.187045
603,0.187042
604,0.187012
605,0.187172
606,0.187251
607,0.187373
608,0.187476
609,0.187366
610,0.187375
611,0.187488
612,0.187409
613,0.187296
614,0.187191
615,0.187032
616,0.186959
617,0.186988
618,0.187029
619,0.18712
620,0.187099
621,0.187138
622,0.187335
623,0.187563
624,0.187669
625,0.187755
626,0.18789
627,0.188098
628,0.188339
629,0.188576
630,0.188789
631,0.188952
632,0.188955
633,0.18891
634,0.189212
635,0.189232
636,0.18911
637,0.188815
638,0.188289
639,0.187612
640,0.186942
641,0.186135
642,0.185334
643,0.184481
644,0.183745
645,0.182867
646,0.18207
647,0.181483
648,0.180957
649,0.180425
650,0.180283
651,0.180305
652,0.180331
653,0.180483
654,0.180587
655,0.180954
656,0.181208
657,0.181109
658,0.180843
659,0.180256
660,0.179648
661,0.179128
662,0.178563
663,0.177867
664,0.177125
665,0.176516
666,0.175913
667,0.175399
668,0.174981
669,0.174712
670,0.174451
671,0.1744
672,0.174449
673,0.174511
674,0.174659
675,0.174977
676,0.175343
677,0.175791
678,0.176323
679,0.176943
680,0.177437
681,0.17822
682,0.179332
683,0.18077
684,0.182529
685,0.184618
686,0.186919
687,0.189787
688,0.193419
689,0.197212
690,0.201111
691,0.205478
692,0.210177
693,0.214785
694,0.219385
695,0.223926
696,0.228521
697,0.232879
698,0.237188
699,0.241488
700,0.245722
701,0.249683
702,0.253247
703,0.257148
704,0.26084
705,0.263919
706,0.267143
707,0.270567
708,0.273708
709,0.276499
710,0.279424
711,0.28247
712,0.285333
713,0.288009
714,0.290856
715,0.293478
716,0.296204
717,0.299168
718,0.301505
719,0.303718
720,0.30647
721,0.309027
722,0.311432
723,0.313536
724,0.315797
725,0.318405
726,0.320928
727,0.323412
728,0.325133
729,0.327136
730,0.329142
731,0.331133
732,0.333068
733,0.334913
734,0.337021
735,0.338697
736,0.340415
737,0.342299
738,0.344147
739,0.345808
740,0.347135
741,0.348476
742,0.350454
743,0.351748
744,0.352638
745,0.353779
746,0.355255
747,0.356773
748,0.35771
749,0.359097
750,0.360012
751,0.360876
752,0.362166
753,0.363287
754,0.36464
755,0.366027
756,0.366783
757,0.367454
758,0.368727
759,0.369973
760,0.370679
761,0.3714
762,0.372332
763,0.3732
764,0.374197
765,0.375208
766,0.375593
767,0.376733
768,0.378447
769,0.379229
770,0.378878
771,0.379674
772,0.381168
773,0.382059
774,0.382899
775,0.383914
776,0.384728
777,0.38559
778,0.386314
